_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,temperature,battery,status,lyrics
"$$ALMA-2,55,11:35:54,51.700709,4.662995,21,6,30,2934,08,ME*FD23",marcel,55,11:35:54,51.700709,4.662995,21,6,30,2934,8,ME
"$$ALMA-2,56,11:36:09,51.700771,4.663065,23,6,30,2933,08,UP*DC93",marcel,56,11:36:09,51.700771,4.663065,23,6,30,2933,8,UP
"$$ALMA-2,57,11:36:19,51.700711,4.662976,14,6,31,2933,08,A*A602",marcel,57,11:36:19,51.700711,4.662976,14,6,31,2933,8,A
"$$ALMA-2,58,11:36:34,51.700713,4.662978,8,6,31,2935,08,DRINK*5FB8",marcel,58,11:36:34,51.700713,4.662978,8,6,31,2935,8,DRINK
"$$ALMA-2,59,11:36:49,51.700737,4.662996,4,6,31,2934,08,JOKES*C730",marcel,59,11:36:49,51.700737,4.662996,4,6,31,2934,8,JOKES
"$$ALMA-2,60,11:37:04,51.700745,4.663039,7,6,31,2934,08,MAJOR*8C0F",marcel,60,11:37:04,51.700745,4.663039,7,6,31,2934,8,MAJOR
"$$ALMA-2,61,11:37:14,51.700735,4.663033,13,6,31,2934,08,TOM*79D4",marcel,61,11:37:14,51.700735,4.663033,13,6,31,2934,8,TOM
"$$ALMA-2,62,11:37:29,51.700727,4.663038,14,7,31,2935,08,THE*2C2F",marcel,62,11:37:29,51.700727,4.663038,14,7,31,2935,8,THE
"$$ALMA-2,63,11:37:44,51.700724,4.662963,16,6,31,2937,08,COUNT*55B1",marcel,63,11:37:44,51.700724,4.662963,16,6,31,2937,8,COUNT
"$$ALMA-2,65,11:38:09,51.700799,4.662963,20,6,31,2936,08,ON*F2EE",marcel,65,11:38:09,51.700799,4.662963,20,6,31,2936,8,ON
"$$ALMA-2,66,11:38:24,51.700777,4.663042,20,6,31,2935,08,FOUR*39F9",marcel,66,11:38:24,51.700777,4.663042,20,6,31,2935,8,FOUR
"$$ALMA-2,67,11:38:39,51.700746,4.663029,23,6,31,2936,08,THREE*E8F5",marcel,67,11:38:39,51.700746,4.663029,23,6,31,2936,8,THREE
"$$ALMA-2,68,11:38:54,51.700749,4.662968,24,6,31,2938,08,TWO*3376",marcel,68,11:38:54,51.700749,4.662968,24,6,31,2938,8,TWO
"$$ALMA-2,69,11:39:04,51.700731,4.662983,21,6,31,2939,08,ONE*2297",marcel,69,11:39:04,51.700731,4.662983,21,6,31,2939,8,ONE
"$$ALMA-2,70,11:39:19,51.700792,4.663076,19,6,31,2937,08,EARTH*2D5F",marcel,70,11:39:19,51.700792,4.663076,19,6,31,2937,8,EARTH
"$$ALMA-2,71,11:39:34,51.700733,4.663028,17,6,31,2937,08,BELOW*0F0D",marcel,71,11:39:34,51.700733,4.663028,17,6,31,2937,8,BELOW
"$$ALMA-2,72,11:39:49,51.700706,4.662992,8,6,31,2940,08,US*C715",marcel,72,11:39:49,51.700706,4.662992,8,6,31,2940,8,US
"$$ALMA-2,73,11:39:59,51.700757,4.663026,10,6,31,2940,08,DRIFTING*8E89",marcel,73,11:39:59,51.700757,4.663026,10,6,31,2940,8,DRIFTING
"$$ALMA-2,74,11:40:14,51.700738,4.663001,11,7,32,2930,08,FALLING*E82A",marcel,74,11:40:14,51.700738,4.663001,11,7,32,2930,8,FALLING
"$$ALMA-2,75,11:40:29,51.700731,4.662993,11,8,32,2920,08,FLOATING*B3CC",marcel,75,11:40:29,51.700731,4.662993,11,8,32,2920,8,FLOATING
"$$ALMA-2,76,11:40:44,51.700724,4.662979,13,6,32,2931,08,WEIGHTLESS*36BF",marcel,76,11:40:44,51.700724,4.662979,13,6,32,2931,8,WEIGHTLESS
"$$ALMA-2,77,11:40:59,51.700747,4.662967,15,6,32,2939,08,CALLING*02D7",marcel,77,11:40:59,51.700747,4.662967,15,6,32,2939,8,CALLING
"$$ALMA-2,78,11:41:14,51.700772,4.663079,28,6,32,2940,08,CALLING*62F0",marcel,78,11:41:14,51.700772,4.663079,28,6,32,2940,8,CALLING
"$$ALMA-2,79,11:41:29,51.700810,4.663069,23,6,32,2941,08,HOME*DCBD",marcel,79,11:41:29,51.70081,4.663069,23,6,32,2941,8,HOME
"$$ALMA-2,80,11:41:44,51.700797,4.663134,19,6,32,2940,08,SECOND*55B7",marcel,80,11:41:44,51.700797,4.663134,19,6,32,2940,8,SECOND
"$$ALMA-2,81,11:41:59,51.700780,4.663071,16,6,32,2939,08,STAGE*EA47",marcel,81,11:41:59,51.70078,4.663071,16,6,32,2939,8,STAGE
"$$ALMA-2,82,11:42:09,51.700759,4.662970,17,6,32,2939,08,IS*FFCC",marcel,82,11:42:09,51.700759,4.66297,17,6,32,2939,8,IS
"$$ALMA-2,83,11:42:24,51.700776,4.663048,14,6,32,2941,08,CUT*FF0B",marcel,83,11:42:24,51.700776,4.663048,14,6,32,2941,8,CUT
"$$ALMA-2,84,11:42:39,51.700749,4.662992,12,6,32,2941,08,WE'RE*F399",marcel,84,11:42:39,51.700749,4.662992,12,6,32,2941,8,WE'RE
"$$ALMA-2,85,11:42:54,51.700718,4.663006,11,6,32,2940,08,NOW*5D52",marcel,85,11:42:54,51.700718,4.663006,11,6,32,2940,8,NOW
"$$ALMA-2,86,11:43:04,51.700732,4.663002,7,6,32,2942,08,IN*2481",marcel,86,11:43:04,51.700732,4.663002,7,6,32,2942,8,IN
"$$ALMA-2,87,11:43:19,51.700798,4.663004,21,6,32,2942,08,ORBIT*863F",marcel,87,11:43:19,51.700798,4.663004,21,6,32,2942,8,ORBIT
"$$ALMA-2,88,11:43:34,51.700771,4.662987,25,6,32,2944,08,STABILIZERS*2216",marcel,88,11:43:34,51.700771,4.662987,25,6,32,2944,8,STABILIZERS
"$$ALMA-2,89,11:43:49,51.700735,4.662887,16,6,32,2944,08,UP*E1D5",marcel,89,11:43:49,51.700735,4.662887,16,6,32,2944,8,UP
"$$ALMA-2,90,11:44:04,51.700781,4.663022,15,6,32,2944,08,RUNNING*F3A2",marcel,90,11:44:04,51.700781,4.663022,15,6,32,2944,8,RUNNING
"$$ALMA-2,91,11:44:14,51.700729,4.662986,13,6,32,2943,08,PERFECT*0C0D",marcel,91,11:44:14,51.700729,4.662986,13,6,32,2943,8,PERFECT
"$$ALMA-2,92,11:44:29,51.700800,4.663020,18,6,32,2944,08,STARTING*4256",marcel,92,11:44:29,51.7008,4.66302,18,6,32,2944,8,STARTING
"$$ALMA-2,93,11:44:44,51.700771,4.663078,18,6,32,2944,08,TO*7D7F",marcel,93,11:44:44,51.700771,4.663078,18,6,32,2944,8,TO
