_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,gps_lock,gps_mode
"$$AMSTG,27,08:33:27,525776815,-19651728,139,6,3,6*B707",HORIZ,27,08:33:27,52.5776815,-1.9651728,139,6,3,6
"$$AMSTG,28,08:33:47,525776987,-19651566,138,6,3,6*5DFF",HORIZ,28,08:33:47,52.5776987,-1.9651566,138,6,3,6
"$$AMSTG,29,08:34:07,525777106,-19651360,138,6,3,6*F808",HORIZ,29,08:34:07,52.5777106,-1.965136,138,6,3,6
"$$AMSTG,30,08:34:27,525777138,-19651467,137,6,3,6*D533",HORIZ,30,08:34:27,52.5777138,-1.9651467,137,6,3,6
"$$AMSTG,31,08:34:48,525777209,-19651522,134,6,3,6*82EA",HORIZ,31,08:34:48,52.5777209,-1.9651522,134,6,3,6
"$$AMSTG,32,08:35:08,525777278,-19651439,135,6,3,6*A8E7",HORIZ,32,08:35:08,52.5777278,-1.9651439,135,6,3,6
"$$AMSTG,33,08:35:28,525777278,-19651521,135,6,3,6*1057",HORIZ,33,08:35:28,52.5777278,-1.9651521,135,6,3,6
"$$AMSTG,34,08:35:48,525777231,-19651624,135,6,3,6*85B6",HORIZ,34,08:35:48,52.5777231,-1.9651624,135,6,3,6
"$$AMSTG,35,08:36:09,525777399,-19651352,144,7,3,6*677B",HORIZ,35,08:36:09,52.5777399,-1.9651352,144,7,3,6
"$$AMSTG,36,08:36:29,525777854,-19650811,157,7,3,6*9024",HORIZ,36,08:36:29,52.5777854,-1.9650811,157,7,3,6
"$$AMSTG,37,08:36:49,525778142,-19650509,164,7,3,6*A203",HORIZ,37,08:36:49,52.5778142,-1.9650509,164,7,3,6
"$$AMSTG,38,08:37:09,525778237,-19650596,168,7,3,6*2A1A",HORIZ,38,08:37:09,52.5778237,-1.9650596,168,7,3,6
"$$AMSTG,39,08:37:30,525778279,-19650474,173,7,3,6*DD6A",HORIZ,39,08:37:30,52.5778279,-1.9650474,173,7,3,6
"$$AMSTG,40,08:37:50,525778172,-19650582,172,7,3,6*FA3A",HORIZ,40,08:37:50,52.5778172,-1.9650582,172,7,3,6
"$$AMSTG,41,08:38:10,525778157,-19650680,173,7,3,6*9A19",HORIZ,41,08:38:10,52.5778157,-1.965068,173,7,3,6
"$$AMSTG,42,08:38:30,525778085,-19650562,173,7,3,6*3E24",HORIZ,42,08:38:30,52.5778085,-1.9650562,173,7,3,6
"$$AMSTG,43,08:38:51,525778112,-19650570,173,6,3,6*CF7B",HORIZ,43,08:38:51,52.5778112,-1.965057,173,6,3,6
"$$AMSTG,44,08:39:11,525778152,-19650588,171,7,3,6*53C7",HORIZ,44,08:39:11,52.5778152,-1.9650588,171,7,3,6
"$$AMSTG,45,08:39:31,525777992,-19650658,166,7,3,6*473D",HORIZ,45,08:39:31,52.5777992,-1.9650658,166,7,3,6
"$$AMSTG,46,08:39:51,525777726,-19650820,160,7,3,6*F5C4",HORIZ,46,08:39:51,52.5777726,-1.965082,160,7,3,6
"$$AMSTG,48,08:40:32,525777689,-19651136,155,7,3,6*BAB0",HORIZ,48,08:40:32,52.5777689,-1.9651136,155,7,3,6
