_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,temperature_internal,batterymv,status
"$$BoSS,13,09:30:02,0.000000,0.000000,0,0,17,2832,31*ED02",BoSS,13,09:30:02,0.0,0.0,0,0,17,2832,31
"$$BoSS,14,09:30:12,0.000000,0.000000,0,0,18,2831,31*8C28",BoSS,14,09:30:12,0.0,0.0,0,0,18,2831,31
"$$BoSS,15,09:30:22,0.000000,0.000000,0,0,18,2831,31*4FFD",BoSS,15,09:30:22,0.0,0.0,0,0,18,2831,31
"$$BoSS,16,09:30:37,0.000000,0.000000,0,0,18,2831,31*5BA5",BoSS,16,09:30:37,0.0,0.0,0,0,18,2831,31
"$$BoSS,17,09:30:52,0.000000,0.000000,0,0,18,2832,31*249F",BoSS,17,09:30:52,0.0,0.0,0,0,18,2832,31
"$$BoSS,18,09:31:02,0.000000,0.000000,0,0,18,2833,31*2C04",BoSS,18,09:31:02,0.0,0.0,0,0,18,2833,31
"$$BoSS,19,09:31:12,0.000000,0.000000,0,0,18,2833,31*21BB",BoSS,19,09:31:12,0.0,0.0,0,0,18,2833,31
"$$BoSS,20,09:31:22,0.000000,0.000000,0,0,18,2835,31*69F0",BoSS,20,09:31:22,0.0,0.0,0,0,18,2835,31
"$$BoSS,13,09:47:56,52.031883,-1.018400,140,6,6,2812,08*F17B",BoSS,13,09:47:56,52.031883,-1.0184,140,6,6,2812,8
"$$BoSS,14,09:48:11,52.031868,-1.018347,152,6,6,2810,08*A708",BoSS,14,09:48:11,52.031868,-1.018347,152,6,6,2810,8
"$$BoSS,15,09:48:21,52.031861,-1.018318,142,5,6,2809,08*23BE",BoSS,15,09:48:21,52.031861,-1.018318,142,5,6,2809,8
"$$BoSS,16,09:48:36,52.031837,-1.018323,138,6,6,2810,08*6C2E",BoSS,16,09:48:36,52.031837,-1.018323,138,6,6,2810,8
"$$BoSS,17,09:48:46,52.031869,-1.018375,139,6,6,2808,08*31DF",BoSS,17,09:48:46,52.031869,-1.018375,139,6,6,2808,8
"$$BoSS,19,09:49:11,52.031855,-1.018369,137,6,5,2807,08*7B62",BoSS,19,09:49:11,52.031855,-1.018369,137,6,5,2807,8
"$$BoSS,20,09:49:26,52.031811,-1.018289,141,5,5,2805,08*D06D",BoSS,20,09:49:26,52.031811,-1.018289,141,5,5,2805,8
"$$BoSS,21,09:49:36,52.031837,-1.018347,151,5,5,2805,08*EB99",BoSS,21,09:49:36,52.031837,-1.018347,151,5,5,2805,8
"$$BoSS,22,09:49:51,52.031875,-1.018331,140,6,5,2804,08*8E51",BoSS,22,09:49:51,52.031875,-1.018331,140,6,5,2804,8
"$$BoSS,23,09:50:01,52.031818,-1.018253,144,5,5,2803,08*D04C",BoSS,23,09:50:01,52.031818,-1.018253,144,5,5,2803,8
"$$BoSS,24,09:50:16,52.031836,-1.018303,144,6,5,2793,08*E5A8",BoSS,24,09:50:16,52.031836,-1.018303,144,6,5,2793,8
"$$BoSS,25,09:50:26,52.031845,-1.018308,141,6,5,2786,08*5077",BoSS,25,09:50:26,52.031845,-1.018308,141,6,5,2786,8
"$$BoSS,26,09:50:41,52.031848,-1.018292,144,4,5,2788,00*7E82",BoSS,26,09:50:41,52.031848,-1.018292,144,4,5,2788,0
"$$BoSS,27,09:50:51,52.031836,-1.018284,146,6,5,2791,08*794E",BoSS,27,09:50:51,52.031836,-1.018284,146,6,5,2791,8
"$$BoSS,28,09:51:06,52.031835,-1.018286,152,5,5,2797,08*7EED",BoSS,28,09:51:06,52.031835,-1.018286,152,5,5,2797,8
"$$BoSS,29,09:51:16,52.031860,-1.018346,149,6,5,2799,08*7E5C",BoSS,29,09:51:16,52.03186,-1.018346,149,6,5,2799,8
"$$BoSS,30,09:51:31,52.031873,-1.018347,143,6,6,2798,08*E93E",BoSS,30,09:51:31,52.031873,-1.018347,143,6,6,2798,8
