_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites
"$$D-5,78,03:22:50,47.74207,9.66818,5485,8*EA1F",DL0TFK,78,03:22:50,47.74207,9.66818,5485,8
"$$D-5,79,03:23:21,47.74364,9.67391,5606,7*22AA",DL0TFK,79,03:23:21,47.74364,9.67391,5606,7
"$$D-5,81,03:24:19,47.74647,9.6852,5831,8*05BD",DL0TFK,81,03:24:19,47.74647,9.6852,5831,8
"$$D-5,85,03:26:23,47.75047,9.71149,6266,7*D964",DL0TFK,85,03:26:23,47.75047,9.71149,6266,7
"$$D-5,86,03:26:55,47.75148,9.71801,6378,6*6C22",DL0TFK,86,03:26:55,47.75148,9.71801,6378,6
"$$D-5,88,03:27:57,47.7541,9.73101,6622,7*897C",DL0TFK,88,03:27:57,47.7541,9.73101,6622,7
"$$D-5,89,03:28:28,47.75484,9.73746,6734,6*3336",DL0TFK,89,03:28:28,47.75484,9.73746,6734,6
"$$D-5,90,03:28:59,47.75552,9.74414,6858,7*FAB2",DL0TFK,90,03:28:59,47.75552,9.74414,6858,7
"$$D-5,91,03:29:30,47.7561,9.75202,7002,6*B6F3",DL0TFK,91,03:29:30,47.7561,9.75202,7002,6
"$$D-5,92,03:29:56,47.75669,9.75873,7091,7*CF97",DL0TFK,92,03:29:56,47.75669,9.75873,7091,7
"$$D-5,93,03:30:27,47.75719,9.76683,7201,6*7FA1",DL0TFK,93,03:30:27,47.75719,9.76683,7201,6
"$$D-5,96,03:32:00,47.75845,9.79258,7530,6*DC91",DL0TFK,96,03:32:00,47.75845,9.79258,7530,6
"$$D-5,99,03:33:34,47.76315,9.82154,7891,6*983B",DL0TFK,99,03:33:34,47.76315,9.82154,7891,6
"$$D-5,104,03:36:05,47.77067,9.87448,8458,7*29F8",DL0TFK,104,03:36:05,47.77067,9.87448,8458,7
"$$D-5,105,03:36:36,47.772,9.88553,8566,7*5E73",DL0TFK,105,03:36:36,47.772,9.88553,8566,7
"$$D-5,106,03:37:08,47.77316,9.89685,8682,6*7539",DL0TFK,106,03:37:08,47.77316,9.89685,8682,6
