_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery,temperature_internal,pressure,bmp_altitude
"$$DOGE1,79,11:19:12,53.22389,-2.07244,378,11,5.23,13.5,973.7,1.9*3723",RAIDEN,79,11:19:12,53.22389,-2.07244,378,11,5.23,13.5,973.7,1.9
"$$DOGE1,85,11:20:48,53.22387,-2.07245,380,11,5.22,14.1,973.6,2.6*7E1C",RAIDEN,85,11:20:48,53.22387,-2.07245,380,11,5.22,14.1,973.6,2.6
"$$DOGE1,86,11:21:04,53.22387,-2.07246,379,10,5.21,14.1,973.6,2.4*15B7",RAIDEN,86,11:21:04,53.22387,-2.07246,379,10,5.21,14.1,973.6,2.4
"$$DOGE1,87,11:21:20,53.22390,-2.07241,378,11,5.21,14.2,973.6,2.4*540A",RAIDEN,87,11:21:20,53.2239,-2.07241,378,11,5.21,14.2,973.6,2.4
"$$DOGE1,88,11:21:36,53.22389,-2.07243,378,11,5.20,14.2,973.5,2.9*8583",RAIDEN,88,11:21:36,53.22389,-2.07243,378,11,5.2,14.2,973.5,2.9
"$$DOGE1,90,11:22:08,53.22389,-2.07245,379,11,5.20,14.2,973.6,2.5*7A7A",RAIDEN,90,11:22:08,53.22389,-2.07245,379,11,5.2,14.2,973.6,2.5
"$$DOGE1,91,11:22:24,53.22389,-2.07246,380,11,5.20,14.2,973.6,2.5*7728",RAIDEN,91,11:22:24,53.22389,-2.07246,380,11,5.2,14.2,973.6,2.5
"$$DOGE1,72,13:31:58,53.22396,-2.07151,1008,10,5.59,21.4,897.7,619.6*A987",M0MKS,72,13:31:58,53.22396,-2.07151,1008,10,5.59,21.4,897.7,619.6
"$$DOGE1,74,13:32:30,53.22350,-2.07307,1231,10,5.54,21.1,875.9,824.2*522C",M0MKS,74,13:32:30,53.2235,-2.07307,1231,10,5.54,21.1,875.9,824.2
"$$DOGE1,78,13:33:36,53.22349,-2.07667,1644,10,5.57,20.3,832.7,1240.5*C115","M0UPU,M0MKS",78,13:33:36,53.22349,-2.07667,1644,10,5.57,20.3,832.7,1240.5
"$$DOGE1,79,13:33:53,53.22349,-2.07790,1755,10,5.58,20.1,822.1,1346.1*962B",M0UPU,79,13:33:53,53.22349,-2.0779,1755,10,5.58,20.1,822.1,1346.1
"$$DOGE1,80,13:34:10,53.22351,-2.07866,1866,10,5.58,19.8,810.4,1462.4*B0DC",M0MKS,80,13:34:10,53.22351,-2.07866,1866,10,5.58,19.8,810.4,1462.4
"$$DOGE1,81,13:34:27,53.22358,-2.07953,1972,9,5.58,19.5,799.0,1578.6*169A",M0MKS,81,13:34:27,53.22358,-2.07953,1972,9,5.58,19.5,799.0,1578.6
"$$DOGE1,82,13:34:43,53.22384,-2.08005,2081,9,5.58,19.2,787.5,1695.4*7972","M0UPU,M0MKS",82,13:34:43,53.22384,-2.08005,2081,9,5.58,19.2,787.5,1695.4
"$$DOGE1,83,13:34:59,53.22390,-2.08062,2188,10,5.58,18.9,777.1,1803.2*4B8E","M0UPU,M0MKS",83,13:34:59,53.2239,-2.08062,2188,10,5.58,18.9,777.1,1803.2
"$$DOGE1,85,13:35:33,53.22393,-2.08168,2417,9,5.58,18.5,755.7,2029.3*1A54",M0UPU,85,13:35:33,53.22393,-2.08168,2417,9,5.58,18.5,755.7,2029.3
"$$DOGE1,87,13:36:05,53.22421,-2.08166,2623,9,5.58,18.0,735.6,2245.2*27AA",M0MKS,87,13:36:05,53.22421,-2.08166,2623,9,5.58,18.0,735.6,2245.2
"$$DOGE1,88,13:36:21,53.22420,-2.08142,2735,9,5.58,17.8,726.0,2350.1*2832","M0UPU,M0MKS",88,13:36:21,53.2242,-2.08142,2735,9,5.58,17.8,726.0,2350.1
"$$DOGE1,90,13:36:53,53.22437,-2.08115,2945,9,5.59,17.3,706.8,2564.2*FC61",M0MKS,90,13:36:53,53.22437,-2.08115,2945,9,5.59,17.3,706.8,2564.2
"$$DOGE1,91,13:37:09,53.22435,-2.08092,3051,9,5.59,17.2,697.9,2664.2*0A0A",M0UPU,91,13:37:09,53.22435,-2.08092,3051,9,5.59,17.2,697.9,2664.2
"$$DOGE1,92,13:37:25,53.22443,-2.08072,3154,9,5.58,17.0,688.4,2772.6*5E47",M0MKS,92,13:37:25,53.22443,-2.08072,3154,9,5.58,17.0,688.4,2772.6
"$$DOGE1,93,13:37:41,53.22454,-2.08044,3262,9,5.59,16.8,678.9,2882.6*E555","M0UPU,M0MKS",93,13:37:41,53.22454,-2.08044,3262,9,5.59,16.8,678.9,2882.6
"$$DOGE1,95,13:38:13,53.22483,-2.07919,3468,9,5.57,16.3,661.5,3087.0*B7C5","M0UPU,EDU0001,M0MKS",95,13:38:13,53.22483,-2.07919,3468,9,5.57,16.3,661.5,3087.0
"$$DOGE1,96,13:38:29,53.22505,-2.07845,3576,9,5.59,16.1,652.4,3195.2*222A",M0MKS,96,13:38:29,53.22505,-2.07845,3576,9,5.59,16.1,652.4,3195.2
"$$DOGE1,97,13:38:45,53.22523,-2.07745,3682,9,5.59,16.2,643.4,-3249.7*D7CB","M0UPU,EDU0001",97,13:38:45,53.22523,-2.07745,3682,9,5.59,16.2,643.4,-3249.7
"$$DOGE1,98,13:39:02,53.22541,-2.07625,3795,9,5.59,16.1,634.1,-3135.9*61FC",EDU0001,98,13:39:02,53.22541,-2.07625,3795,9,5.59,16.1,634.1,-3135.9
"$$DOGE1,99,13:39:19,53.22578,-2.07507,3915,9,5.58,15.8,624.5,-3017.3*0754",M0UPU,99,13:39:19,53.22578,-2.07507,3915,9,5.58,15.8,624.5,-3017.3
"$$DOGE1,101,13:39:53,53.22668,-2.07230,4157,9,5.61,15.1,605.9,-2783.7*C3ED",M0UPU,101,13:39:53,53.22668,-2.0723,4157,9,5.61,15.1,605.9,-2783.7
"$$DOGE1,102,13:40:10,53.22737,-2.07038,4272,9,5.63,14.9,597.7,-2678.0*3897",M0UPU,102,13:40:10,53.22737,-2.07038,4272,9,5.63,14.9,597.7,-2678.0
"$$DOGE1,104,13:40:44,53.22827,-2.06754,4513,9,5.62,14.3,579.1,-2436.1*83BB","M0UPU,EDU0001,M0MKS",104,13:40:44,53.22827,-2.06754,4513,9,5.62,14.3,579.1,-2436.1
"$$DOGE1,105,13:41:01,53.22879,-2.06528,4618,9,5.58,14.3,570.7,-2323.4*AA78",M0UPU,105,13:41:01,53.22879,-2.06528,4618,9,5.58,14.3,570.7,-2323.4
"$$DOGE1,106,13:41:18,53.22921,-2.06291,4740,9,5.61,14.2,561.4,-2199.3*C14D","M0UPU,M0MKS",106,13:41:18,53.22921,-2.06291,4740,9,5.61,14.2,561.4,-2199.3
"$$DOGE1,107,13:41:35,53.22975,-2.06081,4850,9,5.59,13.8,552.8,-2081.6*A8F5","EDU0001,M0MKS",107,13:41:35,53.22975,-2.06081,4850,9,5.59,13.8,552.8,-2081.6
"$$DOGE1,108,13:41:52,53.23048,-2.05830,4966,9,5.58,13.8,544.2,-1962.5*0E53","M0UPU,EDU0001",108,13:41:52,53.23048,-2.0583,4966,9,5.58,13.8,544.2,-1962.5
"$$DOGE1,109,13:42:09,53.23122,-2.05589,5078,9,5.58,13.5,535.5,-1841.1*4421",M0MKS,109,13:42:09,53.23122,-2.05589,5078,9,5.58,13.5,535.5,-1841.1
"$$DOGE1,111,13:42:43,53.23367,-2.05115,5322,9,5.58,13.0,519.2,-1608.6*766C",M0MKS,111,13:42:43,53.23367,-2.05115,5322,9,5.58,13.0,519.2,-1608.6
"$$DOGE1,112,13:43:00,53.23510,-2.04831,5437,9,5.61,12.7,510.2,-1478.4*4768",M0MKS,112,13:43:00,53.2351,-2.04831,5437,9,5.61,12.7,510.2,-1478.4
"$$DOGE1,113,13:43:17,53.23608,-2.04498,5571,9,5.59,12.6,502.4,-1362.6*3F6D","EDU0001,M0MKS",113,13:43:17,53.23608,-2.04498,5571,9,5.59,12.6,502.4,-1362.6
"$$DOGE1,114,13:43:34,53.23708,-2.04164,5684,9,5.59,12.2,494.1,-1239.8*804E",EDU0001,114,13:43:34,53.23708,-2.04164,5684,9,5.59,12.2,494.1,-1239.8
"$$DOGE1,115,13:43:51,53.23876,-2.03755,5803,9,5.61,11.8,486.0,-1117.0*A3E4",M0MKS,115,13:43:51,53.23876,-2.03755,5803,9,5.61,11.8,486.0,-1117.0
"$$DOGE1,118,13:44:25,53.24209,-2.02986,6041,9,5.59,11.2,463.0,-759.1*9476","M0UPU,M0MKS",118,13:44:25,53.24209,-2.02986,6041,9,5.59,11.2,463.0,-759.1
"$$DOGE1,121,13:45:32,53.24932,-2.01386,6513,9,5.62,10.5,441.2,-407.8*FD3C",M0UPU,121,13:45:32,53.24932,-2.01386,6513,9,5.62,10.5,441.2,-407.8
"$$DOGE1,122,13:45:32,53.24932,-2.01386,6513,9,5.62,10.0,434.1,-289.9*B2FD",M0UPU,122,13:45:32,53.24932,-2.01386,6513,9,5.62,10.0,434.1,-289.9
"$$DOGE1,124,13:45:49,53.25156,-2.00965,6647,9,5.57,9.5,418.5,-26.1*27CF","M0UPU,M0MKS",124,13:45:49,53.25156,-2.00965,6647,9,5.57,9.5,418.5,-26.1
"$$DOGE1,127,13:47:10,53.26178,-1.98731,7242,9,5.60,8.8,398.3,328.2*0826",M0MKS,127,13:47:10,53.26178,-1.98731,7242,9,5.6,8.8,398.3,328.2
"$$DOGE1,128,13:47:26,53.26394,-1.98239,7340,9,5.61,8.6,392.1,439.3*1756",M0UPU,128,13:47:26,53.26394,-1.98239,7340,9,5.61,8.6,392.1,439.3
"$$DOGE1,129,13:47:42,53.26594,-1.97745,7481,9,5.61,8.2,385.5,560.4*3A68",M0MKS,129,13:47:42,53.26594,-1.97745,7481,9,5.61,8.2,385.5,560.4
"$$DOGE1,130,13:47:58,53.26826,-1.97270,7587,9,5.61,8.1,379.3,675.7*0CA6",M0UPU,130,13:47:58,53.26826,-1.9727,7587,9,5.61,8.1,379.3,675.7
