_sentence,_receivers,sentence_id,time,latitude,longitude,satellites,altitude,temperature,battery
"$$EDUPIC10,9,08:13:04,5232.57415,-00152.58697,07,231.4,4.75,1.47*32BE",EDU001,9,08:13:04,52.5429025,-1.8764495,7,231.4,4.75,1.47
"$$EDUPIC10,10,08:15:04,5233.01636,-00152.24035,07,314.6,4.25,1.47*4D14",EDU001,10,08:15:04,52.55027267,-1.8706725,7,314.6,4.25,1.47
"$$EDUPIC10,11,08:17:04,5233.66173,-00151.60994,07,395.2,4.5,1.47*3270",EDU001,11,08:17:04,52.56102883,-1.86016567,7,395.2,4.5,1.47
"$$EDUPIC10,12,08:19:04,5234.39219,-00150.34408,07,464.9,4.75,1.47*E4A7",EDU001,12,08:19:04,52.57320317,-1.839068,7,464.9,4.75,1.47
"$$EDUPIC10,13,08:21:04,5235.11960,-00148.78270,07,551.3,4.5,1.47*5692",EDU001,13,08:21:04,52.58532667,-1.813045,7,551.3,4.5,1.47
"$$EDUPIC10,14,08:23:04,5235.83227,-00147.01127,06,617.7,4.25,1.47*7DAE",EDU001,14,08:23:04,52.5972045,-1.78352117,6,617.7,4.25,1.47
"$$EDUPIC10,15,08:25:04,5236.53829,-00145.22621,07,655.3,4,1.47*65CA",EDU001,15,08:25:04,52.6089715,-1.75377017,7,655.3,4.0,1.47
"$$EDUPIC10,16,08:27:04,5237.22764,-00143.30675,07,670.1,4,1.47*CB81",EDU001,16,08:27:04,52.62046067,-1.72177917,7,670.1,4.0,1.47
"$$EDUPIC10,17,08:29:04,5237.83729,-00141.35064,07,805.8,4.25,1.47*2620",EDU001,17,08:29:04,52.6306215,-1.68917733,7,805.8,4.25,1.47
"$$EDUPIC10,18,08:31:04,5238.37747,-00139.34968,06,909.7,3.75,1.47*11BA",EDU001,18,08:31:04,52.6396245,-1.655828,6,909.7,3.75,1.47
"$$EDUPIC10,19,08:33:04,5238.83571,-00137.34628,06,979.2,3.75,1.47*33DA","EDU001,G0WXI,G8IMN",19,08:33:04,52.64726183,-1.622438,6,979.2,3.75,1.47
"$$EDUPIC10,20,08:35:04,5239.20674,-00135.39301,07,1066.5,3.25,1.47*CF13","EDU001,G0WXI,G6GZH,G8IMN,G8KNN",20,08:35:04,52.65344567,-1.5898835,7,1066.5,3.25,1.47
"$$EDUPIC10,21,08:37:04,5239.58295,-00133.49242,06,1149.4,3,1.47*C9CF","EDU001,G8KNN,G8IMN,G6GZH",21,08:37:04,52.65971583,-1.558207,6,1149.4,3.0,1.47
"$$EDUPIC10,22,08:39:04,5239.95420,-00131.60205,06,1161.9,3,1.46*C4F0","EDU001,G0WXI,G6GZH,G8IMN",22,08:39:04,52.66590333,-1.52670083,6,1161.9,3.0,1.46
"$$EDUPIC10,23,08:41:04,5240.35868,-00129.68605,07,1224.2,2.25,1.47*091F","EDU001,G6GZH,G8IMN,G8KNN",23,08:41:04,52.67264467,-1.4947675,7,1224.2,2.25,1.47
"$$EDUPIC10,24,08:43:04,5240.72828,-00127.71495,07,1351.7,1.5,1.46*8D62","EDU001,M0UPU,G8KNN,G1DYQ,G6GZH,G8IMN",24,08:43:04,52.67880467,-1.46191583,7,1351.7,1.5,1.46
"$$EDUPIC10,25,08:45:04,5241.04385,-00125.70252,05,1482.8,0.75,1.46*864C","G8KNN-1,EDU001,G8KNN,G1DYQ,G6GZH,G8IMN",25,08:45:04,52.68406417,-1.42837533,5,1482.8,0.75,1.46
"$$EDUPIC10,26,08:47:04,5241.29768,-00123.73173,05,1587.6,0,1.46*FDCC","G8KNN-1,EDU001,M0UPU,G8KNN,G1DYQ,G6GZH,G8IMN",26,08:47:04,52.68829467,-1.39552883,5,1587.6,0.0,1.46
"$$EDUPIC10,27,08:49:08,5241.57185,-00121.70506,08,1676.6,0,1.45*98B5","G8KNN-1,EDU001,M0UPU,G8KNN,G1DYQ,G6GZH,G8IMN",27,08:49:08,52.69286417,-1.361751,8,1676.6,0.0,1.45
"$$EDUPIC10,28,08:51:04,5241.91973,-00119.78509,07,1745.8,-0.75,1.45*F1A8","G8KNN-1,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",28,08:51:04,52.69866217,-1.3297515,7,1745.8,-0.75,1.45
"$$EDUPIC10,29,08:53:04,5242.35849,-00117.74888,07,1793.7,-0.75,1.45*3DC6","G8KNN-1,EDU001,M0UPU,M0MDB,G1DYQ,G0WXI,G6GZH,G8IMN",29,08:53:04,52.70597483,-1.29581467,7,1793.7,-0.75,1.45
"$$EDUPIC10,30,08:55:04,5242.76139,-00115.85486,08,1800.9,-0.5,1.46*2CE2","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G0WXI,G6GZH,G8IMN",30,08:55:04,52.71268983,-1.26424767,8,1800.9,-0.5,1.46
"$$EDUPIC10,31,08:57:04,5243.15658,-00114.08749,08,1813.4,0.25,1.46*73DC","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G1DYQ,G0WXI,G6GZH,G8IMN",31,08:57:04,52.71927633,-1.2347915,8,1813.4,0.25,1.46
"$$EDUPIC10,32,08:59:04,5243.50282,-00112.54863,06,1828.3,2,1.46*4068","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G0WXI,G6GZH,G8IMN",32,08:59:04,52.725047,-1.20914383,6,1828.3,2.0,1.46
"$$EDUPIC10,33,09:01:04,5243.85778,-00111.12352,06,1847.2,2.5,1.46*1E56","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G1DYQ,G0WXI,G6GZH,G8IMN",33,09:01:04,52.730963,-1.185392,6,1847.2,2.5,1.46
"$$EDUPIC10,34,09:03:04,5244.22980,-00109.80801,08,1935.7,2,1.46*CB4A","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G1DYQ,PB0AHX-websdr,G6GZH,G8IMN",34,09:03:04,52.73716333,-1.16346683,8,1935.7,2.0,1.46
"$$EDUPIC10,35,09:05:04,5244.57271,-00108.42283,07,2073.5,1.75,1.46*97F0","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G6GZH,G8IMN",35,09:05:04,52.7428785,-1.1403805,7,2073.5,1.75,1.46
"$$EDUPIC10,36,09:07:04,5244.83891,-00106.89779,07,2217.0,-0.5,1.46*311D","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",36,09:07:04,52.74731517,-1.11496317,7,2217.0,-0.5,1.46
"$$EDUPIC10,37,09:09:04,5245.11459,-00105.24053,07,2414.7,-2.5,1.45*5822","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",37,09:09:04,52.75190983,-1.08734217,7,2414.7,-2.5,1.45
"$$EDUPIC10,38,09:11:04,5245.35613,-00103.50084,08,2625.8,-4.5,1.46*A25C","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",38,09:11:04,52.7559355,-1.05834733,8,2625.8,-4.5,1.46
"$$EDUPIC10,39,09:13:04,5245.57270,-00101.81701,07,2746.7,-3.25,1.45*BCCC","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",39,09:13:04,52.759545,-1.0302835,7,2746.7,-3.25,1.45
"$$EDUPIC10,39,09:13:04,5245.57270,-00101.81701,07,2746.7,-3.25,1.45*BCCc",EDU001,39,09:13:04,52.759545,-1.0302835,7,2746.7,-3.25,1.45
"$$EDUPIC10,40,09:15:04,5245.78201,-00100.31548,07,2725.0,-3.25,1.45*8C6D","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",40,09:15:04,52.7630335,-1.005258,7,2725.0,-3.25,1.45
"$$EDUPIC10,41,09:17:04,5246.00480,-00058.97084,08,2767.3,-4.25,1.45*AED7","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",41,09:17:04,52.76674667,-0.98284733,8,2767.3,-4.25,1.45
"$$EDUPIC10,42,09:19:04,5246.37376,-00057.78488,10,2862.8,-4.25,1.44*8F08","G8KNN-1,SA6BSS,EDU001,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",42,09:19:04,52.772896,-0.96308133,10,2862.8,-4.25,1.44
"$$EDUPIC10,43,09:21:04,5246.79775,-00056.55485,09,2973.3,-4.75,1.44*0DEC","G8KNN-1,SA6BSS,EDU001,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",43,09:21:04,52.7799625,-0.94258083,9,2973.3,-4.75,1.44
"$$EDUPIC10,44,09:23:04,5247.26660,-00055.35758,09,3057.3,-4.75,1.44*FCBE","G8KNN-1,SA6BSS,EDU001,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",44,09:23:04,52.78777667,-0.92262633,9,3057.3,-4.75,1.44
"$$EDUPIC10,45,09:25:04,5247.71832,-00054.20508,08,3103.4,-4,1.44*66B2","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",45,09:25:04,52.79530533,-0.903418,8,3103.4,-4.0,1.44
"$$EDUPIC10,46,09:27:04,5248.10386,-00053.03944,09,3156.2,-2.25,1.45*D335","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",46,09:27:04,52.801731,-0.88399067,9,3156.2,-2.25,1.45
"$$EDUPIC10,47,09:29:04,5248.45392,-00051.82522,08,3213.3,-1.75,1.45*A8C0","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",47,09:29:04,52.80756533,-0.86375367,8,3213.3,-1.75,1.45
"$$EDUPIC10,48,09:31:04,5248.79549,-00050.55350,10,3304.4,-1.25,1.45*3359","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",48,09:31:04,52.81325817,-0.84255833,10,3304.4,-1.25,1.45
"$$EDUPIC10,49,09:33:04,5249.08594,-00049.24308,09,3439.2,-1,1.45*117F","G8KNN-1,SA6BSS,EDU001,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",49,09:33:04,52.818099,-0.820718,9,3439.2,-1.0,1.45
"$$EDUPIC10,50,09:35:04,5249.34570,-00047.88830,06,3528.1,-0.75,1.46*ADC2","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,G0WXI,G6GZH,G8IMN",50,09:35:04,52.82242833,-0.79813833,6,3528.1,-0.75,1.46
"$$EDUPIC10,51,09:37:04,5249.53263,-00046.56120,09,3610.3,0.5,1.46*4C1A","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",51,09:37:04,52.82554383,-0.77602,9,3610.3,0.5,1.46
"$$EDUPIC10,52,09:39:04,5249.67457,-00045.27660,09,3646.1,2.25,1.46*BA57","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",52,09:39:04,52.8279095,-0.75461,9,3646.1,2.25,1.46
"$$EDUPIC10,53,09:41:04,5249.78731,-00043.94289,09,3668.3,3.25,1.47*E904","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",53,09:41:04,52.8297885,-0.7323815,9,3668.3,3.25,1.47
"$$EDUPIC10,54,09:43:04,5249.91517,-00042.56624,10,3711.8,3.5,1.47*B20C","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH",54,09:43:04,52.8319195,-0.70943733,10,3711.8,3.5,1.47
"$$EDUPIC10,55,09:45:04,5250.05431,-00041.16028,08,3841.6,3.25,1.47*989B","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,PB0AHX-websdr,G0WXI,G6GZH",55,09:45:04,52.8342385,-0.68600467,8,3841.6,3.25,1.47
"$$EDUPIC10,56,09:47:04,5250.20267,-00039.75709,10,3964.6,5.5,1.47*083E","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,PB0AHX-websdr,G0WXI,G6GZH,G8IMN",56,09:47:04,52.83671117,-0.66261817,10,3964.6,5.5,1.47
"$$EDUPIC10,57,09:49:04,5250.35081,-00038.42641,10,4069.0,6,1.47*6A8E","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,PB0AHX-websdr,G0WXI,G6GZH",57,09:49:04,52.83918017,-0.64044017,10,4069.0,6.0,1.47
"$$EDUPIC10,58,09:51:04,5250.50726,-00037.06455,11,4145.7,5.75,1.47*965C","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G6GZH-1,PB0AHX-websdr,G0WXI,G6GZH",58,09:51:04,52.84178767,-0.6177425,11,4145.7,5.75,1.47
"$$EDUPIC10,59,09:53:04,5250.64506,-00035.68706,10,4203.5,5.25,1.47*81E4","G8KNN-1,SA6BSS,M0UPU,M0MDB,G8KNN,G1DYQ,G6GZH-1,PB0AHX-websdr,G0WXI,G6GZH",59,09:53:04,52.84408433,-0.59478433,10,4203.5,5.25,1.47
"$$EDUPIC10,60,09:55:04,5250.80054,-00034.17693,10,4254.6,5.5,1.48*EC34","G8KNN-1,SA6BSS,F5APQ,M0MDB,G8KNN,G1DYQ,PB0AHX-websdr,G0WXI,G6GZH,G8IMN,M0UPU",60,09:55:04,52.84667567,-0.5696155,10,4254.6,5.5,1.48
