_sentence,_receivers,sentence_id,time,latitude,longitude,satellites,altitude,flightmode,gps_mode,temperature,battery
"$$EDUPIC7,6,07:44:24,5232.32445,-00152.68475,06,148.2,0,0,23,1.44*A86C",EDU001,6,07:44:24,52.53874083,-1.87807917,6,148.2,0,0,23.0,1.44
"$$EDUPIC7,7,07:44:54,5232.30978,-00152.68591,06,129.5,0,0,23.5,1.43*47AA",EDU001,7,07:44:54,52.53849633,-1.8780985,6,129.5,0,0,23.5,1.43
"$$EDUPIC7,8,07:47:24,5232.32802,-00152.68888,06,152.5,0,0,22.75,1.4*A4A2",EDU001,8,07:47:24,52.53880033,-1.878148,6,152.5,0,0,22.75,1.4
"$$EDUPIC7,9,07:47:54,5232.31998,-00152.68555,06,133.3,0,0,23.25,1.4*67F7",EDU001,9,07:47:54,52.53866633,-1.8780925,6,133.3,0,0,23.25,1.4
"$$EDUPIC7,10,07:50:09,5232.32329,-00152.68542,05,135.5,0,0,22,1.39*E5F6",EDU001,10,07:50:09,52.5387215,-1.87809033,5,135.5,0,0,22.0,1.39
"$$EDUPIC7,11,07:50:24,5232.32636,-00152.68683,06,144.8,0,0,23,1.36*8463",EDU001,11,07:50:24,52.53877267,-1.87811383,6,144.8,0,0,23.0,1.36
"$$EDUPIC7,12,07:52:44,5232.32149,-00152.69174,05,124.2,0,0,22.75,1.4*22A7",EDU001,12,07:52:44,52.5386915,-1.87819567,5,124.2,0,0,22.75,1.4
"$$EDUPIC7,13,07:53:05,5232.31965,-00152.68793,05,121.6,0,0,23.5,1.36*531B",EDU001,13,07:53:05,52.53866083,-1.87813217,5,121.6,0,0,23.5,1.36
"$$EDUPIC7,2,08:06:44,5232.31068,-00152.68880,05,121.6,0,0,23.5,1.38*5E7B",EDU001,2,08:06:44,52.53851133,-1.87814667,5,121.6,0,0,23.5,1.38
"$$EDUPIC7,3,08:08:58,5232.33693,-00152.69004,06,177.3,0,0,23.25,1.33*9950",EDU001,3,08:08:58,52.53894883,-1.87816733,6,177.3,0,0,23.25,1.33
"$$EDUPIC7,2,08:14:34,5232.31189,-00152.68420,05,103.8,0,0,23.75,1.36*6582",EDU001,2,08:14:34,52.5385315,-1.87807,5,103.8,0,0,23.75,1.36
