_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery,temperature_internal
"$$FALCON,40,13:52:31,+50.821541,+4.428860,3730,10,4.40,23.5*B090",PD5TON,40,13:52:31,50.821541,4.42886,3730,10,4.4,23.5
"$$FALCON,43,13:53:17,+50.826672,+4.436520,4068,10,4.39,23.0*04D6","PE1ANS,PD5TON",43,13:53:17,50.826672,4.43652,4068,10,4.39,23.0
"$$FALCON,44,13:53:32,+50.828732,+4.439450,4172,10,4.40,23.0*DC1F",PE1ANS,44,13:53:32,50.828732,4.43945,4172,10,4.4,23.0
"$$FALCON,45,13:53:46,+50.830761,+4.442360,4283,10,4.39,22.5*D4CE","PE1ANS,PD5TON",45,13:53:46,50.830761,4.44236,4283,10,4.39,22.5
"$$FALCON,46,13:54:01,+50.833061,+4.445300,4395,10,4.40,22.5*EDC4","PE1ANS,PD5TON",46,13:54:01,50.833061,4.4453,4395,10,4.4,22.5
"$$FALCON,47,13:54:16,+50.835522,+4.448410,4498,10,4.39,22.5*C9EC","PE1ANS,PD5TON",47,13:54:16,50.835522,4.44841,4498,10,4.39,22.5
"$$FALCON,48,13:54:31,+50.837849,+4.451290,4608,10,4.40,22.0*9294",PD5TON,48,13:54:31,50.837849,4.45129,4608,10,4.4,22.0
"$$FALCON,49,13:54:46,+50.840260,+4.454090,4705,10,4.38,22.0*1BE0","PE1ANS,PD5TON",49,13:54:46,50.84026,4.45409,4705,10,4.38,22.0
"$$FALCON,50,13:55:02,+50.842461,+4.457210,4824,10,4.40,21.5*987E","PE1ANS,PD5TON",50,13:55:02,50.842461,4.45721,4824,10,4.4,21.5
"$$FALCON,51,13:55:17,+50.844292,+4.460000,4925,10,4.39,21.5*EE8A","PE1ANS,PD5TON",51,13:55:17,50.844292,4.46,4925,10,4.39,21.5
"$$FALCON,52,13:55:31,+50.846008,+4.462560,5031,10,4.38,21.5*8DB3","PE1ANS,PD5TON",52,13:55:31,50.846008,4.46256,5031,10,4.38,21.5
"$$FALCON,53,13:55:46,+50.847820,+4.465590,5139,10,4.39,21.0*7C8A","PE1ANS,PD5TON",53,13:55:46,50.84782,4.46559,5139,10,4.39,21.0
"$$FALCON,55,13:56:16,+50.851650,+4.471830,5354,10,4.38,20.5*E756",PE1ANS,55,13:56:16,50.85165,4.47183,5354,10,4.38,20.5
"$$FALCON,56,13:56:31,+50.853870,+4.474920,5455,10,4.37,20.5*81CE",PE1ANS,56,13:56:31,50.85387,4.47492,5455,10,4.37,20.5
"$$FALCON,58,13:57:02,+50.858181,+4.482870,5666,10,4.39,20.0*AB92",PE1ANS,58,13:57:02,50.858181,4.48287,5666,10,4.39,20.0
"$$FALCON,59,13:57:16,+50.860371,+4.486650,5773,10,4.37,19.5*B974",PE1ANS,59,13:57:16,50.860371,4.48665,5773,10,4.37,19.5
"$$FALCON,60,13:57:31,+50.862919,+4.490850,5880,10,4.39,19.5*2E44",PE1ANS,60,13:57:31,50.862919,4.49085,5880,10,4.39,19.5
"$$FALCON,61,13:57:46,+50.865700,+4.495170,5979,10,4.39,19.0*197F",PE1ANS,61,13:57:46,50.8657,4.49517,5979,10,4.39,19.0
"$$FALCON,62,13:58:01,+50.868351,+4.499550,6084,10,4.37,19.0*09A2",PE1ANS,62,13:58:01,50.868351,4.49955,6084,10,4.37,19.0
"$$FALCON,63,13:58:15,+50.871021,+4.503070,6183,10,4.37,18.5*AC86",PE1ANS,63,13:58:15,50.871021,4.50307,6183,10,4.37,18.5
"$$FALCON,64,13:58:30,+50.873680,+4.506960,6289,10,4.37,18.5*B718",PE1ANS,64,13:58:30,50.87368,4.50696,6289,10,4.37,18.5
"$$FALCON,66,13:59:01,+50.879570,+4.514860,6515,10,4.36,17.5*D8EB","PE1ANS,PD5TON",66,13:59:01,50.87957,4.51486,6515,10,4.36,17.5
"$$FALCON,67,13:59:16,+50.882381,+4.518690,6634,10,4.37,17.5*1D3B","PE1ANS,PD5TON",67,13:59:16,50.882381,4.51869,6634,10,4.37,17.5
"$$FALCON,68,13:59:31,+50.885391,+4.522210,6750,10,4.38,17.0*1D92","PE1ANS,PD5TON",68,13:59:31,50.885391,4.52221,6750,10,4.38,17.0
"$$FALCON,69,13:59:46,+50.888500,+4.525970,6856,10,4.37,17.0*CA22","PE1ANS,PD5TON",69,13:59:46,50.8885,4.52597,6856,10,4.37,17.0
"$$FALCON,70,14:00:00,+50.891472,+4.529750,6968,10,4.36,16.5*0068",PD5TON,70,14:00:00,50.891472,4.52975,6968,10,4.36,16.5
"$$FALCON,72,14:00:30,+50.897770,+4.537430,7195,10,4.37,16.0*B555",PE1ANS,72,14:00:30,50.89777,4.53743,7195,10,4.37,16.0
