_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,pressure_altitude,speed,heading,temperature,pressure,battery,flags,satellites
"$$FOKUS-1,36,223859,0,0,0,-45,0,0,20,101867,150,208,0*7BEB",SQ5KTM,36,22:38:59,0.0,0.0,0,-45,0,0,20,101867,1.5,208,0
"$$FOKUS-1,38,223928,0,0,0,-45,0,0,20,101869,150,208,0*85DE",SQ5KTM,38,22:39:28,0.0,0.0,0,-45,0,0,20,101869,1.5,208,0
"$$FOKUS-1,39,223942,0,0,0,-45,0,0,20,101874,150,208,0*5BDF",SQ5KTM,39,22:39:42,0.0,0.0,0,-45,0,0,20,101874,1.5,208,0
"$$FOKUS-1,40,223956,0,0,0,-45,0,0,20,101871,150,208,0*E27F",SQ5KTM,40,22:39:56,0.0,0.0,0,-45,0,0,20,101871,1.5,208,0
"$$FOKUS-1,41,224010,0,0,0,-45,0,0,20,101873,150,208,0*DAF3",SQ5KTM,41,22:40:10,0.0,0.0,0,-45,0,0,20,101873,1.5,208,0
"$$FOKUS-1,3,083847,0,0,0,-35,0,0,3,101751,160,208,0*FEDE",SQ5RWU,3,08:38:47,0.0,0.0,0,-35,0,0,3,101751,1.6,208,0
"$$FOKUS-1,4,083902,0,0,0,-35,0,0,4,101752,160,208,0*0575",SQ5RWU,4,08:39:02,0.0,0.0,0,-35,0,0,4,101752,1.6,208,0
"$$FOKUS-1,5,083916,0,0,0,-28,0,0,5,101670,158,208,0*C427",SQ5RWU,5,08:39:16,0.0,0.0,0,-28,0,0,5,101670,1.58,208,0
"$$FOKUS-1,6,083930,0,0,0,-30,0,0,6,101686,157,208,0*2EF0",SQ5RWU,6,08:39:30,0.0,0.0,0,-30,0,0,6,101686,1.57,208,0
"$$FOKUS-1,7,083943,0,0,0,-33,0,0,5,101729,157,208,0*8D91",SQ5RWU,7,08:39:43,0.0,0.0,0,-33,0,0,5,101729,1.57,208,0
"$$FOKUS-1,8,083957,52.50570,21.05926,124,-32,0,0,6,101710,156,0b,4*03A7",SQ5RWU,8,08:39:57,52.5057,21.05926,124,-32,0,0,6,101710,1.56,0b,4
"$$FOKUS-1,9,084011,52.50569,21.05927,119,-30,0,0,7,101697,154,20b,4*F6A6",SQ5RWU,9,08:40:11,52.50569,21.05927,119,-30,0,0,7,101697,1.54,20b,4
"$$FOKUS-1,10,084028,52.50573,21.05932,119,-31,0,50,6,101703,155,20b,5*6ADC",SQ5RWU,10,08:40:28,52.50573,21.05932,119,-31,0,50,6,101703,1.55,20b,5
"$$FOKUS-1,11,084045,52.50573,21.05934,119,-30,0,50,6,101690,155,21b,6*8AE3",SQ5RWU,11,08:40:45,52.50573,21.05934,119,-30,0,50,6,101690,1.55,21b,6
"$$FOKUS-1,12,084103,52.50574,21.05933,119,-30,0,50,6,101692,154,21b,6*2130",SQ5RWU,12,08:41:03,52.50574,21.05933,119,-30,0,50,6,101692,1.54,21b,6
"$$FOKUS-1,13,084120,52.50574,21.05929,120,-29,0,50,5,101677,154,21b,4*7424",SQ5RWU,13,08:41:20,52.50574,21.05929,120,-29,0,50,5,101677,1.54,21b,4
"$$FOKUS-1,14,084138,52.50576,21.05929,109,-33,0,50,5,101726,154,21b,6*C9D5",SQ5RWU,14,08:41:38,52.50576,21.05929,109,-33,0,50,5,101726,1.54,21b,6
"$$FOKUS-1,15,084156,52.50570,21.05934,114,-29,1,50,5,101679,153,21b,6*2A74",SQ5RWU,15,08:41:56,52.5057,21.05934,114,-29,1,50,5,101679,1.53,21b,6
"$$FOKUS-1,16,084213,52.50571,21.05940,114,-32,0,50,5,101712,153,21b,6*1031",SQ5RWU,16,08:42:13,52.50571,21.0594,114,-32,0,50,5,101712,1.53,21b,6
"$$FOKUS-1,17,084231,52.50569,21.05931,100,-32,0,50,5,101712,152,21b,5*DE77",SQ5RWU,17,08:42:31,52.50569,21.05931,100,-32,0,50,5,101712,1.52,21b,5
"$$FOKUS-1,18,084249,52.50567,21.05923,112,-32,0,50,5,101712,152,21b,6*3C62",SQ5RWU,18,08:42:49,52.50567,21.05923,112,-32,0,50,5,101712,1.52,21b,6
"$$FOKUS-1,19,084306,52.50568,21.05921,109,-28,1,50,6,101673,151,21b,5*F453",SQ5RWU,19,08:43:06,52.50568,21.05921,109,-28,1,50,6,101673,1.51,21b,5
"$$FOKUS-1,20,084324,52.50569,21.05881,135,-34,0,237,7,101742,151,21b,6*8607",SQ5RWU,20,08:43:24,52.50569,21.05881,135,-34,0,237,7,101742,1.51,21b,6
"$$FOKUS-1,21,084342,52.50573,21.05911,132,-36,0,237,8,101769,150,21b,6*9B1C",SQ5RWU,21,08:43:42,52.50573,21.05911,132,-36,0,237,8,101769,1.5,21b,6
"$$FOKUS-1,22,084400,52.50578,21.05925,126,-34,0,237,6,101741,150,21b,5*CDA5",SQ5RWU,22,08:44:00,52.50578,21.05925,126,-34,0,237,6,101741,1.5,21b,5
"$$FOKUS-1,23,084418,52.50573,21.05927,118,-34,0,338,5,101736,150,21b,4*6B9F",SQ5RWU,23,08:44:18,52.50573,21.05927,118,-34,0,338,5,101736,1.5,21b,4
"$$FOKUS-1,24,084435,52.50606,21.05914,120,-33,27,343,5,101728,149,21b,5*22CD",SQ5RWU,24,08:44:35,52.50606,21.05914,120,-33,27,343,5,101728,1.49,21b,5
"$$FOKUS-1,25,084453,52.50598,21.05920,126,-32,0,10,5,101715,148,21b,6*E04B",SQ5RWU,25,08:44:53,52.50598,21.0592,126,-32,0,10,5,101715,1.48,21b,6
"$$FOKUS-1,26,084511,52.50581,21.05916,127,-38,1,10,5,101789,148,21b,6*193A",SQ5RWU,26,08:45:11,52.50581,21.05916,127,-38,1,10,5,101789,1.48,21b,6
"$$FOKUS-1,27,084529,52.50575,21.05923,127,-36,1,10,6,101761,148,21b,5*662F",SQ5RWU,27,08:45:29,52.50575,21.05923,127,-36,1,10,6,101761,1.48,21b,5
"$$FOKUS-1,28,084547,52.50567,21.05926,118,-37,1,343,6,101774,148,21b,4*5964",SQ5RWU,28,08:45:47,52.50567,21.05926,118,-37,1,343,6,101774,1.48,21b,4
"$$FOKUS-1,29,084605,52.50569,21.05922,121,-37,0,240,7,101775,148,21b,6*35F1",SQ5RWU,29,08:46:05,52.50569,21.05922,121,-37,0,240,7,101775,1.48,21b,6
"$$FOKUS-1,30,084622,52.50571,21.05920,122,-37,0,240,8,101776,147,21b,4*EDF3",SQ5RWU,30,08:46:22,52.50571,21.0592,122,-37,0,240,8,101776,1.47,21b,4
"$$FOKUS-1,31,084640,52.50570,21.05919,120,-38,0,240,8,101791,147,21b,6*1DA4",SQ5RWU,31,08:46:40,52.5057,21.05919,120,-38,0,240,8,101791,1.47,21b,6
"$$FOKUS-1,32,084658,52.50564,21.05915,119,-38,0,240,9,101786,147,21b,6*9223",SQ5RWU,32,08:46:58,52.50564,21.05915,119,-38,0,240,9,101786,1.47,21b,6
"$$FOKUS-1,33,084716,52.50570,21.05920,117,-36,0,240,9,101765,148,21b,6*BB94",SQ5RWU,33,08:47:16,52.5057,21.0592,117,-36,0,240,9,101765,1.48,21b,6
"$$FOKUS-1,34,084734,52.50571,21.05912,125,-37,1,240,9,101781,147,21b,6*23B4",SQ5RWU,34,08:47:34,52.50571,21.05912,125,-37,1,240,9,101781,1.47,21b,6
"$$FOKUS-1,35,084752,52.50567,21.05913,130,-38,0,240,10,101785,147,21b,6*A11F",SQ5RWU,35,08:47:52,52.50567,21.05913,130,-38,0,240,10,101785,1.47,21b,6
"$$FOKUS-1,36,084810,52.50575,21.05921,132,-37,3,240,10,101778,148,21b,5*8FFC",SQ5RWU,36,08:48:10,52.50575,21.05921,132,-37,3,240,10,101778,1.48,21b,5
"$$FOKUS-1,37,084828,52.50570,21.05928,128,-37,0,352,10,101780,146,21b,5*0302",SQ5RWU,37,08:48:28,52.5057,21.05928,128,-37,0,352,10,101780,1.46,21b,5
"$$FOKUS-1,38,084846,52.50575,21.05942,125,-38,1,352,10,101786,146,21b,6*5517",SQ5RWU,38,08:48:46,52.50575,21.05942,125,-38,1,352,10,101786,1.46,21b,6
"$$FOKUS-1,39,084904,52.50575,21.05932,116,-38,0,352,10,101789,145,21b,6*3438",SQ5RWU,39,08:49:04,52.50575,21.05932,116,-38,0,352,10,101789,1.45,21b,6
"$$FOKUS-1,40,084922,52.50576,21.05930,112,-40,0,334,11,101808,146,219,4*EF81",SQ5RWU,40,08:49:22,52.50576,21.0593,112,-40,0,334,11,101808,1.46,219,4
"$$FOKUS-1,41,084940,52.50582,21.05927,111,-39,1,326,11,101802,146,21b,5*004B",SQ5RWU,41,08:49:40,52.50582,21.05927,111,-39,1,326,11,101802,1.46,21b,5
"$$FOKUS-1,42,084958,52.50585,21.05922,113,-38,5,327,11,101791,146,21b,5*39BA",SQ5RWU,42,08:49:58,52.50585,21.05922,113,-38,5,327,11,101791,1.46,21b,5
"$$FOKUS-1,43,085017,52.50579,21.05929,114,-38,0,329,11,101794,146,21b,6*2065",SQ5RWU,43,08:50:17,52.50579,21.05929,114,-38,0,329,11,101794,1.46,21b,6
"$$FOKUS-1,44,085035,52.50581,21.05930,115,-38,0,329,11,101793,146,21b,5*15C2",SQ5RWU,44,08:50:35,52.50581,21.0593,115,-38,0,329,11,101793,1.46,21b,5
"$$FOKUS-1,45,085053,52.50580,21.05931,121,-39,0,329,11,101797,145,21b,5*8881",SQ5RWU,45,08:50:53,52.5058,21.05931,121,-39,0,329,11,101797,1.45,21b,5
"$$FOKUS-1,46,085111,52.50579,21.05937,117,-38,0,329,11,101793,144,21b,4*EA59",SQ5RWU,46,08:51:11,52.50579,21.05937,117,-38,0,329,11,101793,1.44,21b,4
"$$FOKUS-1,47,085129,52.50575,21.05932,115,-38,0,329,11,101794,146,21b,5*7485",SQ5RWU,47,08:51:29,52.50575,21.05932,115,-38,0,329,11,101794,1.46,21b,5
"$$FOKUS-1,48,085147,52.50577,21.05928,110,-40,0,329,12,101807,145,21b,5*6246",SQ5RWU,48,08:51:47,52.50577,21.05928,110,-40,0,329,12,101807,1.45,21b,5
"$$FOKUS-1,49,085205,52.50579,21.05933,114,-39,0,329,12,101803,146,21b,5*2E76",SQ5RWU,49,08:52:05,52.50579,21.05933,114,-39,0,329,12,101803,1.46,21b,5
"$$FOKUS-1,50,085223,52.50577,21.05930,110,-39,0,329,12,101800,145,21b,5*F07A",SQ5RWU,50,08:52:23,52.50577,21.0593,110,-39,0,329,12,101800,1.45,21b,5
"$$FOKUS-1,51,085242,52.50567,21.05936,100,-39,1,329,12,101803,145,21b,5*4F4C",SQ5RWU,51,08:52:42,52.50567,21.05936,100,-39,1,329,12,101803,1.45,21b,5
"$$FOKUS-1,52,085300,52.50567,21.05932,93,-39,0,329,12,101802,145,21b,5*2372",SQ5RWU,52,08:53:00,52.50567,21.05932,93,-39,0,329,12,101802,1.45,21b,5
"$$FOKUS-1,53,085318,52.50578,21.05924,92,-39,1,329,12,101800,145,21b,5*B15D",SQ5RWU,53,08:53:18,52.50578,21.05924,92,-39,1,329,12,101800,1.45,21b,5
"$$FOKUS-1,54,085336,52.50583,21.05921,112,-39,1,329,12,101800,144,21b,6*594D",SQ5RWU,54,08:53:36,52.50583,21.05921,112,-39,1,329,12,101800,1.44,21b,6
"$$FOKUS-1,55,085354,52.50585,21.05918,102,-39,0,329,12,101802,145,21b,6*05BE",SQ5RWU,55,08:53:54,52.50585,21.05918,102,-39,0,329,12,101802,1.45,21b,6
