_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,status,unknown1,unknown2
"$$HABDUINO,416,12:48:01,51.955359,-2.717841,7411,4,19,2851,20*B7A5","G8ZBJ,0x17,G8DHE,EDU001",416,12:48:01,51.955359,-2.717841,7411,4,19,2851,20
"$$HABDUINO,417,12:48:16,51.955499,-2.721438,7489,6,19,2854,00*B788","G8ZBJ,0x17,G8DHE,EDU001",417,12:48:16,51.955499,-2.721438,7489,6,19,2854,00
"$$HABDUINO,418,12:48:26,51.955747,-2.725470,7593,7,19,2851,00*50BD","G8ZBJ,0x17,G8DHE,EDU001",418,12:48:26,51.955747,-2.72547,7593,7,19,2851,00
"$$HABDUINO,419,12:48:41,0.000000,0.000000,7648,0,19,2848,00*8D6B","G8ZBJ,0x17,G3ZGZ,EDU001",419,12:48:41,0.0,0.0,7648,0,19,2848,00
"$$HABDUINO,420,12:48:55,51.956405,-2.732655,7720,8,18,2848,00*44DB","G8ZBJ,0x17,G3ZGZ,G8DHE,EDU001",420,12:48:55,51.956405,-2.732655,7720,8,18,2848,00
"$$HABDUINO,421,12:49:10,51.957303,-2.736655,7791,6,18,2850,00*B8B0","G8ZBJ,0x17,G3ZGZ,EDU001,G8DHE",421,12:49:10,51.957303,-2.736655,7791,6,18,2850,00
"$$HABDUINO,422,12:49:25,51.957885,-2.740010,7863,7,18,2848,00*C6B3","G8ZBJ,G3ZGZ,EDU001,G8DHE",422,12:49:25,51.957885,-2.74001,7863,7,18,2848,00
"$$HABDUINO,423,12:49:40,51.958639,-2.744894,7947,7,18,2853,00*E060","G8ZBJ,0x17,G3ZGZ,EDU001,G8DHE",423,12:49:40,51.958639,-2.744894,7947,7,18,2853,00
"$$HABDUINO,424,12:49:50,51.959032,-2.748116,8016,7,18,2854,00*A0F7","G8ZBJ,0x17,G3ZGZ,G8DHE,EDU001",424,12:49:50,51.959032,-2.748116,8016,7,18,2854,00
"$$HABDUINO,425,12:50:05,0.000000,0.000000,8064,0,17,2852,00*7E5F","G8ZBJ,0x17,G3ZGZ,EDU001",425,12:50:05,0.0,0.0,8064,0,17,2852,00
"$$HABDUINO,426,12:50:19,51.960589,-2.755982,8150,8,17,2839,00*A997","G8ZBJ,0x17,G3ZGZ,EDU001,G8DHE",426,12:50:19,51.960589,-2.755982,8150,8,17,2839,00
"$$HABDUINO,427,12:50:34,51.962056,-2.760468,8239,6,17,2831,00*4C67","G8ZBJ,0x17,G3ZGZ,G8DHE,EDU001",427,12:50:34,51.962056,-2.760468,8239,6,17,2831,00
"$$HABDUINO,428,12:50:49,51.963071,-2.765293,8321,6,17,2842,00*8662","G8ZBJ,0x17,G3ZGZ,G8DHE,EDU001",428,12:50:49,51.963071,-2.765293,8321,6,17,2842,00
"$$HABDUINO,429,12:51:03,51.964164,-2.769697,8398,8,17,2843,00*B650","G8ZBJ,0x17,G3ZGZ,EDU001",429,12:51:03,51.964164,-2.769697,8398,8,17,2843,00
"$$HABDUINO,430,12:51:17,51.965232,-2.773883,8475,4,16,2839,20*A8B7","G8ZBJ,0x17,G3ZGZ,G8DHE,EDU001",430,12:51:17,51.965232,-2.773883,8475,4,16,2839,20
"$$HABDUINO,431,12:51:32,51.966873,-2.779063,8569,8,16,2841,00*F9BB","G8ZBJ,0x17,G3ZGZ,EDU001",431,12:51:32,51.966873,-2.779063,8569,8,16,2841,00
"$$HABDUINO,432,12:51:46,51.968414,-2.784313,8650,7,16,2841,00*ECC2","G8ZBJ,G3ZGZ,EDU001",432,12:51:46,51.968414,-2.784313,8650,7,16,2841,00
