_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,temp_cam1,temp_cam2,temp_svr1,temp_svr2,satellites,flight_phase,flags
"$$HL1,26,11:11:35,52.25161,-0.09239,75,26.6,27.1,29.3,28.6,7,2,470*D31C",G8KHW,26,11:11:35,52.25161,-0.09239,75,26.6,27.1,29.3,28.6,7,2,470
"$$HL1,27,11:11:50,52.25161,-0.09238,79,26.6,27.1,29.4,29.1,7,2,470*E069",G8KHW,27,11:11:50,52.25161,-0.09238,79,26.6,27.1,29.4,29.1,7,2,470
"$$HL1,28,11:12:05,52.25173,-0.09244,109,26.7,27.1,29.3,28.8,7,2,470*869A",G8KHW,28,11:12:05,52.25173,-0.09244,109,26.7,27.1,29.3,28.8,7,2,470
"$$HL1,29,11:12:20,52.25160,-0.09238,67,26.7,27.1,29.3,28.9,7,2,470*CA4B",G8KHW,29,11:12:20,52.2516,-0.09238,67,26.7,27.1,29.3,28.9,7,2,470
"$$HL1,31,11:12:50,52.25163,-0.09237,76,26.8,27.1,29.3,28.9,7,2,470*BF60",G8KHW,31,11:12:50,52.25163,-0.09237,76,26.8,27.1,29.3,28.9,7,2,470
"$$HL1,32,11:13:05,52.25164,-0.09234,70,27.0,27.2,29.3,28.8,7,2,470*BF0B",G8KHW,32,11:13:05,52.25164,-0.09234,70,27.0,27.2,29.3,28.8,7,2,470
"$$HL1,33,11:13:20,52.25159,-0.09238,54,26.5,27.0,29.3,28.8,7,2,470*EB31",G8KHW,33,11:13:20,52.25159,-0.09238,54,26.5,27.0,29.3,28.8,7,2,470
"$$HL1,34,11:13:35,52.25158,-0.09238,48,26.3,27.1,29.3,29.0,7,2,470*9665",G8KHW,34,11:13:35,52.25158,-0.09238,48,26.3,27.1,29.3,29.0,7,2,470
"$$HL1,35,11:13:50,52.25157,-0.09242,49,27.0,27.4,29.8,29.3,7,2,470*7D7F",G8KHW,35,11:13:50,52.25157,-0.09242,49,27.0,27.4,29.8,29.3,7,2,470
"$$HL1,36,11:14:05,52.25157,-0.09239,45,26.8,27.3,30.0,29.5,8,2,470*3BF6",G8KHW,36,11:14:05,52.25157,-0.09239,45,26.8,27.3,30.0,29.5,8,2,470
"$$HL1,37,11:14:20,52.25161,-0.09236,59,27.0,27.4,30.1,29.7,8,2,470*4E64",G8KHW,37,11:14:20,52.25161,-0.09236,59,27.0,27.4,30.1,29.7,8,2,470
"$$HL1,38,11:14:35,52.25160,-0.09235,53,27.4,27.2,30.2,29.8,7,2,470*9317",G8KHW,38,11:14:35,52.2516,-0.09235,53,27.4,27.2,30.2,29.8,7,2,470
"$$HL1,39,11:14:50,52.25160,-0.09233,39,27.3,27.7,30.6,30.1,7,2,470*46E3",G8KHW,39,11:14:50,52.2516,-0.09233,39,27.3,27.7,30.6,30.1,7,2,470
"$$HL1,40,11:15:05,52.25162,-0.09235,46,27.4,27.8,30.7,30.2,7,2,470*FD89",G8KHW,40,11:15:05,52.25162,-0.09235,46,27.4,27.8,30.7,30.2,7,2,470
"$$HL1,41,11:15:20,52.25161,-0.09243,61,27.5,27.9,31.0,30.5,7,2,470*6407",G8KHW,41,11:15:20,52.25161,-0.09243,61,27.5,27.9,31.0,30.5,7,2,470
