_sentence,_receivers,sentence_id,time,latitude,longitude,altitude
"$$JOEY_b,458,16:09:21,51.9670924,-0.7948248,108.0*6213",EMF,458,16:09:21,51.9670924,-0.7948248,108.0
"$$JOEY_b,460,16:09:44,51.9671044,-0.7948153,110.0*2fdc",EMF,460,16:09:44,51.9671044,-0.7948153,110.0
"$$JOEY_b,462,16:10:07,51.9670724,-0.7948031999999999,108.0*65c1","EMF,CALL",462,16:10:07,51.9670724,-0.7948032,108
"$$JOEY_b,464,16:10:30,51.9670937,-0.7948213,106.0*fe31",EMF,464,16:10:30,51.9670937,-0.7948213,106.0
"$$JOEY_b,466,16:10:53,51.967080499999994,-0.7948033,108.0*b2e2",EMF,466,16:10:53,51.9670805,-0.7948033,108.0
"$$JOEY_b,468,16:11:16,51.967105499999995,-0.7948147,106.0*bc01",EMF,468,16:11:16,51.9671055,-0.7948147,106.0
"$$JOEY_b,470,16:11:39,51.967090899999995,-0.7947949999999999,108.0*72ef",EMF,470,16:11:39,51.9670909,-0.794795,108.0
"$$JOEY_b,472,16:12:02,51.967119499999995,-0.7948227,107.0*41c7",EMF,472,16:12:02,51.9671195,-0.7948227,107.0
"$$JOEY_b,474,16:12:25,51.9671107,-0.7948077,110.0*3924",EMF,474,16:12:25,51.9671107,-0.7948077,110.0
"$$JOEY_b,476,16:12:48,51.9671014,-0.7947984,111.0*6b78",EMF,476,16:12:48,51.9671014,-0.7947984,111.0
"$$JOEY_b,478,16:13:11,51.9671003,-0.7948114,107.0*fbd2",EMF,478,16:13:11,51.9671003,-0.7948114,107.0
"$$JOEY_b,480,16:13:34,51.9671034,-0.7948276999999999,109.0*2ba3",EMF,480,16:13:34,51.9671034,-0.7948277,109.0
"$$JOEY_b,482,16:13:57,51.967081,-0.7948124,108.0*5eaf",EMF,482,16:13:57,51.967081,-0.7948124,108.0
"$$JOEY_b,484,16:14:20,51.967088999999994,-0.7948292,109.0*1415",EMF,484,16:14:20,51.967089,-0.7948292,109.0
"$$JOEY_b,486,16:14:43,51.967085999999995,-0.7948314,109.0*6d01",EMF,486,16:14:43,51.967086,-0.7948314,109.0
"$$JOEY_b,488,16:15:06,51.9670938,-0.7948175,108.0*d9d5",EMF,488,16:15:06,51.9670938,-0.7948175,108.0
"$$JOEY_b,490,16:15:29,51.9671028,-0.7948191,108.0*606d",EMF,490,16:15:29,51.9671028,-0.7948191,108.0
"$$JOEY_b,492,16:15:52,51.9670905,-0.7948166,109.0*8757",EMF,492,16:15:52,51.9670905,-0.7948166,109.0
"$$JOEY_b,494,16:16:15,51.9671289,-0.7948525,110.0*c540",EMF,494,16:16:15,51.9671289,-0.7948525,110.0
"$$JOEY_b,496,16:16:38,51.9671099,-0.7948375,109.0*b5c9",EMF,496,16:16:38,51.9671099,-0.7948375,109.0
"$$JOEY_b,498,16:17:01,51.9671204,-0.7948491999999999,106.0*1d7b",EMF,498,16:17:01,51.9671204,-0.7948492,106.0
"$$JOEY_b,506,16:18:33,51.9671117,-0.7947822,107.0*cf5a",EMF,506,16:18:33,51.9671117,-0.7947822,107.0
"$$JOEY_b,508,16:18:56,51.967096399999996,-0.7947765999999999,108.0*df59",EMF,508,16:18:56,51.9670964,-0.7947766,108.0
"$$JOEY_b,510,16:19:19,51.9671002,-0.794781,109.0*6c92",EMF,510,16:19:19,51.9671002,-0.794781,109.0
"$$JOEY_b,512,16:19:42,51.9671315,-0.7947772999999999,106.0*f737",EMF,512,16:19:42,51.9671315,-0.7947773,106.0
"$$JOEY_b,514,16:20:05,51.9670973,-0.7947968,110.0*dd2b",EMF,514,16:20:05,51.9670973,-0.7947968,110.0
"$$JOEY_b,516,16:20:28,51.9670973,-0.7947784,108.0*82d0",EMF,516,16:20:28,51.9670973,-0.7947784,108.0
"$$JOEY_b,518,16:20:51,51.967111499999994,-0.7947852999999999,112.0*77fe",EMF,518,16:20:51,51.9671115,-0.7947853,112.0
"$$JOEY_b,520,16:21:14,51.9670615,-0.7947877,109.0*ab1d",EMF,520,16:21:14,51.9670615,-0.7947877,109.0
"$$JOEY_b,522,16:21:37,51.967096,-0.7947985999999999,109.0*19d5",EMF,522,16:21:37,51.967096,-0.7947986,109.0
"$$JOEY_b,524,16:22:00,51.967106699999995,-0.7947993999999999,108.0*cc8b",EMF,524,16:22:00,51.9671067,-0.7947994,108.0
"$$JOEY_b,526,16:22:23,51.9671075,-0.7947847,108.0*a107",EMF,526,16:22:23,51.9671075,-0.7947847,108.0
"$$JOEY_b,528,16:22:46,51.967084899999996,-0.7947668,105.0*254e",EMF,528,16:22:46,51.9670849,-0.7947668,105.0
"$$JOEY_b,530,16:23:09,51.967089699999995,-0.7947776,107.0*7d4a",EMF,530,16:23:09,51.9670897,-0.7947776,107.0
"$$JOEY_b,602,16:36:57,51.9448997,-0.7477714,857.0*6ec8",EMF,602,16:36:57,51.9448997,-0.7477714,857.0
"$$JOEY_b,604,16:37:20,51.9439608,-0.7458467,890.0*31a1",EMF,604,16:37:20,51.9439608,-0.7458467,890.0
"$$JOEY_b,606,16:37:43,51.943051,-0.7437832,915.0*ac85",EMF,606,16:37:43,51.943051,-0.7437832,915.0
"$$JOEY_b,608,16:38:06,51.9421902,-0.7416210999999999,937.0*f35e",EMF,608,16:38:06,51.9421902,-0.7416211,937.0
"$$JOEY_b,610,16:38:29,51.9412971,-0.739401,958.0*dcc3",EMF,610,16:38:29,51.9412971,-0.739401,958.0
"$$JOEY_b,612,16:38:52,51.9404288,-0.7371620999999999,983.0*6c5b",EMF,612,16:38:52,51.9404288,-0.7371621,983.0
"$$JOEY_b,614,16:39:15,51.939515799999995,-0.7349953,1018.0*25cf",EMF,614,16:39:15,51.9395158,-0.7349953,1018.0
"$$JOEY_b,616,16:39:38,51.9386054,-0.7329293,1046.0*621f","EMF,G8FJG_3",616,16:39:38,51.9386054,-0.7329293,1046
"$$JOEY_b,618,16:40:01,51.9377565,-0.7308597,1069.0*7416","EMF,G8FJG_3",618,16:40:01,51.9377565,-0.7308597,1069
"$$JOEY_b,620,16:40:24,51.936952299999994,-0.728737,1096.0*60d4","EMF,G8FJG_3",620,16:40:24,51.9369523,-0.728737,1096
"$$JOEY_b,622,16:40:47,51.936099,-0.7265712999999999,1112.0*27a1","EMF,G8FJG_3",622,16:40:47,51.936099,-0.7265713,1112
"$$JOEY_b,624,16:41:10,51.9352386,-0.7244796,1130.0*e6a0","EMF,G8FJG_3",624,16:41:10,51.9352386,-0.7244796,1130
"$$JOEY_b,626,16:41:33,51.9343772,-0.7224777,1138.0*384a","EMF,CALL,G8FJG_3",626,16:41:33,51.9343772,-0.7224777,1138
"$$JOEY_b,628,16:41:56,51.933534599999994,-0.7204623,1152.0*7d53","EMF,G8FJG_3",628,16:41:56,51.9335346,-0.7204623,1152
"$$JOEY_b,630,16:42:19,51.932746599999994,-0.7184934,1162.0*02e5","EMF,CALL,G8FJG_3",630,16:42:19,51.9327466,-0.7184934,1162
"$$JOEY_b,632,16:42:42,51.931936199999996,-0.7165161,1170.0*0e14","EMF,CALL",632,16:42:42,51.9319362,-0.7165161,1170
"$$JOEY_b,634,16:43:05,51.9310991,-0.7145264,1190.0*2eb8","EMF,CALL,G8FJG_3",634,16:43:05,51.9310991,-0.7145264,1190
"$$JOEY_b,636,16:43:28,51.9301282,-0.7124617999999999,1212.0*ca44","M6EDF,EMF,G8FJG_3",636,16:43:28,51.9301282,-0.7124618,1212
"$$JOEY_b,638,16:43:51,51.9291281,-0.7104377,1237.0*6fab","M6EDF,EMF,G8FJG_3",638,16:43:51,51.9291281,-0.7104377,1237
"$$JOEY_b,640,16:44:14,51.9281009,-0.7083821,1262.0*9817","M6EDF,EMF,G8FJG_3",640,16:44:14,51.9281009,-0.7083821,1262
"$$JOEY_b,642,16:44:37,51.927102,-0.7063223,1292.0*3cfc","M6EDF,EMF,G8FJG_3",642,16:44:37,51.927102,-0.7063223,1292
"$$JOEY_b,644,16:45:00,51.9260841,-0.7041784999999999,1318.0*7578","M6EDF,EMF,G8FJG_3",644,16:45:00,51.9260841,-0.7041785,1318
"$$JOEY_b,646,16:45:23,51.925021199999996,-0.7020179,1352.0*6838","M6EDF,EMF,G8FJG_3",646,16:45:23,51.9250212,-0.7020179,1352
"$$JOEY_b,648,16:45:46,51.9239208,-0.6998476,1385.0*0e74","M6EDF,EMF,G8FJG_3",648,16:45:46,51.9239208,-0.6998476,1385
"$$JOEY_b,650,16:46:09,51.9228143,-0.6975749,1420.0*e46d","M6EDF,EMF,G8FJG_3",650,16:46:09,51.9228143,-0.6975749,1420
"$$JOEY_b,652,16:46:32,51.9217715,-0.6953431999999999,1454.0*a1a1","M6EDF,EMF,G8FJG_3",652,16:46:32,51.9217715,-0.6953432,1454
"$$JOEY_b,654,16:46:55,51.9207502,-0.693105,1484.0*149e","M6EDF,EMF,G8FJG_3",654,16:46:55,51.9207502,-0.693105,1484
"$$JOEY_b,656,16:47:18,51.9197238,-0.6909794,1517.0*db06","M6EDF,EMF,G8FJG_3",656,16:47:18,51.9197238,-0.6909794,1517
"$$JOEY_b,658,16:47:41,51.918746299999995,-0.6889273,1557.0*bcb7","M6EDF,EMF,G8FJG_3",658,16:47:41,51.9187463,-0.6889273,1557.0
"$$JOEY_b,660,16:48:04,51.9178676,-0.6868061999999999,1582.0*a24c","M6EDF,EMF,G8FJG_3",660,16:48:04,51.9178676,-0.6868062,1582
"$$JOEY_b,662,16:48:27,51.9170048,-0.6846435,1604.0*4764","M6EDF,EMF,G8FJG_3",662,16:48:27,51.9170048,-0.6846435,1604
"$$JOEY_b,664,16:48:50,51.9161055,-0.6824553,1629.0*bf95","M6EDF,EMF,G8FJG_3",664,16:48:50,51.9161055,-0.6824553,1629
"$$JOEY_b,666,16:49:13,51.9152379,-0.6803585999999999,1664.0*a965","M6EDF,EMF,G8FJG_3",666,16:49:13,51.9152379,-0.6803586,1664
