_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,temperature,satellites,gps_lock
"$$JOEY,2911,11:57:46,52.2544020,0.3014553,7451,20.0,10,3*B48B",G6GZH,2911,11:57:46,52.254402,0.3014553,7451,20.0,10,3
"$$JOEY,2912,11:58:06,52.2546960,0.3040212,7541,20.0,10,3*1138",G6GZH,2912,11:58:06,52.254696,0.3040212,7541,20.0,10,3
"$$JOEY,2913,11:58:26,52.2549670,0.3065225,7637,19.5,10,3*1E73",G6GZH,2913,11:58:26,52.254967,0.3065225,7637,19.5,10,3
"$$JOEY,2914,11:58:46,52.2553710,0.3091612,7727,19.5,10,3*C9B5",G6GZH,2914,11:58:46,52.255371,0.3091612,7727,19.5,10,3
"$$JOEY,2915,11:59:06,52.2557600,0.3120763,7819,19.0,10,3*F966",G6GZH,2915,11:59:06,52.25576,0.3120763,7819,19.0,10,3
"$$JOEY,2916,11:59:26,52.2562180,0.3153070,7904,19.0,10,3*1A4E",G6GZH,2916,11:59:26,52.256218,0.315307,7904,19.0,10,3
"$$JOEY,2917,11:59:46,52.2565230,0.3183133,7991,18.5,10,3*524A",G6GZH,2917,11:59:46,52.256523,0.3183133,7991,18.5,10,3
"$$JOEY,2918,12:00:06,52.2568700,0.3214124,8090,18.5,10,3*7691",G6GZH,2918,12:00:06,52.25687,0.3214124,8090,18.5,10,3
"$$JOEY,2919,12:00:26,52.2570760,0.3247321,8180,18.0,10,3*CA3E",G6GZH,2919,12:00:26,52.257076,0.3247321,8180,18.0,10,3
"$$JOEY,2921,12:01:06,52.2569200,0.3309051,8362,17.5,10,3*CEA1","G8FJG_2,G6GZH",2921,12:01:06,52.25692,0.3309051,8362,17.5,10,3
"$$JOEY,2922,12:01:26,52.2567900,0.3341936,8459,17.0,10,3*49FD","G8FJG,G8FJG_2",2922,12:01:26,52.25679,0.3341936,8459,17.0,10,3
"$$JOEY,2923,12:01:46,52.2566180,0.3374427,8556,17.0,10,3*BAF1","G8FJG,G8FJG_2,G6GZH",2923,12:01:46,52.256618,0.3374427,8556,17.0,10,3
"$$JOEY,2924,12:02:06,52.2562370,0.3407768,8650,16.5,10,3*D994","G8FJG_2,G6GZH",2924,12:02:06,52.256237,0.3407768,8650,16.5,10,3
"$$JOEY,2925,12:02:26,52.2559660,0.3440269,8743,16.5,10,3*9CA8","G8FJG_2,G6GZH",2925,12:02:26,52.255966,0.3440269,8743,16.5,10,3
"$$JOEY,2926,12:02:46,52.2556110,0.3471156,8838,16.0,10,3*068B","G8FJG_2,G6GZH",2926,12:02:46,52.255611,0.3471156,8838,16.0,10,3
"$$JOEY,2927,12:03:06,52.2554090,0.3501189,8929,16.0,10,3*F240","G8FJG_2,G6GZH",2927,12:03:06,52.255409,0.3501189,8929,16.0,10,3
