_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,satellites,temperature_internal,temperature
"$$LAASE,42,07:38:33,57.14739,24.83645,109,0,10,237,195*1304",Veranda,42,07:38:33,57.14739,24.83645,109,0,10,23.7,19.5
"$$LAASE,43,07:38:47,57.14737,24.83645,110,0,10,240,200*79FA",Veranda,43,07:38:47,57.14737,24.83645,110,0,10,24.0,20.0
"$$LAASE,47,07:39:49,57.14738,24.83649,102,0,10,242,202*6E25",Veranda,47,07:39:49,57.14738,24.83649,102,0,10,24.2,20.2
"$$LAASE,48,07:40:04,57.14736,24.83650,105,0,10,242,205*3552",Veranda,48,07:40:04,57.14736,24.8365,105,0,10,24.2,20.5
"$$LAASE,49,07:40:19,57.14736,24.83649,102,0,10,245,207*2B87",Veranda,49,07:40:19,57.14736,24.83649,102,0,10,24.5,20.7
"$$LAASE,51,07:40:50,57.14737,24.83649,103,0,10,245,205*9EC2",Veranda,51,07:40:50,57.14737,24.83649,103,0,10,24.5,20.5
"$$LAASE,52,07:41:05,57.14741,24.83647,99,0,9,247,207*5F75",Veranda,52,07:41:05,57.14741,24.83647,99,0,9,24.7,20.7
"$$LAASE,54,07:41:33,57.14735,24.83631,112,0,9,247,222*BF79",Veranda,54,07:41:33,57.14735,24.83631,112,0,9,24.7,22.2
"$$LAASE,56,07:42:01,57.14730,24.83629,120,0,9,250,235*94C5",Veranda,56,07:42:01,57.1473,24.83629,120,0,9,25.0,23.5
"$$LAASE,57,07:42:15,57.14727,24.83627,126,0,9,250,245*E51F",Veranda,57,07:42:15,57.14727,24.83627,126,0,9,25.0,24.5
"$$LAASE,58,07:42:29,57.14726,24.83620,128,1,9,250,255*72E3",Veranda,58,07:42:29,57.14726,24.8362,128,1,9,25.0,25.5
"$$LAASE,59,07:42:43,57.14725,24.83623,121,0,9,250,265*13AF",Veranda,59,07:42:43,57.14725,24.83623,121,0,9,25.0,26.5
"$$LAASE,61,07:43:13,57.14724,24.83621,133,1,9,252,275*DBEE",Veranda,61,07:43:13,57.14724,24.83621,133,1,9,25.2,27.5
"$$LAASE,62,07:43:27,57.14730,24.83618,127,0,8,252,285*AA54",Veranda,62,07:43:27,57.1473,24.83618,127,0,8,25.2,28.5
"$$LAASE,64,07:43:55,57.14736,24.83618,119,0,8,252,290*8993",Veranda,64,07:43:55,57.14736,24.83618,119,0,8,25.2,29.0
"$$LAASE,65,07:44:09,57.14738,24.83617,108,0,8,252,295*2916",Veranda,65,07:44:09,57.14738,24.83617,108,0,8,25.2,29.5
"$$LAASE,66,07:44:23,57.14737,24.83615,105,1,9,252,297*4B90",Veranda,66,07:44:23,57.14737,24.83615,105,1,9,25.2,29.7
"$$LAASE,68,07:44:51,57.14731,24.83620,106,0,9,252,302*848A",Veranda,68,07:44:51,57.14731,24.8362,106,0,9,25.2,30.2
"$$LAASE,69,07:45:05,57.14735,24.83612,117,0,9,252,305*D9D8",Veranda,69,07:45:05,57.14735,24.83612,117,0,9,25.2,30.5
"$$LAASE,70,07:45:19,57.14736,24.83612,118,0,8,252,307*17FB",Veranda,70,07:45:19,57.14736,24.83612,118,0,8,25.2,30.7
"$$LAASE,71,07:45:33,57.14735,24.83616,120,0,8,252,307*E4C7",Veranda,71,07:45:33,57.14735,24.83616,120,0,8,25.2,30.7
"$$LAASE,73,07:46:01,57.14737,24.83615,123,0,9,252,287*00E0",Veranda,73,07:46:01,57.14737,24.83615,123,0,9,25.2,28.7
"$$LAASE,74,07:46:15,57.14738,24.83616,124,0,8,252,290*77C3",Veranda,74,07:46:15,57.14738,24.83616,124,0,8,25.2,29.0
"$$LAASE,76,07:46:45,57.14738,24.83615,117,0,8,252,277*5496",Veranda,76,07:46:45,57.14738,24.83615,117,0,8,25.2,27.7
"$$LAASE,77,07:46:59,57.14737,24.83614,120,0,8,252,280*CE7C",Veranda,77,07:46:59,57.14737,24.83614,120,0,8,25.2,28.0
"$$LAASE,78,07:47:13,57.14736,24.83615,121,0,9,252,285*D2A3",Veranda,78,07:47:13,57.14736,24.83615,121,0,9,25.2,28.5
"$$LAASE,79,07:47:27,57.14733,24.83617,119,1,9,252,290*433E",Veranda,79,07:47:27,57.14733,24.83617,119,1,9,25.2,29.0
"$$LAASE,80,07:47:41,57.14735,24.83610,127,0,8,252,285*917B",Veranda,80,07:47:41,57.14735,24.8361,127,0,8,25.2,28.5
"$$LAASE,81,07:47:55,57.14739,24.83611,117,1,8,252,287*B402",Veranda,81,07:47:55,57.14739,24.83611,117,1,8,25.2,28.7
"$$LAASE,82,07:48:09,57.14738,24.83613,120,0,8,252,287*ACB6",Veranda,82,07:48:09,57.14738,24.83613,120,0,8,25.2,28.7
"$$LAASE,83,07:48:23,57.14737,24.83614,125,0,8,252,292*6964",Veranda,83,07:48:23,57.14737,24.83614,125,0,8,25.2,29.2
"$$LAASE,84,07:48:37,57.14736,24.83613,123,0,8,252,290*7A93",Veranda,84,07:48:37,57.14736,24.83613,123,0,8,25.2,29.0
"$$LAASE,85,07:48:51,57.14736,24.83612,120,0,8,252,292*7763",Veranda,85,07:48:51,57.14736,24.83612,120,0,8,25.2,29.2
"$$LAASE,86,07:49:05,57.14737,24.83612,122,0,8,252,297*2D7E",Veranda,86,07:49:05,57.14737,24.83612,122,0,8,25.2,29.7
"$$LAASE,87,07:49:19,57.14737,24.83612,125,0,8,252,290*7C02",Veranda,87,07:49:19,57.14737,24.83612,125,0,8,25.2,29.0
"$$LAASE,88,07:49:33,57.14735,24.83613,127,0,8,252,292*C323",Veranda,88,07:49:33,57.14735,24.83613,127,0,8,25.2,29.2
"$$LAASE,103,07:53:11,57.14738,24.83614,127,0,8,255,305*9AFC",Veranda,103,07:53:11,57.14738,24.83614,127,0,8,25.5,30.5
"$$LAASE,104,07:53:25,57.14738,24.83616,133,0,8,255,297*588D",Veranda,104,07:53:25,57.14738,24.83616,133,0,8,25.5,29.7
"$$LAASE,105,07:53:42,57.14738,24.83617,129,0,8,255,302*FA5F",Veranda,105,07:53:42,57.14738,24.83617,129,0,8,25.5,30.2
"$$LAASE,107,07:54:13,57.14738,24.83614,130,0,8,255,292*88A2",Veranda,107,07:54:13,57.14738,24.83614,130,0,8,25.5,29.2
"$$LAASE,109,07:54:44,57.14737,24.83614,124,0,8,255,295*F6E4",Veranda,109,07:54:44,57.14737,24.83614,124,0,8,25.5,29.5
"$$LAASE,111,07:55:15,57.14736,24.83613,132,0,8,255,307*B521",Veranda,111,07:55:15,57.14736,24.83613,132,0,8,25.5,30.7
