_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,temperature_internal,temperature_external,heading,battery
"$$MEURS,161,12:21:08,5229.87503,00438.56711,506,30.63,30.63,259,8.11*FCC2",MEURS_chase,161,12:21:08,52.49791717,4.64278517,506,30.63,30.63,259,8.11
"$$MEURS,162,12:21:23,5229.96515,00438.61576,518,30.75,30.75,232,8.11*CAE4",MEURS_chase,162,12:21:23,52.49941917,4.643596,518,30.75,30.75,232,8.11
"$$MEURS,166,12:22:23,5230.32982,00438.79506,572,31.00,31.00,294,8.12*9673",PE1RQM,166,12:22:23,52.505497,4.64658433,572,31.0,31.0,294,8.12
"$$MEURS,170,12:23:23,5230.69567,00438.97605,633,31.25,31.25,237,8.10*5707",PB0AHX,170,12:23:23,52.5115945,4.64960083,633,31.25,31.25,237,8.1
"$$MEURS,171,12:23:38,5230.79081,00439.02755,649,31.25,31.25,356,8.12*C7FF",PB0AHX,171,12:23:38,52.51318017,4.65045917,649,31.25,31.25,356,8.12
"$$MEURS,172,12:23:53,5230.88439,00439.08308,664,31.38,31.38,196,8.12*4102",PD1ODE,172,12:23:53,52.51473983,4.65138467,664,31.38,31.38,196,8.12
"$$MEURS,173,12:24:08,5230.97649,00439.14063,678,31.38,31.38,296,8.12*7AF1","PD1ODE,PB0AHX,Jarod",173,12:24:08,52.51627483,4.65234383,678,31.38,31.38,296,8.12
"$$MEURS,174,12:24:23,5231.06624,00439.20066,693,31.38,31.38,147,8.12*404B","Jarod,PD1ODE,PB0AHX,RevSpace",174,12:24:23,52.51777067,4.65334433,693,31.38,31.38,147,8.12
"$$MEURS,175,12:24:38,5231.15687,00439.26419,704,31.50,31.50,229,8.12*251A","PE1RQM,PD1ODE,Jarod,PB0AHX,RevSpace",175,12:24:38,52.51928117,4.65440317,704,31.5,31.5,229,8.12
"$$MEURS,176,12:24:53,5231.24654,00439.32888,718,31.50,31.50,75,8.10*75C5","PE1RQM,PD1ODE,Jarod,PB0AHX,RevSpace",176,12:24:53,52.52077567,4.65548133,718,31.5,31.5,75,8.1
"$$MEURS,177,12:25:07,5231.33012,00439.39236,728,31.63,31.63,242,8.13*388F","PE1RQM,Jarod,PD1ODE,PB0AHX,RevSpace,DutchMillbt",177,12:25:07,52.52216867,4.65653933,728,31.63,31.63,242,8.13
"$$MEURS,178,12:25:22,5231.41900,00439.46356,740,31.63,31.63,125,8.10*BF14","PE1RQM,Jarod,PD1ODE,PB0AHX,RevSpace,DutchMillbt",178,12:25:22,52.52365,4.657726,740,31.63,31.63,125,8.1
"$$MEURS,179,12:25:37,5231.50532,00439.53530,751,31.75,31.75,219,8.10*0E0F","PE1RQM,Jarod,PD1ODE,PB0AHX,RevSpace,DutchMillbt",179,12:25:37,52.52508867,4.65892167,751,31.75,31.75,219,8.1
"$$MEURS,180,12:25:52,5231.59172,00439.60977,764,31.75,31.75,42,8.13*5625","PE1RQM,DutchMillbt,Jarod,PD1ODE",180,12:25:52,52.52652867,4.66016283,764,31.75,31.75,42,8.13
"$$MEURS,181,12:26:06,5231.66916,00439.67690,777,31.75,31.75,226,8.12*D40F","Jarod,DutchMillbt,PD1ODE,PB0AHX,RevSpace",181,12:26:06,52.52781933,4.66128167,777,31.75,31.75,226,8.12
"$$MEURS,182,12:26:21,5231.75297,00439.75059,792,31.88,31.88,330,8.11*F0F7","PE1RQM,Jarod,PD1ODE,PB0AHX,RevSpace,DutchMillbt",182,12:26:21,52.52921617,4.66250983,792,31.88,31.88,330,8.11
"$$MEURS,183,12:26:36,5231.83362,00439.82876,807,31.88,31.88,130,8.13*6715","PE1RQM,Jarod,PD1ODE,PB0AHX,RevSpace,DutchMillbt",183,12:26:36,52.53056033,4.66381267,807,31.88,31.88,130,8.13
"$$MEURS,184,12:26:51,5231.91191,00439.90716,822,32.00,32.00,252,8.13*32EE","PE1RQM,Jarod,PD1ODE,PB0AHX,RevSpace,DutchMillbt",184,12:26:51,52.53186517,4.66511933,822,32.0,32.0,252,8.13
