_sentence,_receivers,sentence_id,time,latitude,longitude,altitude
"$$MM2,117,09:53:49,52.251308,-0.092588,51.9*B1E8",M6CKD,117,09:53:49,52.251308,-0.092588,51.9
"$$MM2,136,09:57:18,52.251312,-0.092581,51.5*535B",M6CKD,136,09:57:18,52.251312,-0.092581,51.5
"$$MM2,138,09:57:40,52.251308,-0.092578,49.9*F6C0",M6CKD,138,09:57:40,52.251308,-0.092578,49.9
"$$MM2,139,09:57:51,52.251312,-0.092582,50.4*5C9F",M6CKD,139,09:57:51,52.251312,-0.092582,50.4
"$$MM2,141,09:58:13,52.251324,-0.092580,50.9*38BF",M6CKD,141,09:58:13,52.251324,-0.09258,50.9
"$$MM2,142,09:58:24,52.251324,-0.092583,51.1*A3D6",M6CKD,142,09:58:24,52.251324,-0.092583,51.1
"$$MM2,143,09:58:35,52.251320,-0.092590,51.3*ABF5",M6CKD,143,09:58:35,52.25132,-0.09259,51.3
"$$MM2,147,09:59:19,52.251312,-0.092596,53.1*EDCD",M6CKD,147,09:59:19,52.251312,-0.092596,53.1
"$$MM2,148,09:59:30,52.251308,-0.092596,53.5*7526",M6CKD,148,09:59:30,52.251308,-0.092596,53.5
"$$MM2,149,09:59:41,52.251301,-0.092593,52.3*7916",M6CKD,149,09:59:41,52.251301,-0.092593,52.3
"$$MM2,150,09:59:52,52.251301,-0.092589,51.9*0934",M6CKD,150,09:59:52,52.251301,-0.092589,51.9
"$$MM2,151,10:00:03,52.251289,-0.092583,50.3*E0F8",M6CKD,151,10:00:03,52.251289,-0.092583,50.3
"$$MM2,153,10:00:25,52.251289,-0.092582,50.1*B899",M6CKD,153,10:00:25,52.251289,-0.092582,50.1
"$$MM2,154,10:00:36,52.251293,-0.092580,49.8*DF95",M6CKD,154,10:00:36,52.251293,-0.09258,49.8
"$$MM2,155,10:00:47,52.251301,-0.092580,50.4*70F0",M6CKD,155,10:00:47,52.251301,-0.09258,50.4
"$$MM2,157,10:01:09,52.251308,-0.092591,51.3*F2DB",M6CKD,157,10:01:09,52.251308,-0.092591,51.3
"$$MM2,158,10:01:20,52.251312,-0.092588,51.3*DA37",M6CKD,158,10:01:20,52.251312,-0.092588,51.3
"$$MM2,160,10:01:42,52.251312,-0.092578,51.0*2502",M6CKD,160,10:01:42,52.251312,-0.092578,51.0
"$$MM2,164,10:02:26,52.251312,-0.092598,53.2*3AC4",M6CKD,164,10:02:26,52.251312,-0.092598,53.2
"$$MM2,166,10:02:48,52.251308,-0.092587,51.0*133C",M6CKD,166,10:02:48,52.251308,-0.092587,51.0
"$$MM2,169,10:03:21,52.251305,-0.092587,51.0*1650",M6CKD,169,10:03:21,52.251305,-0.092587,51.0
"$$MM2,170,10:03:32,52.251301,-0.092582,50.6*342E",M6CKD,170,10:03:32,52.251301,-0.092582,50.6
"$$MM2,173,10:04:05,52.251297,-0.092583,51.5*C0E4",M6CKD,173,10:04:05,52.251297,-0.092583,51.5
"$$MM2,174,10:04:16,52.251301,-0.092581,51.3*5854",M6CKD,174,10:04:16,52.251301,-0.092581,51.3
"$$MM2,175,10:04:27,52.251301,-0.092580,51.3*E90A",M6CKD,175,10:04:27,52.251301,-0.09258,51.3
