_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites
"$$MOD1,717,12:47:39,52.049740,-0.880830,26056,1,9*91F6","M0UPU-1,G8KNN-1,G8DHE,PE2G,G6SUQ,G0NZO,G7SVI,G4MYS,G3WGM,G8KNN,RevSpace,G0TDJ,M6GTG,2E0KPI,Leo,F5APQ",717,12:47:39,52.04974,-0.88083,26056,1,9
"$$MOD1,718,12:47:49,52.049259,-0.881340,26109,1,9*1CEE","G8KNN-1,PE2G,G6SUQ,G0NZO,MI0VIM,G7SVI,2E0KPI,F5APQ,G8KNN,RevSpace,G0TDJ,M6GTG,Leo,G4MYS,G3WGM",718,12:47:49,52.049259,-0.88134,26109,1,9
"$$MOD1,719,12:48:01,52.048779,-0.881550,26171,1,9*B84C","G8KNN-1,PE2G,G0NZO,MI0VIM,2E0KPI,F5APQ,G8KNN,G7SVI,G0TDJ,M6GTG,G4MYS,G3WGM",719,12:48:01,52.048779,-0.88155,26171,1,9
"$$MOD1,720,12:48:13,52.048260,-0.881530,26233,1,9*D8DB","M0UPU-1,G8KNN-1,G8DHE,PE2G,G0NZO,MI0VIM,G7SVI,2E0KPI,G0TDJ,G8KNN,RevSpace,M6GTG,Leo,G4MYS,F5APQ,G3WGM",720,12:48:13,52.04826,-0.88153,26233,1,9
"$$MOD1,721,12:48:25,52.047749,-0.881740,26299,1,9*8607","G8KNN-1,PE2G,G0NZO,MI0VIM,2E0KPI,F5APQ,G8KNN,RevSpace,G0TDJ,M6GTG,G4MYS,Leo,G3WGM",721,12:48:25,52.047749,-0.88174,26299,1,9
"$$MOD1,722,12:48:35,52.047298,-0.881630,26355,1,9*29C7","M0UPU-1,G8KNN-1,PE2G,G0NZO,MI0VIM,RevSpace,2E0KPI,F5APQ,G8KNN,G7SVI,G0TDJ,M6GTG,G4MYS,Leo,G3WGM",722,12:48:35,52.047298,-0.88163,26355,1,9
"$$MOD1,723,12:48:47,52.046761,-0.881440,26419,1,9*C0AF","M0UPU-1,G0NZO,G8DHE,PE2G,G8KNN-1,MI0VIM,G7SVI,2E0KPI,G3WGM,G8KNN,RevSpace,G0TDJ,M6GTG,G4MYS,Leo,F5APQ",723,12:48:47,52.046761,-0.88144,26419,1,9
"$$MOD1,724,12:48:59,52.046200,-0.881200,26484,1,9*B6A8","M0UPU-1,G8KNN-1,G8DHE,PE2G,G0NZO,MI0VIM,G7SVI,G4MYS,F5APQ,G8KNN,RevSpace,G0TDJ,M6GTG,2E0KPI,Leo,G3WGM",724,12:48:59,52.0462,-0.8812,26484,1,9
"$$MOD1,725,12:49:11,52.045460,-0.880930,26550,1,9*2E16","G0NZO,PE2G,G8KNN-1,G7SVI,Leo,F5APQ,G8KNN,RevSpace,G0TDJ,M6GTG,2E0KPI,G4MYS,G3WGM",725,12:49:11,52.04546,-0.88093,26550,1,9
"$$MOD1,726,12:49:21,52.045040,-0.880950,26603,1,9*C7C3","G8KNN-1,G8DHE,PE2G,G0NZO,MI0VIM,RevSpace,2E0KPI,G3WGM,G8KNN,G7SVI,G0TDJ,M6GTG,Leo,F5APQ",726,12:49:21,52.04504,-0.88095,26603,1,9
