_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,satellites,gps_lock,temperature_internal,temperature_external,battery
"$$MTG002,54,00:00:00,00.0000,000.0000,00000,000,00,0,52,37,304*6686",VK3XCO-12,54,00:00:00,0.0,0.0,0,0,0,0,52,37,304
"$$MTG002,52,00:00:00,00.0000,000.0000,00000,000,00,0,52,37,304*6D27",VK3XCO-12,52,00:00:00,0.0,0.0,0,0,0,0,52,37,304
"$$MTG002,37,00:00:00,00.0000,000.0000,00000,000,00,0,46,31,313*9130",VK3XCO-12,37,00:00:00,0.0,0.0,0,0,0,0,46,31,313
"$$MTG002,22,00:00:00,00.0000,000.0000,00000,000,00,0,43,31,326*D5E5",VK3XCO-12,22,00:00:00,0.0,0.0,0,0,0,0,43,31,326
"$$MTG002,9,00:00:00,00.0000,000.0000,00000,000,00,0,44,32,306*5B1F",VK3XCO-12,9,00:00:00,0.0,0.0,0,0,0,0,44,32,306
"$$MTG002,61,00:13:06,-37.0001,145.8057,00351,000,06,0,48,37,309*69C4",VK3XCO-12,61,00:13:06,-37.0001,145.8057,351,0,6,0,48,37,309
"$$MTG002,59,00:13:06,-37.0001,145.8057,00351,000,06,1,48,37,309*3A61",VK3XCO-12,59,00:13:06,-37.0001,145.8057,351,0,6,1,48,37,309
"$$MTG002,60,00:13:06,-37.0001,145.8057,00351,000,06,0,48,37,309*E638",VK3XCO-12,60,00:13:06,-37.0001,145.8057,351,0,6,0,48,37,309
"$$MTG002,62,00:14:33,-37.0001,145.8057,00351,000,06,0,48,37,309*8C34",VK3XCO-12,62,00:14:33,-37.0001,145.8057,351,0,6,0,48,37,309
"$$MTG002,63,00:14:39,-37.0002,145.8061,00351,017,06,1,48,37,309*7CD6",VK3XCO-12,63,00:14:39,-37.0002,145.8061,351,17,6,1,48,37,309
"$$MTG002,64,00:14:39,-37.0002,145.8061,00351,017,06,1,48,37,309*E341",VK3XCO-12,64,00:14:39,-37.0002,145.8061,351,17,6,1,48,37,309
"$$MTG002,65,00:14:45,-37.0002,145.8061,00351,017,04,0,48,37,309*222A",VK3XCO-12,65,00:14:45,-37.0002,145.8061,351,17,4,0,48,37,309
"$$MTG002,66,00:14:45,-37.0002,145.8061,00351,017,04,0,48,37,309*A20F",VK3XCO-12,66,00:14:45,-37.0002,145.8061,351,17,4,0,48,37,309
