_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,batterymv,status
"$$MULDER,5,18:04:10,0.00000,0.00000,0,0,1856,20*B9D5",M0UPU,5,18:04:10,0.0,0.0,0,0,1856,20
"$$MULDER,8,18:04:50,51.95022,-2.54463,153,4,1819,00*B800",M0UPU,8,18:04:50,51.95022,-2.54463,153,4,1819,0
"$$MULDER,9,18:05:22,51.95023,-2.54461,152,4,1810,20*8F15",M0UPU,9,18:05:22,51.95023,-2.54461,152,4,1810,20
"$$MULDER,10,18:05:40,51.95023,-2.54461,152,4,1801,00*0DB8",M0UPU,10,18:05:40,51.95023,-2.54461,152,4,1801,0
"$$MULDER,12,18:06:18,51.95024,-2.54459,150,4,1792,31*5008",M0UPU,12,18:06:18,51.95024,-2.54459,150,4,1792,31
"$$MULDER,13,18:06:37,51.95022,-2.54460,151,4,1788,11*AE8C",M0UPU,13,18:06:37,51.95022,-2.5446,151,4,1788,11
"$$MULDER,15,18:07:15,51.95021,-2.54460,152,4,1783,11*2D77",M0UPU,15,18:07:15,51.95021,-2.5446,152,4,1783,11
"$$MULDER,16,18:07:19,51.95021,-2.54460,152,4,1781,11*A21D",M0UPU,16,18:07:19,51.95021,-2.5446,152,4,1781,11
"$$MULDER,17,18:07:52,51.95021,-2.54462,154,4,1779,31*A64C",M0UPU,17,18:07:52,51.95021,-2.54462,154,4,1779,31
"$$MULDER,19,18:08:30,51.95022,-2.54459,151,5,1774,30*8FD2",M0UPU,19,18:08:30,51.95022,-2.54459,151,5,1774,30
"$$MULDER,20,18:08:49,51.95022,-2.54459,150,5,1769,38*2D77",M0UPU,20,18:08:49,51.95022,-2.54459,150,5,1769,38
"$$MULDER,22,18:09:27,51.95022,-2.54461,149,5,1765,08*7F18",M0UPU,22,18:09:27,51.95022,-2.54461,149,5,1765,8
"$$MULDER,23,18:09:46,51.95023,-2.54459,146,5,1763,08*180B",M0UPU,23,18:09:46,51.95023,-2.54459,146,5,1763,8
