_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,heading,satellites,temperature_internal,battery
"$$PI_CE1,276,11:20:13,52.18390,0.63534,16517,0,0,8,12.5,6.7*E6B7","F1OIL,G8FJG_1,M0MDB,PI_CE1",276,11:20:13,52.1839,0.63534,16517,0,0,8,12.5,6.7
"$$PI_CE1,277,11:21:12,52.18493,0.63634,16776,0,0,8,12.2,6.7*6D07","F1OIL,G8FJG_1,M0MDB,PI_CE1",277,11:21:12,52.18493,0.63634,16776,0,0,8,12.2,6.7
"$$PI_CE1,278,11:22:11,52.18531,0.64064,17038,0,0,8,12.0,6.7*DBBE","PE2G,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0HDI",278,11:22:11,52.18531,0.64064,17038,0,0,8,12.0,6.7
"$$PI_CE1,279,11:23:10,52.18609,0.64414,17307,0,0,8,11.8,6.7*95B3","F1OIL,G8FJG_1,M0MDB,PI_CE1",279,11:23:10,52.18609,0.64414,17307,0,0,8,11.8,6.7
"$$PI_CE1,280,11:24:08,52.18553,0.64819,17568,0,0,8,11.5,6.7*A7CD","F1OIL,G8FJG_1,M0MDB,PI_CE1,G1DYQ",280,11:24:08,52.18553,0.64819,17568,0,0,8,11.5,6.7
"$$PI_CE1,281,11:25:07,52.18515,0.65033,17839,0,0,8,11.3,6.7*14C6","F1OIL,G8FJG_1,M0MDB,PI_CE1,G0HDI",281,11:25:07,52.18515,0.65033,17839,0,0,8,11.3,6.7
"$$PI_CE1,282,11:26:06,52.18473,0.65361,18108,0,0,8,11.1,6.7*28E6","F1OIL,M0MDB,G0HDI,PI_CE1,G8FJG_1",282,11:26:06,52.18473,0.65361,18108,0,0,8,11.1,6.7
"$$PI_CE1,283,11:27:05,52.18364,0.65719,18374,0,0,8,10.9,6.7*40E4","F1OIL,G8FJG_1,M0MDB,PI_CE1",283,11:27:05,52.18364,0.65719,18374,0,0,8,10.9,6.7
"$$PI_CE1,284,11:28:04,52.18298,0.65881,18637,0,0,8,10.8,6.7*659D","G8DHE,PE2G,0x17,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0HDI",284,11:28:04,52.18298,0.65881,18637,0,0,8,10.8,6.7
"$$PI_CE1,285,11:28:54,52.18270,0.66037,18864,0,0,8,10.6,6.7*AEBC","F1OIL,M0MDB,PE2G,PI_CE1,G8FJG_1",285,11:28:54,52.1827,0.66037,18864,0,0,8,10.6,6.7
"$$PI_CE1,286,11:29:53,52.18188,0.66260,19145,0,0,8,10.4,6.7*3272","G3WDI,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0HDI",286,11:29:53,52.18188,0.6626,19145,0,0,8,10.4,6.7
"$$PI_CE1,287,11:30:51,52.18061,0.66186,19431,0,0,8,10.2,6.7*1E83","PE2G,G3WDI,M0MDB,G8FJG_1,F1OIL,PI_CE1",287,11:30:51,52.18061,0.66186,19431,0,0,8,10.2,6.7
"$$PI_CE1,288,11:31:50,52.18150,0.66160,19713,0,0,8,10.1,6.7*1A2F","G3WDI,M0MDB,G8FJG_1,F1OIL,G0HDI,G0WXI,PI_CE1",288,11:31:50,52.1815,0.6616,19713,0,0,8,10.1,6.7
"$$PI_CE1,289,11:32:49,52.18140,0.66500,19983,0,0,8,10.0,6.7*96F3","PE2G,G3WDI,M0MDB,G8FJG_1,F1OIL,G0HDI,PI_CE1",289,11:32:49,52.1814,0.665,19983,0,0,8,10.0,6.7
"$$PI_CE1,290,11:33:48,52.18122,0.66718,20256,0,0,8,9.9,6.7*0CA9","PE2G,G3WDI,M0MDB,G8FJG_1,F1OIL,G0HDI,PI_CE1",290,11:33:48,52.18122,0.66718,20256,0,0,8,9.9,6.7
"$$PI_CE1,291,11:34:47,52.18020,0.66891,20540,0,0,8,9.9,6.7*1419","G8DHE,0x17,G3WDI,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0WXI,G0HDI",291,11:34:47,52.1802,0.66891,20540,0,0,8,9.9,6.7
"$$PI_CE1,292,11:35:45,52.17974,0.66988,20830,0,0,8,9.8,6.7*22F2","PE2G,G3WDI,M0MDB,G8FJG_1,F1OIL,G0WXI,PI_CE1",292,11:35:45,52.17974,0.66988,20830,0,0,8,9.8,6.7
"$$PI_CE1,293,11:36:44,52.17989,0.66962,21123,0,0,8,9.8,6.7*2BCE","PE2G,0x17,G3WDI,M0MDB,G8FJG_1,F1OIL,G0WXI,PI_CE1",293,11:36:44,52.17989,0.66962,21123,0,0,8,9.8,6.7
"$$PI_CE1,294,11:37:43,52.17977,0.66970,21415,0,0,8,9.8,6.7*747C","PE2G,G3WDI,M0MDB,G8FJG_1,F1OIL,G0HDI,G0WXI,PI_CE1",294,11:37:43,52.17977,0.6697,21415,0,0,8,9.8,6.7
"$$PI_CE1,295,11:38:42,52.18148,0.66906,21719,0,0,7,9.7,6.7*360B","PE2G,G3WDI,G8FJG_1,PI_CE1,G0WXI,G0HDI",295,11:38:42,52.18148,0.66906,21719,0,0,7,9.7,6.7
"$$PI_CE1,296,11:39:40,52.18092,0.67081,22034,0,0,8,9.6,6.7*F3D8","G8DHE,PE2G,0x17,G3WDI,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0WXI,G0HDI",296,11:39:40,52.18092,0.67081,22034,0,0,8,9.6,6.7
"$$PI_CE1,297,11:40:39,52.18089,0.67239,22358,0,0,8,9.6,6.7*7FF4","PE2G,G3WDI,M0MDB,G8FJG_1,F1OIL,G0WXI,G0HDI",297,11:40:39,52.18089,0.67239,22358,0,0,8,9.6,6.7
"$$PI_CE1,298,11:41:38,52.17949,0.67564,22677,0,0,9,9.5,6.7*1FC7","PE2G,G3WDI,M0MDB,F1OIL,G0WXI,PI_CE1",298,11:41:38,52.17949,0.67564,22677,0,0,9,9.5,6.7
"$$PI_CE1,299,11:42:37,52.17749,0.67738,22997,0,0,9,9.6,6.7*87D1","PE2G,G3WDI,M0MDB,F1OIL,G0WXI,PD3T,PI_CE1",299,11:42:37,52.17749,0.67738,22997,0,0,9,9.6,6.7
"$$PI_CE1,300,11:43:36,52.17593,0.67692,23309,0,0,9,9.6,6.7*8CEF","F1OIL,G0WXI,G3WDI,G0HDI",300,11:43:36,52.17593,0.67692,23309,0,0,9,9.6,6.7
"$$PI_CE1,301,11:44:34,52.17662,0.67658,23617,0,0,9,9.6,6.7*00F9","G3WDI,M0MDB,F1OIL,G0HDI,G0WXI,PI_CE1",301,11:44:34,52.17662,0.67658,23617,0,0,9,9.6,6.7
"$$PI_CE1,302,11:45:24,52.17768,0.67732,23898,0,0,9,9.7,6.7*3CBC","G8DHE,G3WDI,M0MDB,G8FJG_1,G0WXI,PD3T,PI_CE1",302,11:45:24,52.17768,0.67732,23898,0,0,9,9.7,6.7
"$$PI_CE1,303,11:46:23,52.17745,0.67870,24212,0,0,8,9.7,6.7*B8B4","PE2G,G3WDI,G8FJG_1,F1OIL,G0WXI,G0HDI",303,11:46:23,52.17745,0.6787,24212,0,0,8,9.7,6.7
"$$PI_CE1,304,11:47:22,52.17731,0.67978,24543,0,0,8,9.7,6.7*375C","G4FUI,G8DHE,PE2G,0x17,M0MDB,G8FJG_1,F1OIL,G0WXI,G0HDI",304,11:47:22,52.17731,0.67978,24543,0,0,8,9.7,6.7
"$$PI_CE1,305,11:48:20,52.17659,0.68254,24876,0,0,8,9.8,6.7*6498","G4FUI,PE2G,0x17,G3WDI,G8FJG_1,G0WXI,G0HDI",305,11:48:20,52.17659,0.68254,24876,0,0,8,9.8,6.7
"$$PI_CE1,306,11:49:19,52.17532,0.68383,25210,0,0,8,9.9,6.7*1134","G4FUI,G8DHE,G1DYQ-1,0x17,G3WDI,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0WXI,PD3T,G0HDI",306,11:49:19,52.17532,0.68383,25210,0,0,8,9.9,6.7
"$$PI_CE1,307,11:50:18,52.17363,0.68448,25533,0,0,9,9.9,6.7*51B5","G8DHE,0x17,G3WDI,M0MDB,G8FJG_1,F1OIL,PI_CE1,G0WXI,G0HDI",307,11:50:18,52.17363,0.68448,25533,0,0,9,9.9,6.7
