_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,heading,satellites,temperature_internal,battery,power
"$$PI_SKY,14,00:00:00,0.00000,0.00000,00000,0,0,0,23.2,0.0,0*3FDD",M0UPU,14,00:00:00,0.0,0.0,0,0,0,0,23.2,0.0,0
"$$PI_SKY,15,00:00:00,0.00000,0.00000,00000,0,0,0,23.2,0.0,0*82B9",M0UPU,15,00:00:00,0.0,0.0,0,0,0,0,23.2,0.0,0
"$$PI_SKY,16,00:00:00,0.00000,0.00000,00000,0,0,0,23.4,0.0,0*F411",M0UPU,16,00:00:00,0.0,0.0,0,0,0,0,23.4,0.0,0
"$$PI_SKY,19,00:00:00,0.00000,0.00000,00000,0,0,0,23.8,0.0,0*1FA0",M0UPU,19,00:00:00,0.0,0.0,0,0,0,0,23.8,0.0,0
"$$PI_SKY,21,00:00:00,0.00000,0.00000,00000,0,0,0,24.1,0.0,0*08D8",M0UPU,21,00:00:00,0.0,0.0,0,0,0,0,24.1,0.0,0
"$$PI_SKY,23,00:00:00,0.00000,0.00000,00000,0,0,0,24.4,0.0,0*1B96",M0UPU,23,00:00:00,0.0,0.0,0,0,0,0,24.4,0.0,0
"$$PI_SKY,25,00:00:00,0.00000,0.00000,00000,0,0,0,24.6,0.0,0*C44E",M0UPU,25,00:00:00,0.0,0.0,0,0,0,0,24.6,0.0,0
"$$PI_SKY,26,00:00:00,0.00000,0.00000,00000,0,0,0,24.8,0.0,0*214B",M0UPU,26,00:00:00,0.0,0.0,0,0,0,0,24.8,0.0,0
"$$PI_SKY,27,00:00:00,0.00000,0.00000,00000,0,0,0,24.9,0.0,0*244E",M0UPU,27,00:00:00,0.0,0.0,0,0,0,0,24.9,0.0,0
"$$PI_SKY,28,00:00:00,0.00000,0.00000,00000,0,0,0,25.1,0.0,0*E51A",M0UPU,28,00:00:00,0.0,0.0,0,0,0,0,25.1,0.0,0
"$$PI_SKY,29,00:00:00,0.00000,0.00000,00000,0,0,0,25.1,0.0,0*587E",M0UPU,29,00:00:00,0.0,0.0,0,0,0,0,25.1,0.0,0
"$$PI_SKY,30,00:00:00,0.00000,0.00000,00000,0,0,0,25.4,0.0,0*354E",M0UPU,30,00:00:00,0.0,0.0,0,0,0,0,25.4,0.0,0
"$$PI_SKY,31,00:00:00,0.00000,0.00000,00000,0,0,0,25.4,0.0,0*882A",M0UPU,31,00:00:00,0.0,0.0,0,0,0,0,25.4,0.0,0
"$$PI_SKY,35,00:00:00,0.00000,0.00000,00000,0,0,0,25.9,0.0,0*B7F2",M0UPU,35,00:00:00,0.0,0.0,0,0,0,0,25.9,0.0,0
"$$PI_SKY,36,00:00:00,0.00000,0.00000,00000,0,0,0,26.1,0.0,0*DE96",M0UPU,36,00:00:00,0.0,0.0,0,0,0,0,26.1,0.0,0
"$$PI_SKY,37,00:00:00,0.00000,0.00000,00000,0,0,0,26.2,0.0,0*BB70",M0UPU,37,00:00:00,0.0,0.0,0,0,0,0,26.2,0.0,0
"$$PI_SKY,38,00:00:00,0.00000,0.00000,00000,0,0,0,26.3,0.0,0*BACB",M0UPU,38,00:00:00,0.0,0.0,0,0,0,0,26.3,0.0,0
"$$PI_SKY,39,00:00:00,0.00000,0.00000,00000,0,0,0,26.4,0.0,0*1EEB",M0UPU,39,00:00:00,0.0,0.0,0,0,0,0,26.4,0.0,0
"$$PI_SKY,40,00:00:00,0.00000,0.00000,00000,0,0,0,26.5,0.0,0*DF29",M0UPU,40,00:00:00,0.0,0.0,0,0,0,0,26.5,0.0,0
"$$PI_SKY,41,00:00:00,0.00000,0.00000,00000,0,0,0,26.6,0.0,0*BACF",M0UPU,41,00:00:00,0.0,0.0,0,0,0,0,26.6,0.0,0
"$$PI_SKY,42,00:00:00,0.00000,0.00000,00000,0,0,0,26.8,0.0,0*5FCA",M0UPU,42,00:00:00,0.0,0.0,0,0,0,0,26.8,0.0,0
"$$PI_SKY,43,00:00:00,0.00000,0.00000,00000,0,0,0,26.9,0.0,0*5ACF",M0UPU,43,00:00:00,0.0,0.0,0,0,0,0,26.9,0.0,0
"$$PI_SKY,44,00:00:00,0.00000,0.00000,00000,0,0,0,27.0,0.0,0*987F",M0UPU,44,00:00:00,0.0,0.0,0,0,0,0,27.0,0.0,0
"$$PI_SKY,45,00:00:00,0.00000,0.00000,00000,0,0,0,27.1,0.0,0*9D7A",M0UPU,45,00:00:00,0.0,0.0,0,0,0,0,27.1,0.0,0
"$$PI_SKY,46,00:00:00,0.00000,0.00000,00000,0,0,0,27.1,0.0,0*4AF7",M0UPU,46,00:00:00,0.0,0.0,0,0,0,0,27.1,0.0,0
"$$PI_SKY,47,00:00:00,0.00000,0.00000,00000,0,0,0,27.2,0.0,0*2F11",M0UPU,47,00:00:00,0.0,0.0,0,0,0,0,27.2,0.0,0
"$$PI_SKY,48,00:00:00,0.00000,0.00000,00000,0,0,0,27.3,0.0,0*2EAA",M0UPU,48,00:00:00,0.0,0.0,0,0,0,0,27.3,0.0,0
"$$PI_SKY,49,00:00:00,0.00000,0.00000,00000,0,0,0,27.4,0.0,0*8A8A",M0UPU,49,00:00:00,0.0,0.0,0,0,0,0,27.4,0.0,0
"$$PI_SKY,50,00:00:00,0.00000,0.00000,00000,0,0,0,27.5,0.0,0*267C",M0UPU,50,00:00:00,0.0,0.0,0,0,0,0,27.5,0.0,0
"$$PI_SKY,51,00:00:00,0.00000,0.00000,00000,0,0,0,27.6,0.0,0*439A",M0UPU,51,00:00:00,0.0,0.0,0,0,0,0,27.6,0.0,0
"$$PI_SKY,52,00:00:00,0.00000,0.00000,00000,0,0,0,27.6,0.0,0*9417",M0UPU,52,00:00:00,0.0,0.0,0,0,0,0,27.6,0.0,0
"$$PI_SKY,53,00:00:00,0.00000,0.00000,00000,0,0,0,27.8,0.0,0*1BFB",M0UPU,53,00:00:00,0.0,0.0,0,0,0,0,27.8,0.0,0
"$$PI_SKY,56,00:00:00,0.00000,0.00000,00000,0,0,0,28.1,0.0,0*C0D5",M0UPU,56,00:00:00,0.0,0.0,0,0,0,0,28.1,0.0,0
"$$PI_SKY,57,00:00:00,0.00000,0.00000,00000,0,0,0,28.2,0.0,0*A533",M0UPU,57,00:00:00,0.0,0.0,0,0,0,0,28.2,0.0,0
"$$PI_SKY,58,00:00:00,0.00000,0.00000,00000,0,0,0,28.2,0.0,0*1CE9",M0UPU,58,00:00:00,0.0,0.0,0,0,0,0,28.2,0.0,0
"$$PI_SKY,59,00:00:00,0.00000,0.00000,00000,0,0,0,28.4,0.0,0*00A8",M0UPU,59,00:00:00,0.0,0.0,0,0,0,0,28.4,0.0,0
"$$PI_SKY,61,00:00:00,0.00000,0.00000,00000,0,0,0,28.6,0.0,0*ED54",M0UPU,61,00:00:00,0.0,0.0,0,0,0,0,28.6,0.0,0
"$$PI_SKY,62,00:00:00,0.00000,0.00000,00000,0,0,0,28.6,0.0,0*3AD9",M0UPU,62,00:00:00,0.0,0.0,0,0,0,0,28.6,0.0,0
"$$PI_SKY,110,11:34:42,51.95034,-2.54459,00158,0,0,5,29.5,0.0,0*180D",M0RPI,110,11:34:42,51.95034,-2.54459,158,0,0,5,29.5,0.0,0
"$$PI_SKY,402,12:31:02,51.94815,-2.58255,01939,0,0,10,23.2,0.0,0*295F",M0UPU,402,12:31:02,51.94815,-2.58255,1939,0,0,10,23.2,0.0,0
"$$PI_SKY,403,12:31:14,51.94834,-2.58367,01999,0,0,7,23.1,0.0,0*D511",M0UPU,403,12:31:14,51.94834,-2.58367,1999,0,0,7,23.1,0.0,0
"$$PI_SKY,404,12:31:45,51.94847,-2.58667,02157,0,0,6,22.6,0.0,0*5A79",M0UPU,404,12:31:45,51.94847,-2.58667,2157,0,0,6,22.6,0.0,0
"$$PI_SKY,405,12:32:25,51.94846,-2.59055,02357,0,0,8,22.1,0.0,0*9EA2",M0UPU,405,12:32:25,51.94846,-2.59055,2357,0,0,8,22.1,0.0,0
"$$PI_SKY,406,12:33:06,51.94889,-2.59472,02557,0,0,10,21.5,0.0,0*633C",M0UPU,406,12:33:06,51.94889,-2.59472,2557,0,0,10,21.5,0.0,0
"$$PI_SKY,407,12:33:46,51.94916,-2.59880,02754,0,0,10,21.1,0.0,0*2E44",M0UPU,407,12:33:46,51.94916,-2.5988,2754,0,0,10,21.1,0.0,0
"$$PI_SKY,408,12:34:26,51.94962,-2.60301,02948,0,0,8,20.8,0.0,0*4FA6",M0UPU,408,12:34:26,51.94962,-2.60301,2948,0,0,8,20.8,0.0,0
"$$PI_SKY,409,12:35:06,51.94994,-2.60674,03150,0,0,8,20.4,0.0,0*58AC",M0UPU,409,12:35:06,51.94994,-2.60674,3150,0,0,8,20.4,0.0,0
"$$PI_SKY,410,12:35:37,51.95014,-2.60932,03317,0,0,8,20.2,0.0,0*7B80",M0UPU,410,12:35:37,51.95014,-2.60932,3317,0,0,8,20.2,0.0,0
"$$PI_SKY,411,12:36:17,51.95056,-2.61345,03533,0,0,9,20.0,0.0,0*7C64",M0UPU,411,12:36:17,51.95056,-2.61345,3533,0,0,9,20.0,0.0,0
"$$PI_SKY,412,12:36:57,51.95054,-2.61769,03757,0,0,9,19.6,0.0,0*C20D",M0UPU,412,12:36:57,51.95054,-2.61769,3757,0,0,9,19.6,0.0,0
"$$PI_SKY,414,12:38:18,51.95024,-2.62796,04204,0,0,6,19.0,0.0,0*33FA","M0UPU,0x17",414,12:38:18,51.95024,-2.62796,4204,0,0,6,19.0,0.0,0
"$$PI_SKY,415,12:38:58,51.95034,-2.63320,04414,0,0,8,18.6,0.0,0*9D14","M0UPU,0x17",415,12:38:58,51.95034,-2.6332,4414,0,0,8,18.6,0.0,0
"$$PI_SKY,416,12:39:38,51.95044,-2.63817,04611,0,0,9,18.3,0.0,0*83FF","M0UPU,0x17",416,12:39:38,51.95044,-2.63817,4611,0,0,9,18.3,0.0,0
"$$PI_SKY,417,12:40:18,51.95087,-2.64307,04818,0,0,8,18.1,0.0,0*80A4","0x17,M0UPU",417,12:40:18,51.95087,-2.64307,4818,0,0,8,18.1,0.0,0
"$$PI_SKY,418,12:40:58,51.95147,-2.64838,05027,0,0,6,17.8,0.0,0*EE78","M0UPU,0x17",418,12:40:58,51.95147,-2.64838,5027,0,0,6,17.8,0.0,0
"$$PI_SKY,419,12:41:38,51.95176,-2.65386,05249,0,0,5,17.2,0.0,0*BBDF","M0UPU,0x17",419,12:41:38,51.95176,-2.65386,5249,0,0,5,17.2,0.0,0
"$$PI_SKY,420,12:42:18,51.95195,-2.65878,05468,0,0,9,16.8,0.0,0*70F4","M0UPU,0x17",420,12:42:18,51.95195,-2.65878,5468,0,0,9,16.8,0.0,0
"$$PI_SKY,421,12:42:58,51.95195,-2.66440,05703,0,0,7,16.2,0.0,0*DDBA","M0UPU,0x17",421,12:42:58,51.95195,-2.6644,5703,0,0,7,16.2,0.0,0
"$$PI_SKY,422,12:43:39,51.95163,-2.67073,05936,0,0,9,15.7,0.0,0*10D4","M0UPU,0x17",422,12:43:39,51.95163,-2.67073,5936,0,0,9,15.7,0.0,0
"$$PI_SKY,423,12:44:19,51.95082,-2.67700,06156,0,0,9,15.3,0.0,0*ACC8","M0UPU,0x17",423,12:44:19,51.95082,-2.677,6156,0,0,9,15.3,0.0,0
"$$PI_SKY,424,12:44:59,51.95043,-2.68251,06389,0,0,6,14.9,0.0,0*4890","0x17,M0UPU",424,12:44:59,51.95043,-2.68251,6389,0,0,6,14.9,0.0,0
"$$PI_SKY,425,12:45:39,51.95097,-2.68808,06610,0,0,8,14.6,0.0,0*5CFE","M0UPU,0x17",425,12:45:39,51.95097,-2.68808,6610,0,0,8,14.6,0.0,0
"$$PI_SKY,426,12:46:19,51.95168,-2.69457,06834,0,0,8,14.2,0.0,0*F03C","M0UPU,0x17",426,12:46:19,51.95168,-2.69457,6834,0,0,8,14.2,0.0,0
"$$PI_SKY,427,12:46:56,51.95284,-2.70296,07040,0,0,0,14.1,0.0,0*7F51","M0UPU,0x17",427,12:46:56,51.95284,-2.70296,7040,0,0,0,14.1,0.0,0
"$$PI_SKY,429,12:48:10,51.95522,-2.71993,07453,0,0,9,13.7,0.0,0*7905","M0UPU,0x17",429,12:48:10,51.95522,-2.71993,7453,0,0,9,13.7,0.0,0
"$$PI_SKY,430,12:48:50,51.95634,-2.73106,07671,0,0,9,13.4,0.0,0*83B4","M0UPU,0x17",430,12:48:50,51.95634,-2.73106,7671,0,0,9,13.4,0.0,0
"$$PI_SKY,431,12:49:31,51.95823,-2.74233,07899,0,0,10,13.1,0.0,0*352D","M0UPU,0x17",431,12:49:31,51.95823,-2.74233,7899,0,0,10,13.1,0.0,0
"$$PI_SKY,432,12:50:11,51.96046,-2.75414,08117,0,0,5,12.8,0.0,0*A48C","0x17,M0UPU",432,12:50:11,51.96046,-2.75414,8117,0,0,5,12.8,0.0,0
"$$PI_SKY,433,12:50:49,51.96324,-2.76560,08327,0,0,3,12.4,0.0,0*7B80","M0UPU,0x17",433,12:50:49,51.96324,-2.7656,8327,0,0,3,12.4,0.0,0
"$$PI_SKY,434,12:51:31,51.96685,-2.77914,08567,0,0,9,12.0,0.0,0*54D4","M0UPU,0x17",434,12:51:31,51.96685,-2.77914,8567,0,0,9,12.0,0.0,0
"$$PI_SKY,435,12:52:11,51.97172,-2.79418,08799,0,0,10,11.6,0.0,0*A8D8","M0UPU,0x17",435,12:52:11,51.97172,-2.79418,8799,0,0,10,11.6,0.0,0
"$$PI_SKY,436,12:52:51,51.97658,-2.81147,09004,0,0,9,11.3,0.0,0*9516","0x17,G8FJG_2",436,12:52:51,51.97658,-2.81147,9004,0,0,9,11.3,0.0,0
"$$PI_SKY,437,12:53:31,51.98106,-2.82928,09212,0,0,6,10.9,0.0,0*279E","M0UPU,0x17",437,12:53:31,51.98106,-2.82928,9212,0,0,6,10.9,0.0,0
