_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,heading,satellites,temperature_internal,battery,current
"$$PI_SKY_PLUS,28,00:00:00,0.00000,0.00000,00000,0,0,0,25.0,6.1,109*7B27","M0UPU,M0RPI",28,00:00:00,0.0,0.0,0,0,0,0,25.0,6.1,109.0
"$$PI_SKY_PLUS,29,00:00:00,0.00000,0.00000,00000,0,0,0,25.1,6.1,109*D477","M0UPU,M0RPI",29,00:00:00,0.0,0.0,0,0,0,0,25.1,6.1,109.0
"$$PI_SKY_PLUS,30,00:00:00,0.00000,0.00000,00000,0,0,0,25.2,6.1,109*C5DA","M0UPU,M0RPI",30,00:00:00,0.0,0.0,0,0,0,0,25.2,6.1,109.0
"$$PI_SKY_PLUS,31,00:00:00,0.00000,0.00000,00000,0,0,0,25.3,6.0,164*BBD0","M0UPU,M0RPI",31,00:00:00,0.0,0.0,0,0,0,0,25.3,6.0,164.0
"$$PI_SKY_PLUS,32,00:00:00,0.00000,0.00000,00000,0,0,0,25.6,6.1,96*6898","M0UPU,M0RPI",32,00:00:00,0.0,0.0,0,0,0,0,25.6,6.1,96.0
"$$PI_SKY_PLUS,33,00:00:00,0.00000,0.00000,00000,0,0,0,25.6,6.0,164*44FA","M0UPU,M0RPI",33,00:00:00,0.0,0.0,0,0,0,0,25.6,6.0,164.0
"$$PI_SKY_PLUS,34,00:00:00,0.00000,0.00000,00000,0,0,0,25.8,6.1,109*2BAF",M0RPI,34,00:00:00,0.0,0.0,0,0,0,0,25.8,6.1,109.0
"$$PI_SKY_PLUS,35,00:00:00,0.00000,0.00000,00000,0,0,0,25.9,6.0,178*A718",M0RPI,35,00:00:00,0.0,0.0,0,0,0,0,25.9,6.0,178.0
"$$PI_SKY_PLUS,36,00:00:00,0.00000,0.00000,00000,0,0,0,25.9,5.9,246*F6BE",M0RPI,36,00:00:00,0.0,0.0,0,0,0,0,25.9,5.9,246.0
"$$PI_SKY_PLUS,37,00:00:00,0.00000,0.00000,00000,0,0,0,26.1,6.0,150*9991",M0RPI,37,00:00:00,0.0,0.0,0,0,0,0,26.1,6.0,150.0
"$$PI_SKY_PLUS,38,00:00:00,0.00000,0.00000,00000,0,0,0,26.2,6.0,109*14AB",M0RPI,38,00:00:00,0.0,0.0,0,0,0,0,26.2,6.0,109.0
"$$PI_SKY_PLUS,39,00:00:00,0.00000,0.00000,00000,0,0,0,26.2,6.0,109*50D8",M0RPI,39,00:00:00,0.0,0.0,0,0,0,0,26.2,6.0,109.0
"$$PI_SKY_PLUS,40,00:00:00,0.00000,0.00000,00000,0,0,0,26.4,6.0,109*3D18",M0RPI,40,00:00:00,0.0,0.0,0,0,0,0,26.4,6.0,109.0
"$$PI_SKY_PLUS,41,00:00:00,0.00000,0.00000,00000,0,0,0,26.4,6.0,109*796B",M0RPI,41,00:00:00,0.0,0.0,0,0,0,0,26.4,6.0,109.0
"$$PI_SKY_PLUS,42,00:00:00,0.00000,0.00000,00000,0,0,0,26.5,6.0,109*5EDD",M0RPI,42,00:00:00,0.0,0.0,0,0,0,0,26.5,6.0,109.0
"$$PI_SKY_PLUS,43,00:00:00,0.00000,0.00000,00000,0,0,0,26.6,6.0,109*37EA",M0RPI,43,00:00:00,0.0,0.0,0,0,0,0,26.6,6.0,109.0
"$$PI_SKY_PLUS,44,00:00:00,0.00000,0.00000,00000,0,0,0,26.7,6.0,109*11B1",M0RPI,44,00:00:00,0.0,0.0,0,0,0,0,26.7,6.0,109.0
"$$PI_SKY_PLUS,45,00:00:00,0.00000,0.00000,00000,0,0,0,26.8,6.0,109*CD96",M0RPI,45,00:00:00,0.0,0.0,0,0,0,0,26.8,6.0,109.0
"$$PI_SKY_PLUS,46,00:00:00,0.00000,0.00000,00000,0,0,0,26.9,6.0,137*5EBD",M0RPI,46,00:00:00,0.0,0.0,0,0,0,0,26.9,6.0,137.0
"$$PI_SKY_PLUS,47,00:00:00,0.00000,0.00000,00000,0,0,0,27.0,6.0,109*B4C6",M0RPI,47,00:00:00,0.0,0.0,0,0,0,0,27.0,6.0,109.0
"$$PI_SKY_PLUS,48,00:00:00,0.00000,0.00000,00000,0,0,0,27.1,5.9,232*5CD1",M0RPI,48,00:00:00,0.0,0.0,0,0,0,0,27.1,5.9,232.0
"$$PI_SKY_PLUS,49,00:00:00,0.00000,0.00000,00000,0,0,0,27.2,6.0,109*F870",M0RPI,49,00:00:00,0.0,0.0,0,0,0,0,27.2,6.0,109.0
"$$PI_SKY_PLUS,50,00:00:00,0.00000,0.00000,00000,0,0,0,27.2,6.0,109*C499",M0RPI,50,00:00:00,0.0,0.0,0,0,0,0,27.2,6.0,109.0
"$$PI_SKY_PLUS,51,00:00:00,0.00000,0.00000,00000,0,0,0,27.3,5.9,191*20A7",M0RPI,51,00:00:00,0.0,0.0,0,0,0,0,27.3,5.9,191.0
"$$PI_SKY_PLUS,52,00:00:00,0.00000,0.00000,00000,0,0,0,27.4,6.0,109*16F7",M0RPI,52,00:00:00,0.0,0.0,0,0,0,0,27.4,6.0,109.0
"$$PI_SKY_PLUS,53,00:00:00,0.00000,0.00000,00000,0,0,0,27.5,6.0,109*B9A7",M0RPI,53,00:00:00,0.0,0.0,0,0,0,0,27.5,6.0,109.0
"$$PI_SKY_PLUS,54,00:00:00,0.00000,0.00000,00000,0,0,0,27.6,6.0,109*599B",M0RPI,54,00:00:00,0.0,0.0,0,0,0,0,27.6,6.0,109.0
"$$PI_SKY_PLUS,55,00:00:00,0.00000,0.00000,00000,0,0,0,27.7,6.0,109*F6CB",M0RPI,55,00:00:00,0.0,0.0,0,0,0,0,27.7,6.0,109.0
"$$PI_SKY_PLUS,56,00:00:00,0.00000,0.00000,00000,0,0,0,27.8,6.0,109*A20A",M0RPI,56,00:00:00,0.0,0.0,0,0,0,0,27.8,6.0,109.0
"$$PI_SKY_PLUS,57,00:00:00,0.00000,0.00000,00000,0,0,0,27.8,6.0,109*E679",M0RPI,57,00:00:00,0.0,0.0,0,0,0,0,27.8,6.0,109.0
"$$PI_SKY_PLUS,58,00:00:00,0.00000,0.00000,00000,0,0,0,27.9,6.0,109*C3F8",M0RPI,58,00:00:00,0.0,0.0,0,0,0,0,27.9,6.0,109.0
"$$PI_SKY_PLUS,59,00:00:00,0.00000,0.00000,00000,0,0,0,28.1,6.0,109*2547",M0RPI,59,00:00:00,0.0,0.0,0,0,0,0,28.1,6.0,109.0
"$$PI_SKY_PLUS,60,00:00:00,0.00000,0.00000,00000,0,0,0,28.2,5.9,246*D6EF",M0RPI,60,00:00:00,0.0,0.0,0,0,0,0,28.2,5.9,246.0
"$$PI_SKY_PLUS,61,00:00:00,0.00000,0.00000,00000,0,0,0,28.2,6.0,109*8619",M0RPI,61,00:00:00,0.0,0.0,0,0,0,0,28.2,6.0,109.0
"$$PI_SKY_PLUS,62,00:00:00,0.00000,0.00000,00000,0,0,0,28.3,5.9,273*B0DC",M0RPI,62,00:00:00,0.0,0.0,0,0,0,0,28.3,5.9,273.0
"$$PI_SKY_PLUS,63,00:00:00,0.00000,0.00000,00000,0,0,0,28.4,6.0,96*4E59",M0RPI,63,00:00:00,0.0,0.0,0,0,0,0,28.4,6.0,96.0
"$$PI_SKY_PLUS,64,00:00:00,0.00000,0.00000,00000,0,0,0,28.4,6.0,123*5E27",M0RPI,64,00:00:00,0.0,0.0,0,0,0,0,28.4,6.0,123.0
