_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites
"$$PIFALCON,3,13:45:32,50.799965,4.371150,896,6*EDD8",NickB,3,13:45:32,50.799965,4.37115,896,6
"$$PIFALCON,4,13:46:14,50.800434,4.375667,1177,8*BFB8",NickB,4,13:46:14,50.800434,4.375667,1177,8
"$$PIFALCON,5,13:47:14,50.801701,4.382800,1549,7*ED43",NickB,5,13:47:14,50.801701,4.3828,1549,7
"$$PIFALCON,6,13:47:56,50.802967,4.388050,1816,6*F8CA",NickB,6,13:47:56,50.802967,4.38805,1816,6
"$$PIFALCON,7,13:48:56,50.806015,4.395933,2196,9*6264",NickB,7,13:48:56,50.806015,4.395933,2196,9
"$$PIFALCON,12,13:52:41,50.822681,4.430333,3736,9*FCF4","NickB,RevSpace",12,13:52:41,50.822681,4.430333,3736,9
"$$PIFALCON,14,13:54:02,50.833168,4.445433,4304,7*E463","NickB,RevSpace,PD1ODE",14,13:54:02,50.833168,4.445433,4304,7
"$$PIFALCON,15,13:54:45,50.840118,4.453900,4635,7*82F0","NickB,RevSpace",15,13:54:45,50.840118,4.4539,4635,7
"$$PIFALCON,16,13:55:45,50.847683,4.465333,5037,8*6773",PD1ODE,16,13:55:45,50.847683,4.465333,5037,8
"$$PIFALCON,18,13:57:07,50.858868,4.484033,5624,8*28DA","PE2G,PD1ODE",18,13:57:07,50.858868,4.484033,5624,8
"$$PIFALCON,19,13:57:50,50.866333,4.496400,5955,7*FE12",PE2G,19,13:57:50,50.866333,4.4964,5955,7
"$$PIFALCON,20,13:58:32,50.874001,4.507367,6213,6*A443","NickB,PE2G,RevSpace",20,13:58:32,50.874001,4.507367,6213,6
"$$PIFALCON,21,13:59:32,50.885601,4.522483,6666,7*5FA6","PE2G,PB0AHX,RevSpace",21,13:59:32,50.885601,4.522483,6666,7
"$$PIFALCON,22,14:00:14,50.894268,4.533333,6970,7*099A","NickB,PE2G",22,14:00:14,50.894268,4.533333,6970,7
"$$PIFALCON,24,14:01:35,50.910069,4.556200,7568,7*7A08","NickB,PE2G,PD5TON",24,14:01:35,50.910069,4.5562,7568,7
"$$PIFALCON,25,14:02:18,50.919033,4.569033,7918,8*5A38","NickB,RevSpace,PE2G,PD1ODE",25,14:02:18,50.919033,4.569033,7918,8
"$$PIFALCON,27,14:03:56,50.938168,4.598200,8636,8*07D2","PD1ODE,PE2G,RevSpace",27,14:03:56,50.938168,4.5982,8636,8
"$$PIFALCON,28,14:04:39,50.946716,4.610950,8982,7*F203","NickB,PE2G,RevSpace",28,14:04:39,50.946716,4.61095,8982,7
"$$PIFALCON,29,14:05:21,50.955685,4.623600,9280,8*5275","PD1ODE,PE2G,RevSpace",29,14:05:21,50.955685,4.6236,9280,8
"$$PIFALCON,30,14:06:21,50.967201,4.640683,9689,7*45E4","PD1ODE,PE2G,RevSpace",30,14:06:21,50.967201,4.640683,9689,7
"$$PIFALCON,31,14:07:59,50.981098,4.669900,10290,7*13B5","NickB,PE2G,PD1ODE",31,14:07:59,50.981098,4.6699,10290,7
"$$PIFALCON,32,14:08:42,50.986465,4.681883,10555,7*7ABF","NickB,PE2G",32,14:08:42,50.986465,4.681883,10555,7
"$$PIFALCON,33,14:09:42,50.995182,4.700333,11010,7*71E2","PE1RQM,NickB,PE2G",33,14:09:42,50.995182,4.700333,11010,7
"$$PIFALCON,34,14:10:25,51.002018,4.712650,11267,8*0A64","PE1RQM,PE2G,RevSpace",34,14:10:25,51.002018,4.71265,11267,8
"$$PIFALCON,38,14:13:21,51.040867,4.767483,12275,8*A45F","PE1RQM,G8DHE,PE2G,PD5TON,PD1ODE",38,14:13:21,51.040867,4.767483,12275,8
"$$PIFALCON,39,14:14:04,51.048683,4.780900,12479,6*5FA2","PE1RQM,PE2G,PD5TON,PD1ODE",39,14:14:04,51.048683,4.7809,12479,6
"$$PIFALCON,40,14:15:04,51.057518,4.798767,12784,6*95F3","PE1RQM,PE2G,PD5TON,PD1ODE",40,14:15:04,51.057518,4.798767,12784,6
"$$PIFALCON,41,14:15:47,51.064682,4.810417,13001,8*7462","PE2G,PD5TON",41,14:15:47,51.064682,4.810417,13001,8
"$$PIFALCON,42,14:16:30,51.071785,4.822650,13206,6*B894","PE1RQM,PE2G,PD1ODE",42,14:16:30,51.071785,4.82265,13206,6
"$$PIFALCON,44,14:18:09,51.087833,4.844567,13744,7*BA81","G8DHE,PE2G,PD1ODE",44,14:18:09,51.087833,4.844567,13744,7
"$$PIFALCON,45,14:18:52,51.093651,4.854150,13916,7*0314","PE1RQM,G8DHE,PE2G,RevSpace,PD1ODE",45,14:18:52,51.093651,4.85415,13916,7
"$$PIFALCON,46,14:19:35,51.099518,4.863500,14143,8*27FB","RevSpace,PE2G,PD1ODE",46,14:19:35,51.099518,4.8635,14143,8
"$$PIFALCON,50,14:22:31,51.123318,4.902283,14944,6*8BFB","RevSpace,PE2G,PD1ODE",50,14:22:31,51.123318,4.902283,14944,6
"$$PIFALCON,51,14:23:12,51.128983,4.910284,15196,5*774C","DutchMillbt,RevSpace,PE2G,PD1ODE",51,14:23:12,51.128983,4.910284,15196,5
"$$PIFALCON,52,14:24:12,51.136017,4.925200,15621,6*72C0","DutchMillbt,PD1ODE,PE2G,RevSpace",52,14:24:12,51.136017,4.9252,15621,6
"$$PIFALCON,53,14:24:55,51.141468,4.935383,15771,6*936D","DutchMillbt,PD1ODE,PE2G,RevSpace",53,14:24:55,51.141468,4.935383,15771,6
"$$PIFALCON,54,14:27:02,51.157349,4.963533,16488,7*5E00","DutchMillbt,PE2G,PD1ODE",54,14:27:02,51.157349,4.963533,16488,7
"$$PIFALCON,55,14:27:45,51.161800,4.971517,16698,5*75F6","DutchMillbt,PE2G,G8KNN,PD1ODE",55,14:27:45,51.1618,4.971517,16698,5
"$$PIFALCON,56,14:28:45,51.167332,4.980350,17029,6*D107","DutchMillbt,PE2G,PD1ODE",56,14:28:45,51.167332,4.98035,17029,6
"$$PIFALCON,57,14:29:27,51.171432,4.986084,17257,7*A072","jijdaar,DutchMillbt,PE2G,PD1ODE",57,14:29:27,51.171432,4.986084,17257,7
"$$PIFALCON,59,14:30:49,51.177616,5.002584,17714,5*ACCB","jijdaar,DutchMillbt,PD1ODE,PE2G,RevSpace",59,14:30:49,51.177616,5.002584,17714,5
"$$PIFALCON,60,14:31:32,51.180515,5.011967,17930,7*F33D","jijdaar,DutchMillbt,PE2G",60,14:31:32,51.180515,5.011967,17930,7
"$$PIFALCON,62,14:33:12,51.187134,5.029150,18486,7*4B57","jijdaar,DutchMillbt,PD1ODE,PE2G,RevSpace",62,14:33:12,51.187134,5.02915,18486,7
"$$PIFALCON,63,14:33:55,51.189365,5.036867,18695,6*FA39","jijdaar,DutchMillbt,RevSpace,PE2G,NickB",63,14:33:55,51.189365,5.036867,18695,6
"$$PIFALCON,64,14:34:38,51.191849,5.041983,18965,3*BFD3","PE1RQM,PE2G,PD1ODE,jijdaar,RevSpace,NickB,DutchMillbt",64,14:34:38,51.191849,5.041983,18965,3
"$$PIFALCON,65,14:35:21,51.195415,5.048433,19164,6*5685","jijdaar,DutchMillbt,PE2G",65,14:35:21,51.195415,5.048433,19164,6
"$$PIFALCON,66,14:36:03,51.198483,5.055700,19401,7*181C","PE1RQM,PE2G,RevSpace,PD1ODE,NickB,DutchMillbt",66,14:36:03,51.198483,5.0557,19401,7
"$$PIFALCON,67,14:36:46,51.202682,5.062150,19633,6*8F96","jijdaar,DutchMillbt,PE2G,PE1RQM,NickB",67,14:36:46,51.202682,5.06215,19633,6
"$$PIFALCON,68,14:37:29,51.206100,5.070617,19958,4*9C6E","jijdaar,DutchMillbt,G8DHE",68,14:37:29,51.2061,5.070617,19958,4
"$$PIFALCON,69,14:38:10,51.208134,5.079967,20174,5*D69D","PE1RQM,PE2G,PD1ODE,jijdaar,RevSpace,NickB,DutchMillbt",69,14:38:10,51.208134,5.079967,20174,5
"$$PIFALCON,70,14:38:52,51.210182,5.088483,20365,6*978D","PE1RQM,PE2G,jijdaar,PD1ODE,NickB,DutchMillbt",70,14:38:52,51.210182,5.088483,20365,6
"$$PIFALCON,71,14:39:53,51.213566,5.102950,20650,6*45E8","PE1RQM,PE2G,jijdaar,PD1ODE,NickB,DutchMillbt",71,14:39:53,51.213566,5.10295,20650,6
