_sentence,_receivers,gps_lock,time,latitude,longitude,altitude
"$$SP,2,08:17:11,4725.6524,01910.6882,1779*27",ha5mrc,2,08:17:11,47.42754,19.1781367,1779
"$$SP,2,08:18:20,4725.7217,01910.7650,2143*20","ha5mrc,HA5CQA",2,08:18:20,47.428695,19.1794167,2143
"$$SP,2,08:18:52,4725.7232,01910.7639,2314*2D","ha5mrc,OM5KV-1,OM5KV",2,08:18:52,47.42872,19.1793983,2314
"$$SP,1,08:19:24,4725.7177,01910.7474,2484*29","ha5mrc,HA5CQA,OM5KV,OM5KV-1",1,08:19:24,47.4286283,19.1791233,2484
"$$SP,1,08:19:56,4725.6851,01910.7644,2657*2D","ha5mrc,HA5CQA,OM5KV,OM5KV-1",1,08:19:56,47.428085,19.1794067,2657
"$$SP,2,08:20:28,4725.6495,01910.7533,2816*21","HA5CQA,OM5KV-1,OM5KV",2,08:20:28,47.4274917,19.1792217,2816
"$$SP,2,08:21:00,4725.6418,01910.7735,2981*24","ha5mrc,HA5CQA,OM5KV-1,OM5KV",2,08:21:00,47.4273633,19.1795583,2981
"$$SP,1,08:21:32,4725.6695,01910.7929,3144*22","ha5mrc,HA5CQA,OM1ATS,OM5KV-1,OM5KV",1,08:21:32,47.427825,19.1798817,3144
"$$SP,1,08:22:04,4725.6547,01910.7945,3317*26","ha5mrc,HA5CQA,OM1ATS,OM5KV-1,OM5KV",1,08:22:04,47.4275783,19.1799083,3317
"$$SP,1,08:22:36,4725.6567,01910.8295,3484*21","ha5mrc,HA5CQA,OM1ATS,OM5KV,OM5KV-1",1,08:22:36,47.4276117,19.1804917,3484
"$$SP,1,08:23:08,4725.6452,01910.8390,3649*2D","ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",1,08:23:08,47.42742,19.18065,3649
"$$SP,1,08:23:40,4725.6364,01910.8402,3819*24","ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",1,08:23:40,47.4272733,19.18067,3819
"$$SP,1,08:24:12,4725.6350,01910.8414,3977*2D","ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM5KV,OM3WOR",1,08:24:12,47.42725,19.18069,3977
"$$SP,1,08:24:44,4725.6274,01910.8752,4145*26","ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM5KV,OM3WOR",1,08:24:44,47.4271233,19.1812533,4145
"$$SP,2,08:25:16,4725.5872,01910.9279,4305*27","ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",2,08:25:16,47.4264533,19.1821317,4305
"$$SP,2,08:25:48,4725.5963,01910.9605,4461*27","ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM5KV,OM3WOR",2,08:25:48,47.426605,19.182675,4461
"$$SP,2,08:26:20,4725.5735,01911.0072,4625*2B","ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",2,08:26:20,47.426225,19.1834533,4625
"$$SP,2,08:26:52,4725.5395,01911.0712,4789*26","ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM5KV,OM3WOR",2,08:26:52,47.4256583,19.18452,4789
"$$SP,2,08:27:24,4725.4969,01911.1429,4948*27","ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM5KV,OM3WOR",2,08:27:24,47.4249483,19.185715,4948
"$$SP,2,08:28:34,4725.4047,01911.1973,5357*2B","ha5mrc,HA6NN,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",2,08:28:34,47.4234117,19.1866217,5357
"$$SP,2,08:29:43,4725.3283,01911.2442,5745*2C","ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",2,08:29:43,47.4221383,19.1874033,5745
"$$SP,2,08:30:15,4725.2492,01911.2939,5912*2D","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3WOR,OM5KV-1",2,08:30:15,47.42082,19.1882317,5912
"$$SP,2,08:30:47,4725.1807,01911.3292,6083*20","ha5mrc,HA6NN,OM3WOR,HA5CQA,OM5KV-1,OM1ATS,OM3BC,OM5KV",2,08:30:47,47.4196783,19.18882,6083
"$$SP,2,08:31:19,4725.1135,01911.3973,6233*2F","HA6NN,ha5mrc,HA5CQA,OM5KV,OM3BC,OM5KV-1",2,08:31:19,47.4185583,19.189955,6233
"$$SP,2,08:31:51,4725.0308,01911.4555,6381*29","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM3WOR,OM5KV-1",2,08:31:51,47.41718,19.190925,6381
"$$SP,2,08:32:23,4724.9553,01911.5088,6559*28","HA6NN,ha5mrc,OM3WOR,OM5KV,OM1ATS,OM3BC,OM5KV-1",2,08:32:23,47.4159217,19.1918133,6559
"$$SP,2,08:32:55,4724.8796,01911.6091,6732*27","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM5KV-1",2,08:32:55,47.41466,19.193485,6732
"$$SP,2,08:33:27,4724.7838,01911.6905,6899*2D","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM3WOR,OM5KV-1",2,08:33:27,47.4130633,19.1948417,6899
"$$SP,2,08:33:59,4724.6838,01911.8027,7062*2F","ha5mrc,HA6NN,HA5CQA,OM5KV,OM1ATS,OM3BC,OM3WOR,OM5KV-1",2,08:33:59,47.4113967,19.1967117,7062
"$$SP,2,08:34:31,4724.5936,01911.8979,7198*2C","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM3WOR,OM5KV-1",2,08:34:31,47.4098933,19.1982983,7198
"$$SP,2,08:35:03,4724.5074,01911.9885,7357*21","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM3WOR,OM5KV-1",2,08:35:03,47.4084567,19.1998083,7357
"$$SP,2,08:35:35,4724.4133,01912.1191,7511*24","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM5KV-1",2,08:35:35,47.4068883,19.201985,7511
"$$SP,2,08:36:07,4724.3203,01912.2939,7686*25","HA6NN,ha5mrc,HA5CQA,OM5KV,OM1ATS,OM3BC,OM3WOR,OM5KV-1",2,08:36:07,47.4053383,19.2048983,7686
"$$SP,2,08:36:39,4724.2332,01912.4698,7850*2D","ha5mrc,HA6NN,HA5CQA,OM5KV-1,OM1ATS,OM3BC,OM3WOR",2,08:36:39,47.4038867,19.20783,7850
"$$SP,2,08:37:11,4724.1552,01912.6241,8004*21","HA6NN,ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM3BC,OM3WOR",2,08:37:11,47.4025867,19.2104017,8004
"$$SP,2,08:37:43,4724.0605,01912.7737,8203*26","HA6NN,ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM3BC,OM3WOR",2,08:37:43,47.4010083,19.212895,8203
"$$SP,2,08:38:15,4723.9601,01912.9683,8367*23","HA6NN,ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM3BC,OM3WOR",2,08:38:15,47.399335,19.2161383,8367
"$$SP,2,08:38:47,4723.8400,01913.1419,8518*20","HA6NN,ha5mrc,HA5CQA,OM5KV-1,OM1ATS,OM3BC,OM3WOR",2,08:38:47,47.3973333,19.2190317,8518
