_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites,temperature_external,pressure_altitude,battery
"$$STELLA2,7,07:00:36,44.41866,6.73723,1279,3,6,13,1221,2.9*3102",myier,7,07:00:36,44.41866,6.73723,1279,3,6,13,1221,2.9
"$$STELLA2,8,07:00:56,44.41869,6.73722,1290,3,6,12,1221,2.9*F6D3",myier,8,07:00:56,44.41869,6.73722,1290,3,6,12,1221,2.9
"$$STELLA2,12,07:02:18,44.41864,6.73714,1292,3,6,12,1221,2.9*47D6",myier,12,07:02:18,44.41864,6.73714,1292,3,6,12,1221,2.9
"$$STELLA2,13,07:02:40,44.41868,6.73717,1293,3,6,12,1221,2.9*261F",myier,13,07:02:40,44.41868,6.73717,1293,3,6,12,1221,2.9
"$$STELLA2,17,07:04:04,44.41882,6.73707,1272,3,7,11,1221,2.9*145A",myier,17,07:04:04,44.41882,6.73707,1272,3,7,11,1221,2.9
"$$STELLA2,19,07:04:46,44.41871,6.73720,1271,3,6,11,1221,2.9*B53D",myier,19,07:04:46,44.41871,6.7372,1271,3,6,11,1221,2.9
"$$STELLA2,20,07:05:06,44.41870,6.73725,1276,3,6,11,1221,2.9*52B6",myier,20,07:05:06,44.4187,6.73725,1276,3,6,11,1221,2.9
"$$STELLA2,22,07:05:48,44.41865,6.73727,1274,3,6,11,1222,2.9*58C7",myier,22,07:05:48,44.41865,6.73727,1274,3,6,11,1222,2.9
"$$STELLA2,24,07:06:30,44.41862,6.73715,1283,3,7,12,1221,2.8*E363",myier,24,07:06:30,44.41862,6.73715,1283,3,7,12,1221,2.8
"$$STELLA2,32,07:09:18,44.41862,6.73709,1290,3,5,12,1222,2.8*F7D4",myier,32,07:09:18,44.41862,6.73709,1290,3,5,12,1222,2.8
"$$STELLA2,34,07:10:00,44.41861,6.73718,1284,3,5,13,1222,2.9*472D",myier,34,07:10:00,44.41861,6.73718,1284,3,5,13,1222,2.9
"$$STELLA2,35,07:10:20,44.41872,6.73716,1289,3,5,13,1221,2.8*FD76",myier,35,07:10:20,44.41872,6.73716,1289,3,5,13,1221,2.8
"$$STELLA2,36,07:10:42,44.41866,6.73714,1286,3,5,13,1221,2.9*4CC0",myier,36,07:10:42,44.41866,6.73714,1286,3,5,13,1221,2.9
"$$STELLA2,38,07:11:24,44.41867,6.73719,1280,3,5,14,1221,2.8*902C",myier,38,07:11:24,44.41867,6.73719,1280,3,5,14,1221,2.8
"$$STELLA2,39,07:11:44,44.41860,6.73717,1275,3,5,14,1222,2.8*9C5A",myier,39,07:11:44,44.4186,6.73717,1275,3,5,14,1222,2.8
"$$STELLA2,40,07:12:06,44.41860,6.73712,1283,3,5,14,1221,2.8*8845",myier,40,07:12:06,44.4186,6.73712,1283,3,5,14,1221,2.8
"$$STELLA2,47,07:14:32,44.41865,6.73719,1273,1,5,13,1222,2.8*488E",myier,47,07:14:32,44.41865,6.73719,1273,1,5,13,1222,2.8
"$$STELLA2,49,07:15:14,44.41866,6.73720,1276,3,4,13,1222,2.8*31B4",myier,49,07:15:14,44.41866,6.7372,1276,3,4,13,1222,2.8
"$$STELLA2,51,07:15:58,44.41866,6.73721,1274,1,5,14,1222,2.9*D668",myier,51,07:15:58,44.41866,6.73721,1274,1,5,14,1222,2.9
"$$STELLA2,52,07:16:18,44.41868,6.73725,1272,1,5,14,1222,2.8*835B",myier,52,07:16:18,44.41868,6.73725,1272,1,5,14,1222,2.8
"$$STELLA2,53,07:16:40,44.41865,6.73724,1273,1,5,13,1222,2.8*2CC7",myier,53,07:16:40,44.41865,6.73724,1273,1,5,13,1222,2.8
"$$STELLA2,55,07:17:22,44.41866,6.73724,1274,1,5,13,1221,2.9*29A2",myier,55,07:17:22,44.41866,6.73724,1274,1,5,13,1221,2.9
