_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,heading,satellites,temperature_internal,battery
"$$SVC_PI_SKY,2,07:02:06,52.32974,0.33723,00000,0,0,6,25.8,2.4*CC16","null,G0MEK",2,07:02:06,52.32974,0.33723,0,0,0,6,25.8,2.4
"$$SVC_PI_SKY,3,07:02:46,52.32976,0.33724,00009,0,0,6,25.8,2.5*0693",G0MEK,3,07:02:46,52.32976,0.33724,9,0,0,6,25.8,2.5
"$$SVC_PI_SKY,4,07:03:45,52.32977,0.33729,00026,0,0,7,25.8,2.5*B5E5","null,G0MEK",4,07:03:45,52.32977,0.33729,26,0,0,7,25.8,2.5
"$$SVC_PI_SKY,5,07:04:25,52.32979,0.33728,00021,0,0,7,25.8,2.0*43BD",G0MEK,5,07:04:25,52.32979,0.33728,21,0,0,7,25.8,2.0
"$$SVC_PI_SKY,6,07:05:05,52.32979,0.33727,00024,0,0,7,25.9,2.4*EAAC",G0MEK,6,07:05:05,52.32979,0.33727,24,0,0,7,25.9,2.4
"$$SVC_PI_SKY,7,07:05:45,52.32982,0.33728,00031,0,0,7,25.8,2.3*DF3F","null,G0MEK",7,07:05:45,52.32982,0.33728,31,0,0,7,25.8,2.3
"$$SVC_PI_SKY,8,07:06:25,52.32979,0.33729,00028,0,0,7,25.8,1.6*653C","null,G0MEK",8,07:06:25,52.32979,0.33729,28,0,0,7,25.8,1.6
"$$SVC_PI_SKY,9,07:07:05,52.32979,0.33730,00025,0,0,7,25.9,2.3*48C0",G0MEK,9,07:07:05,52.32979,0.3373,25,0,0,7,25.9,2.3
"$$SVC_PI_SKY,10,07:07:52,52.32977,0.33730,00023,0,0,7,25.9,2.1*CEFD",G0MEK,10,07:07:52,52.32977,0.3373,23,0,0,7,25.9,2.1
"$$SVC_PI_SKY,11,07:08:32,52.32977,0.33730,00011,0,0,7,25.9,2.2*048F",G0MEK,11,07:08:32,52.32977,0.3373,11,0,0,7,25.9,2.2
"$$SVC_PI_SKY,12,07:09:12,52.32976,0.33732,00015,0,0,7,25.9,2.2*724A",G0MEK,12,07:09:12,52.32976,0.33732,15,0,0,7,25.9,2.2
