_sentence,_receivers,time,latitude,longitude,altitude,satellites,battery
"$$UBSEDS2,00:00:10,0.000000,0.000000,0,0,1.60*500F",CALL,00:00:10,0.0,0.0,0,0,1.6
"$$UBSEDS2,15:11:25,0.000000,0.000000,0,0,1.56*AEFC",CALL,15:11:25,0.0,0.0,0,0,1.56
"$$UBSEDS2,15:11:25,0.000000,0.000000,0,0,1.52*EE78",CALL,15:11:25,0.0,0.0,0,0,1.52
"$$UBSEDS2,15:11:37,0.000000,0.000000,0,0,1.52*57B6",CALL,15:11:37,0.0,0.0,0,0,1.52
"$$UBSEDS2,15:12:00,0.000000,0.000000,0,0,1.51*1B68",CALL,15:12:00,0.0,0.0,0,0,1.51
"$$UBSEDS2,15:12:00,0.000000,0.000000,0,0,1.47*489F",CALL,15:12:00,0.0,0.0,0,0,1.47
"$$UBSEDS2,15:12:11,0.000000,0.000000,0,0,1.49*7D23",CALL,15:12:11,0.0,0.0,0,0,1.49
"$$UBSEDS2,15:12:35,0.000000,0.000000,0,0,1.50*BC86",CALL,15:12:35,0.0,0.0,0,0,1.5
"$$UBSEDS2,15:13:10,0.000000,0.000000,0,0,1.49*D79E",CALL,15:13:10,0.0,0.0,0,0,1.49
"$$UBSEDS2,15:13:22,0.000000,0.000000,0,0,1.47*7E73",CALL,15:13:22,0.0,0.0,0,0,1.47
"$$UBSEDS2,15:13:34,51.967120,-0.794825,154,4,1.48*B79D",CALL,15:13:34,51.96712,-0.794825,154,4,1.48
"$$UBSEDS2,15:13:45,51.967120,-0.794825,154,4,1.48*7FAC",CALL,15:13:45,51.96712,-0.794825,154,4,1.48
"$$UBSEDS2,15:14:10,51.967063,-0.794837,162,4,1.40*86FF",CALL,15:14:10,51.967063,-0.794837,162,4,1.4
"$$UBSEDS2,15:14:10,51.967063,-0.794837,162,4,1.48*07F7",CALL,15:14:10,51.967063,-0.794837,162,4,1.48
"$$UBSEDS2,15:14:23,51.967048,-0.794862,165,4,1.48*C1D2",CALL,15:14:23,51.967048,-0.794862,165,4,1.48
"$$UBSEDS2,15:14:36,51.967091,-0.794794,152,4,1.46*F0A4",CALL,15:14:36,51.967091,-0.794794,152,4,1.46
"$$UBSEDS2,15:14:48,51.967092,-0.794823,154,4,1.46*2D6E",CALL,15:14:48,51.967092,-0.794823,154,4,1.46
"$$UBSEDS2,15:15:01,51.967085,-0.794818,147,5,1.40*4DDD",CALL,15:15:01,51.967085,-0.794818,147,5,1.4
"$$UBSEDS2,15:15:13,51.967072,-0.794838,156,6,1.49*2970",CALL,15:15:13,51.967072,-0.794838,156,6,1.49
"$$UBSEDS2,15:15:38,51.967075,-0.794822,155,6,1.40*3305",CALL,15:15:38,51.967075,-0.794822,155,6,1.4
"$$UBSEDS2,15:16:03,51.967094,-0.794825,158,6,1.49*E959",CALL,15:16:03,51.967094,-0.794825,158,6,1.49
"$$UBSEDS2,15:16:16,51.967101,-0.794820,158,7,1.44*52FC",CALL,15:16:16,51.967101,-0.79482,158,7,1.44
"$$UBSEDS2,15:16:29,51.967112,-0.794829,159,8,1.49*38FB",CALL,15:16:29,51.967112,-0.794829,159,8,1.49
"$$UBSEDS2,15:17:06,51.967099,-0.794831,158,8,1.48*EE1C",CALL,15:17:06,51.967099,-0.794831,158,8,1.48
"$$UBSEDS2,15:17:31,51.967093,-0.794777,161,6,1.41*8380",CALL,15:17:31,51.967093,-0.794777,161,6,1.41
"$$UBSEDS2,15:18:04,51.967099,-0.794753,159,8,1.49*35EF",CALL,15:18:04,51.967099,-0.794753,159,8,1.49
"$$UBSEDS2,15:18:04,51.967099,-0.794753,159,8,1.47*D421",CALL,15:18:04,51.967099,-0.794753,159,8,1.47
"$$UBSEDS2,15:18:17,51.967116,-0.794796,156,8,1.44*3B72",CALL,15:18:17,51.967116,-0.794796,156,8,1.44
"$$UBSEDS2,15:18:30,51.967116,-0.794796,156,8,1.44*AE18",CALL,15:18:30,51.967116,-0.794796,156,8,1.44
"$$UBSEDS2,15:18:42,51.967128,-0.794790,159,8,1.41*82F5",CALL,15:18:42,51.967128,-0.79479,159,8,1.41
"$$UBSEDS2,15:18:55,51.967107,-0.794788,160,8,1.44*6E65",CALL,15:18:55,51.967107,-0.794788,160,8,1.44
"$$UBSEDS2,15:19:07,51.967107,-0.794786,159,8,1.49*9444",CALL,15:19:07,51.967107,-0.794786,159,8,1.49
"$$UBSEDS2,15:19:32,51.967095,-0.794802,157,8,1.49*AC0F",CALL,15:19:32,51.967095,-0.794802,157,8,1.49
"$$UBSEDS2,15:19:57,51.967092,-0.794814,163,8,1.47*0048",CALL,15:19:57,51.967092,-0.794814,163,8,1.47
"$$UBSEDS2,15:19:57,51.967092,-0.794814,163,8,1.44*302B",CALL,15:19:57,51.967092,-0.794814,163,8,1.44
"$$UBSEDS2,15:20:10,51.967098,-0.794794,162,8,1.46*DE62",CALL,15:20:10,51.967098,-0.794794,162,8,1.46
"$$UBSEDS2,15:20:23,51.967109,-0.794797,159,8,1.41*1A95",CALL,15:20:23,51.967109,-0.794797,159,8,1.41
"$$UBSEDS2,15:20:48,51.967099,-0.794806,159,8,1.40*8BB5",CALL,15:20:48,51.967099,-0.794806,159,8,1.4
"$$UBSEDS2,15:21:25,51.967088,-0.794790,160,8,1.49*05FB",CALL,15:21:25,51.967088,-0.79479,160,8,1.49
"$$UBSEDS2,15:21:25,51.967088,-0.794790,160,8,1.48*15DA",CALL,15:21:25,51.967088,-0.79479,160,8,1.48
"$$UBSEDS2,15:21:38,51.967106,-0.794793,158,9,1.45*F16D",CALL,15:21:38,51.967106,-0.794793,158,9,1.45
"$$UBSEDS2,15:21:51,51.967106,-0.794793,158,9,1.44*4ED3",CALL,15:21:51,51.967106,-0.794793,158,9,1.44
"$$UBSEDS2,15:22:03,51.967109,-0.794800,159,9,1.46*373E",CALL,15:22:03,51.967109,-0.7948,159,9,1.46
"$$UBSEDS2,15:22:16,51.967118,-0.794800,160,9,1.47*FA22",CALL,15:22:16,51.967118,-0.7948,160,9,1.47
"$$UBSEDS2,15:22:41,51.967113,-0.794801,155,9,1.42*20DE",CALL,15:22:41,51.967113,-0.794801,155,9,1.42
"$$UBSEDS2,15:22:53,51.967113,-0.794801,155,9,1.48*BEC4",CALL,15:22:53,51.967113,-0.794801,155,9,1.48
"$$UBSEDS2,15:23:18,51.967080,-0.794726,154,9,1.48*6D13",CALL,15:23:18,51.96708,-0.794726,154,9,1.48
"$$UBSEDS2,15:23:18,51.967080,-0.794726,154,9,1.44*AC9F",CALL,15:23:18,51.96708,-0.794726,154,9,1.44
"$$UBSEDS2,15:23:31,51.966985,-0.794584,158,9,1.46*4464",CALL,15:23:31,51.966985,-0.794584,158,9,1.46
"$$UBSEDS2,15:24:59,51.966888,-0.793218,161,9,1.45*20D4",CALL,15:24:59,51.966888,-0.793218,161,9,1.45
"$$UBSEDS2,15:25:12,51.966888,-0.793218,161,9,1.42*218C",CALL,15:25:12,51.966888,-0.793218,161,9,1.42
"$$UBSEDS2,15:25:24,51.966862,-0.792955,164,9,1.42*2361",CALL,15:25:24,51.966862,-0.792955,164,9,1.42
"$$UBSEDS2,15:25:37,51.966871,-0.792745,163,9,1.44*94A5",CALL,15:25:37,51.966871,-0.792745,163,9,1.44
"$$UBSEDS2,15:25:49,51.966873,-0.792532,160,9,1.48*CEDD",CALL,15:25:49,51.966873,-0.792532,160,9,1.48
"$$UBSEDS2,15:26:14,51.966903,-0.792268,163,9,1.48*C28D",CALL,15:26:14,51.966903,-0.792268,163,9,1.48
"$$UBSEDS2,15:26:39,51.966921,-0.792081,175,9,1.40*9E71",CALL,15:26:39,51.966921,-0.792081,175,9,1.4
"$$UBSEDS2,15:27:05,51.966060,-0.791050,227,9,1.44*3440",CALL,15:27:05,51.96606,-0.79105,227,9,1.44
"$$UBSEDS2,15:27:17,51.965610,-0.790323,257,9,1.41*5110",CALL,15:27:17,51.96561,-0.790323,257,9,1.41
"$$UBSEDS2,15:27:42,51.964648,-0.788734,294,9,1.39*4786",CALL,15:27:42,51.964648,-0.788734,294,9,1.39
"$$UBSEDS2,15:27:42,51.964648,-0.788734,294,9,1.48*CE30",CALL,15:27:42,51.964648,-0.788734,294,9,1.48
"$$UBSEDS2,15:28:07,51.963723,-0.787056,332,8,1.46*82CF",CALL,15:28:07,51.963723,-0.787056,332,8,1.46
"$$UBSEDS2,15:28:07,51.963723,-0.787056,332,8,1.48*6301",CALL,15:28:07,51.963723,-0.787056,332,8,1.48
"$$UBSEDS2,15:28:20,51.963246,-0.786188,348,9,1.40*F306",CALL,15:28:20,51.963246,-0.786188,348,9,1.4
"$$UBSEDS2,15:28:33,51.962762,-0.785296,367,9,1.44*32AE",CALL,15:28:33,51.962762,-0.785296,367,9,1.44
"$$UBSEDS2,15:28:45,51.962351,-0.784580,386,9,1.47*3575",CALL,15:28:45,51.962351,-0.78458,386,9,1.47
"$$UBSEDS2,15:28:58,51.961341,-0.782947,409,9,1.45*DFEF",CALL,15:28:58,51.961341,-0.782947,409,9,1.45
"$$UBSEDS2,15:29:35,51.960437,-0.781264,446,9,1.45*BAB9",CALL,15:29:35,51.960437,-0.781264,446,9,1.45
"$$UBSEDS2,15:29:48,51.959950,-0.780390,458,9,1.41*71BE",CALL,15:29:48,51.95995,-0.78039,458,9,1.41
"$$UBSEDS2,15:30:01,51.959486,-0.779512,474,9,1.41*7559",G8FJG,15:30:01,51.959486,-0.779512,474,9,1.41
"$$UBSEDS2,15:30:13,51.959091,-0.778664,489,9,1.45*8EFA",G8FJG,15:30:13,51.959091,-0.778664,489,9,1.45
"$$UBSEDS2,15:30:26,51.958200,-0.776853,521,9,1.48*86FC",G8FJG,15:30:26,51.9582,-0.776853,521,9,1.48
"$$UBSEDS2,15:30:38,51.958200,-0.776853,521,9,1.48*26E7","G8FJG,CALL",15:30:38,51.9582,-0.776853,521,9,1.48
"$$UBSEDS2,15:31:03,51.957281,-0.775016,549,9,1.48*3113",G8FJG,15:31:03,51.957281,-0.775016,549,9,1.48
"$$UBSEDS2,15:31:16,51.956791,-0.774085,559,9,1.47*A496",G8FJG,15:31:16,51.956791,-0.774085,559,9,1.47
"$$UBSEDS2,15:31:29,51.956316,-0.773188,571,9,1.45*6D4C",G8FJG,15:31:29,51.956316,-0.773188,571,9,1.45
"$$UBSEDS2,15:31:41,51.955908,-0.772321,581,9,1.46*BD67","G8FJG,CALL",15:31:41,51.955908,-0.772321,581,9,1.46
"$$UBSEDS2,15:31:54,51.955113,-0.770498,605,10,1.42*B859",G8FJG,15:31:54,51.955113,-0.770498,605,10,1.42
"$$UBSEDS2,15:32:06,51.955113,-0.770498,605,10,1.47*5455",G8FJG,15:32:06,51.955113,-0.770498,605,10,1.47
"$$UBSEDS2,15:32:19,51.954681,-0.769516,622,10,1.46*51E6",G8FJG,15:32:19,51.954681,-0.769516,622,10,1.46
