_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites,temperature_internal,temperature_external,battery
"$$VR2SC,2,11:22:42,0.00000,0.00000,0,1,0,15.4,14.5,4.9*4D65",EARS_chase,2,11:22:42,0.0,0.0,0,1,0,15.4,14.5,4.9
"$$VR2SC,3,11:22:55,0.00000,0.00000,0,1,0,15.4,14.5,4.9*ECB4",EARS_chase,3,11:22:55,0.0,0.0,0,1,0,15.4,14.5,4.9
"$$VR2SC,19,12:11:10,52.24702,-0.15242,105,3,6,19.3,15.4,4.9*CA6D",M6EVT,19,12:11:10,52.24702,-0.15242,105,3,6,19.3,15.4,4.9
"$$VR2SC,20,12:11:24,52.24702,-0.15241,104,3,6,19.3,14.5,4.9*7C9A",M6EVT,20,12:11:24,52.24702,-0.15241,104,3,6,19.3,14.5,4.9
"$$VR2SC,22,12:11:52,52.24704,-0.15237,101,3,6,19.3,15.4,4.9*02B9",M6EVT,22,12:11:52,52.24704,-0.15237,101,3,6,19.3,15.4,4.9
"$$VR2SC,24,12:12:20,52.24703,-0.15239,102,3,6,19.3,15.4,4.9*0CF0",M6EVT,24,12:12:20,52.24703,-0.15239,102,3,6,19.3,15.4,4.9
"$$VR2SC,8,12:16:12,39.49162,48.74526,8605,1,0,17.4,15.4,4.9*EBBF",M6EVT,8,12:16:12,39.49162,48.74526,8605,1,0,17.4,15.4,4.9
"$$VR2SC,11,12:17:07,52.24696,-0.15239,109,3,5,17.4,15.4,4.9*4A67",M6EVT,11,12:17:07,52.24696,-0.15239,109,3,5,17.4,15.4,4.9
"$$VR2SC,13,12:17:35,52.24708,-0.15234,101,3,5,17.4,14.5,4.9*3D57",M6EVT,13,12:17:35,52.24708,-0.15234,101,3,5,17.4,14.5,4.9
"$$VR2SC,14,12:17:49,52.24706,-0.15235,99,3,5,18.4,14.5,4.9*70F4",M6EVT,14,12:17:49,52.24706,-0.15235,99,3,5,18.4,14.5,4.9
"$$VR2SC,15,12:17:49,52.24706,-0.15235,99,3,5,18.4,15.4,4.9*DFA0",M6EVT,15,12:17:49,52.24706,-0.15235,99,3,5,18.4,15.4,4.9
"$$VR2SC,16,12:18:16,52.24694,-0.15241,123,3,6,19.3,15.4,4.9*0421",M6EVT,16,12:18:16,52.24694,-0.15241,123,3,6,19.3,15.4,4.9
"$$VR2SC,18,12:18:44,52.24694,-0.15238,125,3,7,19.3,14.5,4.9*D64D",M6EVT,18,12:18:44,52.24694,-0.15238,125,3,7,19.3,14.5,4.9
"$$VR2SC,19,12:18:58,52.24696,-0.15236,124,3,7,19.3,14.5,4.9*6C3C",M6EVT,19,12:18:58,52.24696,-0.15236,124,3,7,19.3,14.5,4.9
"$$VR2SC,22,12:19:40,52.24695,-0.15244,116,3,8,20.3,15.4,4.9*DF9C",M6EVT,22,12:19:40,52.24695,-0.15244,116,3,8,20.3,15.4,4.9
"$$VR2SC,25,12:20:22,52.24695,-0.15247,112,3,9,20.3,15.4,4.9*0AE3",M6EVT,25,12:20:22,52.24695,-0.15247,112,3,9,20.3,15.4,4.9
"$$VR2SC,28,12:21:04,52.24697,-0.15242,110,3,9,20.3,15.4,4.9*4520",M6EVT,28,12:21:04,52.24697,-0.15242,110,3,9,20.3,15.4,4.9
"$$VR2SC,29,12:21:18,52.24696,-0.15245,108,3,9,20.3,15.4,4.9*1239",M6EVT,29,12:21:18,52.24696,-0.15245,108,3,9,20.3,15.4,4.9
"$$VR2SC,31,12:21:46,52.24694,-0.15248,103,3,9,21.3,15.4,4.9*B77A",M6EVT,31,12:21:46,52.24694,-0.15248,103,3,9,21.3,15.4,4.9
"$$VR2SC,32,12:22:00,52.24697,-0.15246,109,3,10,21.3,15.4,4.9*1A37",M6EVT,32,12:22:00,52.24697,-0.15246,109,3,10,21.3,15.4,4.9
"$$VR2SC,33,12:22:14,52.24700,-0.15242,112,3,10,21.3,15.4,4.9*3EBC",M6EVT,33,12:22:14,52.247,-0.15242,112,3,10,21.3,15.4,4.9
"$$VR2SC,34,12:22:28,52.24701,-0.15242,113,3,10,21.3,15.4,4.9*8944",M6EVT,34,12:22:28,52.24701,-0.15242,113,3,10,21.3,15.4,4.9
"$$VR2SC,36,12:22:56,52.24702,-0.15243,116,3,10,21.3,14.5,4.9*A4CA",M6EVT,36,12:22:56,52.24702,-0.15243,116,3,10,21.3,14.5,4.9
"$$VR2SC,37,12:23:10,52.24703,-0.15243,117,3,10,21.3,14.5,4.9*8054",M6EVT,37,12:23:10,52.24703,-0.15243,117,3,10,21.3,14.5,4.9
"$$VR2SC,38,12:23:24,52.24705,-0.15241,118,3,10,21.3,14.5,4.9*9D4A",M6EVT,38,12:23:24,52.24705,-0.15241,118,3,10,21.3,14.5,4.9
"$$VR2SC,39,12:23:38,52.24703,-0.15242,119,3,10,21.3,14.5,4.9*BEDF",M6EVT,39,12:23:38,52.24703,-0.15242,119,3,10,21.3,14.5,4.9
"$$VR2SC,40,12:23:52,52.24703,-0.15241,120,3,11,21.3,14.5,4.9*3C9B",M6EVT,40,12:23:52,52.24703,-0.15241,120,3,11,21.3,14.5,4.9
"$$VR2SC,41,12:24:06,52.24703,-0.15240,119,3,11,22.3,14.5,4.9*5B42",M6EVT,41,12:24:06,52.24703,-0.1524,119,3,11,22.3,14.5,4.9
"$$VR2SC,42,12:24:20,52.24703,-0.15239,121,3,11,21.3,14.5,4.9*7561",M6EVT,42,12:24:20,52.24703,-0.15239,121,3,11,21.3,14.5,4.9
"$$VR2SC,43,12:24:34,52.24703,-0.15238,120,3,11,22.3,14.5,4.9*7798",M6EVT,43,12:24:34,52.24703,-0.15238,120,3,11,22.3,14.5,4.9
"$$VR2SC,46,12:25:16,52.24701,-0.15236,117,1,11,21.3,15.4,4.9*BED2",M6EVT,46,12:25:16,52.24701,-0.15236,117,1,11,21.3,15.4,4.9
"$$VR2SC,48,12:25:44,52.24700,-0.15238,116,1,11,21.3,14.5,4.9*C96B",M6EVT,48,12:25:44,52.247,-0.15238,116,1,11,21.3,14.5,4.9
"$$VR2SC,50,12:26:12,52.24698,-0.15240,109,1,11,21.3,14.5,4.9*4F04",M6EVT,50,12:26:12,52.24698,-0.1524,109,1,11,21.3,14.5,4.9
"$$VR2SC,51,12:26:26,52.24697,-0.15241,111,1,11,21.3,14.5,4.9*7F99",M6EVT,51,12:26:26,52.24697,-0.15241,111,1,11,21.3,14.5,4.9
"$$VR2SC,52,12:26:40,52.24698,-0.15241,111,1,9,20.3,14.5,4.9*263B",M6EVT,52,12:26:40,52.24698,-0.15241,111,1,9,20.3,14.5,4.9
"$$VR2SC,53,12:26:54,52.24698,-0.15240,110,1,10,21.3,14.5,4.9*7C30",M6EVT,53,12:26:54,52.24698,-0.1524,110,1,10,21.3,14.5,4.9
"$$VR2SC,54,12:27:08,52.24697,-0.15235,113,1,11,21.3,15.4,4.9*B6B1",M6EVT,54,12:27:08,52.24697,-0.15235,113,1,11,21.3,15.4,4.9
"$$VR2SC,57,12:27:50,52.24697,-0.15234,114,1,10,21.3,15.4,4.9*ED1F",M6EVT,57,12:27:50,52.24697,-0.15234,114,1,10,21.3,15.4,4.9
"$$VR2SC,58,12:28:04,52.24698,-0.15230,115,1,11,21.3,15.4,4.9*ED34",M6EVT,58,12:28:04,52.24698,-0.1523,115,1,11,21.3,15.4,4.9
"$$VR2SC,61,12:28:46,52.24704,-0.15227,106,1,11,21.3,15.4,4.9*28A7",M6EVT,61,12:28:46,52.24704,-0.15227,106,1,11,21.3,15.4,4.9
"$$VR2SC,62,12:29:00,52.24707,-0.15228,107,1,10,21.3,14.5,4.9*1EBA",M6EVT,62,12:29:00,52.24707,-0.15228,107,1,10,21.3,14.5,4.9
"$$VR2SC,64,12:29:28,52.24708,-0.15239,103,1,9,21.3,14.5,4.9*4666",M6EVT,64,12:29:28,52.24708,-0.15239,103,1,9,21.3,14.5,4.9
