_sentence,_receivers,sentence_id,time,date,latitude,longitude,altitude,satellites,temperature_internal,battery,solar_panel
"$$WB8ELK-12,0,164047,141004,0.0000,0.0000,0,0,19,1.52,0.00*53D3",WB8ELK-12_APRS,0,16:40:47,141004,0.0,0.0,0,0,19,1.52,0.0
"$$WB8ELK-12,1,164147,141004,34.4087,-86.8128,321,4,19,1.50,0.00*5D32",WB8ELK-12_APRS,1,16:41:47,141004,34.4087,-86.8128,321,4,19,1.5,0.0
"$$WB8ELK-12,3,164347,141004,34.4087,-86.8128,325,5,19,1.50,0.00*6FB4",WB8ELK-12_APRS,3,16:43:47,141004,34.4087,-86.8128,325,5,19,1.5,0.0
"$$WB8ELK-12,2,164247,141004,34.4087,-86.8128,322,5,20,1.50,0.00*94F9",WB8ELK-12_APRS,2,16:42:47,141004,34.4087,-86.8128,322,5,20,1.5,0.0
"$$WB8ELK-12,4,164446,141004,34.4086,-86.8129,277,5,20,1.49,0.00*2610",WB8ELK-12_APRS,4,16:44:46,141004,34.4086,-86.8129,277,5,20,1.49,0.0
"$$WB8ELK-12,6,164647,141004,34.4088,-86.8125,320,5,13,1.50,0.00*705F",WB8ELK-12_APRS,6,16:46:47,141004,34.4088,-86.8125,320,5,13,1.5,0.0
"$$WB8ELK-12,7,164747,141004,34.4088,-86.8125,318,5,10,1.49,0.00*340F",WB8ELK-12_APRS,7,16:47:47,141004,34.4088,-86.8125,318,5,10,1.49,0.0
"$$WB8ELK-12,9,164947,141004,34.4088,-86.8125,325,5,10,1.48,0.00*2633",WB8ELK-12_APRS,9,16:49:47,141004,34.4088,-86.8125,325,5,10,1.48,0.0
"$$WB8ELK-12,10,165047,141004,34.4089,-86.8124,328,5,9,1.48,0.00*D87C",WB8ELK-12_APRS,10,16:50:47,141004,34.4089,-86.8124,328,5,9,1.48,0.0
"$$WB8ELK-12,11,165147,141004,34.4088,-86.8124,322,5,10,1.48,0.00*AB95",WB8ELK-12_APRS,11,16:51:47,141004,34.4088,-86.8124,322,5,10,1.48,0.0
"$$WB8ELK-12,12,165247,141004,34.4090,-86.8080,365,5,10,1.48,0.00*945A",WB8ELK-12_APRS,12,16:52:47,141004,34.409,-86.808,365,5,10,1.48,0.0
"$$WB8ELK-12,13,165347,141004,34.4077,-86.8016,452,5,10,1.49,0.00*BF7C",WB8ELK-12_APRS,13,16:53:47,141004,34.4077,-86.8016,452,5,10,1.49,0.0
"$$WB8ELK-12,14,165447,141004,34.4066,-86.7949,444,5,11,1.48,0.00*2B7C",WB8ELK-12_APRS,14,16:54:47,141004,34.4066,-86.7949,444,5,11,1.48,0.0
"$$WB8ELK-12,16,165647,141004,34.4044,-86.7802,506,5,11,1.48,0.00*1B45",WB8ELK-12_APRS,16,16:56:47,141004,34.4044,-86.7802,506,5,11,1.48,0.0
"$$WB8ELK-12,17,165747,141004,34.4043,-86.7738,498,5,11,1.48,0.00*44AC",WB8ELK-12_APRS,17,16:57:47,141004,34.4043,-86.7738,498,5,11,1.48,0.0
