_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,ascentrate,heading,satellites,dynamic_model,battery,temperature
"$$WG3,218,104733,52.723009,-3.020217,1456,14.1,5.9,42,10,6,3027,3248*3DEE","G8ZBJ,G8ZBJ_2,G1DYQ",218,10:47:33,52.723009,-3.020217,1456,14.1,5.9,42,10,6,3.03,32.5
"$$WG3,219,104749,52.724129,-3.018154,1540,14.1,6.3,58,10,6,3036,3175*5ADE","G8ZBJ,G8ZBJ_2,G1DYQ",219,10:47:49,52.724129,-3.018154,1540,14.1,6.3,58,10,6,3.04,31.8
"$$WG3,223,104923,52.729936,-3.000626,1959,18.8,4.9,58,10,6,3003,2848*C75A","G8ZBJ,G8ZBJ_2,G1DYQ",223,10:49:23,52.729936,-3.000626,1959,18.8,4.9,58,10,6,3.0,28.5
"$$WG3,224,104939,52.730914,-2.997298,2032,12.3,3.9,51,10,6,3027,2797*8A84","G8ZBJ,G8ZBJ_2,G1DYQ",224,10:49:39,52.730914,-2.997298,2032,12.3,3.9,51,10,6,3.03,28.0
"$$WG3,214,104613,52.717766,-3.029385,1054,11.1,4.3,26,9,6,3027,3569*2429",G8ZBJ,214,10:46:13,52.717766,-3.029385,1054,11.1,4.3,26,9,6,3.03,35.7
"$$WG3,215,104628,52.718644,-3.027682,1132,7.4,5.5,38,10,6,3027,3503*BA97",G8ZBJ,215,10:46:28,52.718644,-3.027682,1132,7.4,5.5,38,10,6,3.03,35.0
"$$WG3,220,104804,52.725218,-3.015829,1605,14.9,3.2,44,10,6,3027,3123*FAD9",G8ZBJ,220,10:48:04,52.725218,-3.015829,1605,14.9,3.2,44,10,6,3.03,31.2
"$$WG3,216,104628,52.718644,-3.027682,1132,7.4,5.5,38,10,6,3011,3365*68F7","G8ZBJ,G8ZBJ_2",216,10:46:28,52.718644,-3.027682,1132,7.4,5.5,38,10,6,3.01,33.6
"$$WG3,217,104718,52.722004,-3.022089,1384,9.3,4.8,28,10,6,3027,3301*E979","G8ZBJ,G8ZBJ_2,G1DYQ",217,10:47:18,52.722004,-3.022089,1384,9.3,4.8,28,10,6,3.03,33.0
"$$WG3,213,104523,52.714773,-3.034370,805,12.4,4.2,62,10,6,3027,3656*2777",G8ZBJ_2,213,10:45:23,52.714773,-3.03437,805,12.4,4.2,62,10,6,3.03,36.6
"$$WG3,221,104804,52.725218,-3.015829,1605,14.9,3.2,44,10,6,3011,3010*46F5","G8ZBJ,G8ZBJ_2",221,10:48:04,52.725218,-3.015829,1605,14.9,3.2,44,10,6,3.01,30.1
"$$WG3,222,104804,52.725218,-3.015829,1605,14.9,3.2,44,10,6,3027,2898*19D2","G8ZBJ,G8ZBJ_2",222,10:48:04,52.725218,-3.015829,1605,14.9,3.2,44,10,6,3.03,29.0
"$$WG3,225,104954,52.732286,-2.994453,2103,13.2,5.2,52,10,6,3027,2757*7913","G8ZBJ,G8ZBJ_2",225,10:49:54,52.732286,-2.994453,2103,13.2,5.2,52,10,6,3.03,27.6
"$$WG3,226,104954,52.732286,-2.994453,2103,13.2,5.2,52,10,6,3011,2667*93E3","G8ZBJ,G8ZBJ_2",226,10:49:54,52.732286,-2.994453,2103,13.2,5.2,52,10,6,3.01,26.7
"$$WG3,228,105113,52.739001,-2.982377,2500,15.6,3.8,53,10,6,3011,2559*A4B9","G8ZBJ,G8ZBJ_2",228,10:51:13,52.739001,-2.982377,2500,15.6,3.8,53,10,6,3.01,25.6
"$$WG3,229,105129,52.740351,-2.979975,2581,12.9,5.2,51,10,6,3019,2530*2DEA","G8ZBJ,G8ZBJ_2",229,10:51:29,52.740351,-2.979975,2581,12.9,5.2,51,10,6,3.02,25.3
