_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,speed,satellites,temperature_internal,temperature_external,battery_mv
"$$WILKINS,173,02:30:30,-35.26917,138.55762,1392,22,9,36,0,54*78EA",VK5QI-Mobile,173,02:30:30,-35.26917,138.55762,1392,22,9,36,0,54
"$$WILKINS,177,02:31:34,-35.27213,138.56100,1574,24,9,34,0,47*9EE2",VK5QI-Mobile,177,02:31:34,-35.27213,138.561,1574,24,9,34,0,47
"$$WILKINS,181,02:32:38,-35.27593,138.56532,1805,34,9,32,0,94*28AA",VK5QI-Mobile,181,02:32:38,-35.27593,138.56532,1805,34,9,32,0,94
"$$WILKINS,185,02:33:42,-35.28071,138.57001,1992,32,9,30,0,54*449E",VK5QI-Mobile,185,02:33:42,-35.28071,138.57001,1992,32,9,30,0,54
"$$WILKINS,186,02:33:58,-35.28154,138.57077,2056,20,9,30,0,94*3170",VK5QI-Mobile,186,02:33:58,-35.28154,138.57077,2056,20,9,30,0,94
"$$WILKINS,188,02:34:30,-35.28357,138.57228,2167,39,9,29,0,105*612E",VK5QI-Mobile,188,02:34:30,-35.28357,138.57228,2167,39,9,29,0,105
"$$WILKINS,189,02:34:46,-35.28465,138.57304,2211,24,9,29,0,101*ADD8",VK5QI-Mobile,189,02:34:46,-35.28465,138.57304,2211,24,9,29,0,101
"$$WILKINS,190,02:35:02,-35.28547,138.57356,2266,19,9,28,0,54*8F20",VK5QI-Mobile,190,02:35:02,-35.28547,138.57356,2266,19,9,28,0,54
"$$WILKINS,191,02:35:18,-35.28609,138.57396,2332,7,9,28,0,50*F122",VK5QI-Mobile,191,02:35:18,-35.28609,138.57396,2332,7,9,28,0,50
"$$WILKINS,192,02:35:33,-35.28663,138.57430,2383,14,9,27,0,62*78C9",VK5QI-Mobile,192,02:35:33,-35.28663,138.5743,2383,14,9,27,0,62
"$$WILKINS,194,02:36:05,-35.28771,138.57480,2474,11,9,27,0,54*E7CF",VK5QI-Mobile,194,02:36:05,-35.28771,138.5748,2474,11,9,27,0,54
"$$WILKINS,195,02:36:21,-35.28816,138.57510,2515,8,9,26,0,117*E47F",VK5QI-Mobile,195,02:36:21,-35.28816,138.5751,2515,8,9,26,0,117
"$$WILKINS,196,02:36:37,-35.28870,138.57542,2557,13,9,26,0,94*CD9F",VK5QI-Mobile,196,02:36:37,-35.2887,138.57542,2557,13,9,26,0,94
"$$WILKINS,197,02:36:53,-35.28913,138.57578,2599,11,9,26,0,58*5971",VK5QI-Mobile,197,02:36:53,-35.28913,138.57578,2599,11,9,26,0,58
"$$WILKINS,199,02:37:25,-35.29016,138.57632,2693,24,9,25,0,113*BF62",VK5QI-Mobile,199,02:37:25,-35.29016,138.57632,2693,24,9,25,0,113
"$$WILKINS,200,02:37:41,-35.29076,138.57671,2757,21,9,25,0,105*B6AA",VK5QI-Mobile,200,02:37:41,-35.29076,138.57671,2757,21,9,25,0,105
"$$WILKINS,201,02:37:57,-35.29126,138.57707,2804,17,9,25,0,58*6047",VK5QI-Mobile,201,02:37:57,-35.29126,138.57707,2804,17,9,25,0,58
"$$WILKINS,205,02:39:00,-35.29299,138.57849,2993,13,10,24,0,66*8E93",VK5QI-Mobile,205,02:39:00,-35.29299,138.57849,2993,13,10,24,0,66
"$$WILKINS,206,02:39:16,-35.29333,138.57892,3038,11,10,24,0,74*E1DA",VK5QI-Mobile,206,02:39:16,-35.29333,138.57892,3038,11,10,24,0,74
"$$WILKINS,208,02:39:48,-35.29399,138.57993,3127,9,11,24,0,66*C713",VK5QI-Mobile,208,02:39:48,-35.29399,138.57993,3127,9,11,24,0,66
"$$WILKINS,209,02:40:04,-35.29411,138.58051,3183,12,10,24,0,66*C41D",VK5QI-Mobile,209,02:40:04,-35.29411,138.58051,3183,12,10,24,0,66
"$$WILKINS,210,02:40:20,-35.29423,138.58109,3229,15,11,24,0,74*339D",VK5QI-Mobile,210,02:40:20,-35.29423,138.58109,3229,15,11,24,0,74
"$$WILKINS,212,02:40:52,-35.29476,138.58205,3318,11,11,23,0,137*0B7F",VK5QI-Mobile,212,02:40:52,-35.29476,138.58205,3318,11,11,23,0,137
"$$WILKINS,215,02:41:40,-35.29575,138.58328,3448,8,12,22,0,109*B608",VK5QI-Mobile,215,02:41:40,-35.29575,138.58328,3448,8,12,22,0,109
"$$WILKINS,219,02:42:44,-35.29738,138.58459,3630,6,12,22,0,78*272D",VK5QI-Mobile,219,02:42:44,-35.29738,138.58459,3630,6,12,22,0,78
"$$WILKINS,221,02:43:16,-35.29800,138.58521,3726,14,12,21,0,129*A620",VK5QI-Mobile,221,02:43:16,-35.298,138.58521,3726,14,12,21,0,129
"$$WILKINS,222,02:43:32,-35.29837,138.58542,3770,9,12,21,0,141*14FD",VK5QI-Mobile,222,02:43:32,-35.29837,138.58542,3770,9,12,21,0,141
"$$WILKINS,228,02:45:08,-35.30013,138.58649,4054,11,12,20,0,90*5A74",VK5QI-Mobile,228,02:45:08,-35.30013,138.58649,4054,11,12,20,0,90
"$$WILKINS,229,02:45:24,-35.30038,138.58664,4102,1,12,19,0,113*C23D",VK5QI-Mobile,229,02:45:24,-35.30038,138.58664,4102,1,12,19,0,113
"$$WILKINS,230,02:45:40,-35.30052,138.58672,4148,5,12,19,0,109*A5ED",VK5QI-Mobile,230,02:45:40,-35.30052,138.58672,4148,5,12,19,0,109
"$$WILKINS,233,02:46:28,-35.30119,138.58714,4290,13,11,19,0,168*817A",VK5QI-Mobile,233,02:46:28,-35.30119,138.58714,4290,13,11,19,0,168
"$$WILKINS,257,02:52:52,-35.29988,138.58806,5480,22,9,12,0,329*4F95",VK5QI-Mobile,257,02:52:52,-35.29988,138.58806,5480,22,9,12,0,329
"$$WILKINS,267,02:55:32,-35.29461,138.59409,5928,23,9,10,0,462*EC3B",VK5QI-Mobile,267,02:55:32,-35.29461,138.59409,5928,23,9,10,0,462
"$$WILKINS,268,02:55:48,-35.29385,138.59488,5980,15,9,10,0,497*1036",VK5QI-Mobile,268,02:55:48,-35.29385,138.59488,5980,15,9,10,0,497
"$$WILKINS,271,02:56:36,-35.29101,138.59676,6144,21,9,9,0,513*1C8A",VK5QI-Mobile,271,02:56:36,-35.29101,138.59676,6144,21,9,9,0,513
"$$WILKINS,274,02:57:24,-35.28833,138.59802,6279,23,11,8,0,607*9490",VK5QI-Mobile,274,02:57:24,-35.28833,138.59802,6279,23,11,8,0,607
"$$WILKINS,279,02:58:44,-35.28513,138.59930,6505,23,10,6,0,638*FD0E",VK5QI-Mobile,279,02:58:44,-35.28513,138.5993,6505,23,10,6,0,638
"$$WILKINS,286,03:00:36,-35.28049,138.60204,6830,17,11,4,0,744*40A7",VK5QI-Mobile,286,03:00:36,-35.28049,138.60204,6830,17,11,4,0,744
"$$WILKINS,287,03:00:52,-35.27986,138.60252,6880,20,11,4,0,744*B67A",VK5QI-Mobile,287,03:00:52,-35.27986,138.60252,6880,20,11,4,0,744
"$$WILKINS,289,03:01:24,-35.27857,138.60342,6974,17,11,3,0,783*D309",VK5QI-Mobile,289,03:01:24,-35.27857,138.60342,6974,17,11,3,0,783
"$$WILKINS,290,03:01:40,-35.27790,138.60371,7022,19,11,3,0,822*E745",VK5QI-Mobile,290,03:01:40,-35.2779,138.60371,7022,19,11,3,0,822
"$$WILKINS,291,03:01:56,-35.27719,138.60388,7071,17,11,3,0,791*8061",VK5FJ,291,03:01:56,-35.27719,138.60388,7071,17,11,3,0,791
"$$WILKINS,292,03:02:12,-35.27643,138.60384,7115,16,11,3,0,811*B27F",VK5FJ,292,03:02:12,-35.27643,138.60384,7115,16,11,3,0,811
"$$WILKINS,296,03:03:16,-35.27402,138.60416,7303,17,11,1,0,861*E1E4",VK5QI-Mobile,296,03:03:16,-35.27402,138.60416,7303,17,11,1,0,861
"$$WILKINS,298,03:03:48,-35.27285,138.60435,7392,15,11,1,0,889*43A9",VK5FJ,298,03:03:48,-35.27285,138.60435,7392,15,11,1,0,889
"$$WILKINS,299,03:04:04,-35.27243,138.60422,7438,18,11,1,0,936*B3D9",VK5QI-Mobile,299,03:04:04,-35.27243,138.60422,7438,18,11,1,0,936
"$$WILKINS,301,03:04:36,-35.27132,138.60378,7532,24,11,0,0,975*3332",VK5QI-Mobile,301,03:04:36,-35.27132,138.60378,7532,24,11,0,0,975
"$$WILKINS,303,03:05:08,-35.27013,138.60368,7621,17,11,-1,0,967*D82B","VK5FJ,VK5QI-Mobile",303,03:05:08,-35.27013,138.60368,7621,17,11,-1,0,967
"$$WILKINS,305,03:05:40,-35.26897,138.60341,7712,16,11,-1,0,1050*93F8",VK5FJ,305,03:05:40,-35.26897,138.60341,7712,16,11,-1,0,1050
"$$WILKINS,306,03:05:56,-35.26831,138.60326,7756,17,11,-2,0,1003*F198","VK5FJ,VK5QI-Mobile",306,03:05:56,-35.26831,138.60326,7756,17,11,-2,0,1003
"$$WILKINS,307,03:06:12,-35.26773,138.60292,7799,14,11,-2,0,1073*6F25",VK5QI-Mobile,307,03:06:12,-35.26773,138.60292,7799,14,11,-2,0,1073
"$$WILKINS,309,03:06:44,-35.26668,138.60239,7886,18,11,-2,0,1050*4619",VK5FJ,309,03:06:44,-35.26668,138.60239,7886,18,11,-2,0,1050
"$$WILKINS,310,03:07:00,-35.26614,138.60210,7930,12,11,-2,0,1108*D18E",VK5FJ,310,03:07:00,-35.26614,138.6021,7930,12,11,-2,0,1108
"$$WILKINS,311,03:07:16,-35.26561,138.60175,7973,17,11,-3,0,1085*F2BC",VK5FJ,311,03:07:16,-35.26561,138.60175,7973,17,11,-3,0,1085
"$$WILKINS,313,03:07:48,-35.26474,138.60101,8058,9,11,-3,0,1144*F2A8",VK5FJ,313,03:07:48,-35.26474,138.60101,8058,9,11,-3,0,1144
"$$WILKINS,316,03:08:36,-35.26368,138.60011,8196,16,11,-4,0,1175*AE7D",VK5QI-Mobile,316,03:08:36,-35.26368,138.60011,8196,16,11,-4,0,1175
"$$WILKINS,317,03:08:52,-35.26324,138.59964,8242,21,11,-4,0,1179*66FC",VK5QI-Mobile,317,03:08:52,-35.26324,138.59964,8242,21,11,-4,0,1179
"$$WILKINS,318,03:09:08,-35.26277,138.59914,8285,21,11,-5,0,1191*3784","VK5FJ,VK5QI-Mobile",318,03:09:08,-35.26277,138.59914,8285,21,11,-5,0,1191
"$$WILKINS,319,03:09:24,-35.26228,138.59868,8328,19,11,-5,0,1202*00A0",VK5QI-Mobile,319,03:09:24,-35.26228,138.59868,8328,19,11,-5,0,1202
"$$WILKINS,321,03:09:56,-35.26121,138.59763,8420,18,11,-5,0,1202*1245",VK5FJ,321,03:09:56,-35.26121,138.59763,8420,18,11,-5,0,1202
"$$WILKINS,322,03:10:12,-35.26067,138.59698,8466,22,11,-6,0,1187*76FD","VK5FJ,VK5QI-Mobile",322,03:10:12,-35.26067,138.59698,8466,22,11,-6,0,1187
"$$WILKINS,323,03:10:28,-35.26018,138.59627,8510,23,11,-6,0,1202*EC28",VK5QI-Mobile,323,03:10:28,-35.26018,138.59627,8510,23,11,-6,0,1202
"$$WILKINS,324,03:10:44,-35.25960,138.59563,8556,13,11,-6,0,1214*849F",VK5QI-Mobile,324,03:10:44,-35.2596,138.59563,8556,13,11,-6,0,1214
"$$WILKINS,330,03:12:20,-35.25585,138.59151,8838,20,11,-8,0,1289*3D28",VK5QI-Mobile,330,03:12:20,-35.25585,138.59151,8838,20,11,-8,0,1289
"$$WILKINS,331,03:12:36,-35.25524,138.59088,8887,20,11,-8,0,1347*B3B7",VK5QI-Mobile,331,03:12:36,-35.25524,138.59088,8887,20,11,-8,0,1347
"$$WILKINS,332,03:12:52,-35.25456,138.59029,8937,18,11,-8,0,1359*CE88",VK5QI-Mobile,332,03:12:52,-35.25456,138.59029,8937,18,11,-8,0,1359
"$$WILKINS,335,03:13:40,-35.25253,138.58881,9087,24,11,-9,0,1390*F9EC",VK5FJ,335,03:13:40,-35.25253,138.58881,9087,24,11,-9,0,1390
"$$WILKINS,340,03:15:00,-35.24940,138.58607,9341,24,9,-10,0,1433*3A21",VK5FJ,340,03:15:00,-35.2494,138.58607,9341,24,9,-10,0,1433
"$$WILKINS,344,03:16:04,-35.24728,138.58424,9540,20,9,-11,0,1418*D88A",VK5FJ,344,03:16:04,-35.24728,138.58424,9540,20,9,-11,0,1418
"$$WILKINS,347,03:16:52,-35.24556,138.58420,9685,19,9,-12,0,1500*5F5F",VK5QI-Mobile,347,03:16:52,-35.24556,138.5842,9685,19,9,-12,0,1500
"$$WILKINS,348,03:17:08,-35.24491,138.58449,9736,22,10,-12,0,1496*A8B6",VK5FJ,348,03:17:08,-35.24491,138.58449,9736,22,10,-12,0,1496
"$$WILKINS,351,03:17:56,-35.24199,138.58568,9887,27,10,-13,0,1539*0201","VK5FJ,VK5QI-Mobile",351,03:17:56,-35.24199,138.58568,9887,27,10,-13,0,1539
"$$WILKINS,352,03:18:12,-35.24090,138.58607,9939,32,10,-13,0,1551*5C0A","VK5FJ,VK5QI-Mobile",352,03:18:12,-35.2409,138.58607,9939,32,10,-13,0,1551
"$$WILKINS,354,03:18:44,-35.23855,138.58730,10038,38,10,-14,0,1567*DB62",VK5FJ,354,03:18:44,-35.23855,138.5873,10038,38,10,-14,0,1567
"$$WILKINS,355,03:19:01,-35.23717,138.58813,10092,34,10,-14,0,1555*F1F1",VK5QI-Mobile,355,03:19:01,-35.23717,138.58813,10092,34,10,-14,0,1555
"$$WILKINS,356,03:19:18,-35.23578,138.58887,10145,37,9,-14,0,1582*51A5","VK5FJ,VK5QI-Mobile",356,03:19:18,-35.23578,138.58887,10145,37,9,-14,0,1582
"$$WILKINS,357,03:19:34,-35.23447,138.58955,10194,28,10,-14,0,1590*66C4",VK5FJ,357,03:19:34,-35.23447,138.58955,10194,28,10,-14,0,1590
"$$WILKINS,358,03:19:51,-35.23312,138.59021,10245,38,10,-15,0,1594*3614","VK5FJ,VK5QI-Mobile",358,03:19:51,-35.23312,138.59021,10245,38,10,-15,0,1594
