_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,37,11:17:23,52.25186,-0.09151,64,5,4.74*F984",amell,37,11:17:23,52.25186,-0.09151,64,5,4.74
"$$X0,38,11:17:35,52.25187,-0.09152,63,5,4.75*A341",amell,38,11:17:35,52.25187,-0.09152,63,5,4.75
"$$X0,39,11:17:47,52.25186,-0.09150,61,5,4.74*83ED",amell,39,11:17:47,52.25186,-0.0915,61,5,4.74
"$$X0,40,11:17:59,52.25186,-0.09149,61,5,4.73*3794",amell,40,11:17:59,52.25186,-0.09149,61,5,4.73
"$$X0,42,11:18:23,52.25189,-0.09159,63,6,4.73*D4F6",amell,42,11:18:23,52.25189,-0.09159,63,6,4.73
"$$X0,43,11:18:35,52.25189,-0.09159,63,6,4.73*3B64",amell,43,11:18:35,52.25189,-0.09159,63,6,4.73
"$$X0,44,11:18:47,52.25189,-0.09159,63,6,4.73*6A57",amell,44,11:18:47,52.25189,-0.09159,63,6,4.73
"$$X0,46,11:19:11,52.25189,-0.09160,62,6,4.72*EDD9",amell,46,11:19:11,52.25189,-0.0916,62,6,4.72
"$$X0,47,11:19:23,52.25189,-0.09159,61,6,4.72*54A3",amell,47,11:19:23,52.25189,-0.09159,61,6,4.72
"$$X0,48,11:19:35,52.25189,-0.09159,61,6,4.72*9416",amell,48,11:19:35,52.25189,-0.09159,61,6,4.72
"$$X0,49,11:19:47,52.25189,-0.09160,61,6,4.72*C165",amell,49,11:19:47,52.25189,-0.0916,61,6,4.72
"$$X0,51,11:20:11,52.25189,-0.09160,63,6,4.71*1631",amell,51,11:20:11,52.25189,-0.0916,63,6,4.71
"$$X0,55,11:20:59,52.25189,-0.09157,62,6,4.70*1C45",amell,55,11:20:59,52.25189,-0.09157,62,6,4.7
"$$X0,56,11:21:11,52.25189,-0.09156,62,6,4.70*736D",amell,56,11:21:11,52.25189,-0.09156,62,6,4.7
"$$X0,61,11:22:11,52.25188,-0.09156,56,7,4.69*9CF8",amell,61,11:22:11,52.25188,-0.09156,56,7,4.69
"$$X0,62,11:22:23,52.25188,-0.09156,55,7,4.68*93EC",amell,62,11:22:23,52.25188,-0.09156,55,7,4.68
"$$X0,64,11:22:47,52.25188,-0.09158,55,7,4.68*7E37",amell,64,11:22:47,52.25188,-0.09158,55,7,4.68
"$$X0,66,11:23:11,52.25189,-0.09160,56,7,4.67*7A2B",amell,66,11:23:11,52.25189,-0.0916,56,7,4.67
"$$X0,67,11:23:23,52.25189,-0.09160,55,7,4.67*BC09",amell,67,11:23:23,52.25189,-0.0916,55,7,4.67
"$$X0,68,11:23:35,52.25188,-0.09159,55,7,4.67*3657",amell,68,11:23:35,52.25188,-0.09159,55,7,4.67
"$$X0,69,11:23:47,52.25188,-0.09160,54,7,4.67*24F7",amell,69,11:23:47,52.25188,-0.0916,54,7,4.67
"$$X0,70,11:23:59,52.25188,-0.09160,54,7,4.66*5E06",amell,70,11:23:59,52.25188,-0.0916,54,7,4.66
"$$X0,77,11:25:23,52.25183,-0.09153,52,7,4.66*2195",amell,77,11:25:23,52.25183,-0.09153,52,7,4.66
"$$X0,81,11:26:11,52.25181,-0.09157,56,8,4.64*5FA1",amell,81,11:26:11,52.25181,-0.09157,56,8,4.64
"$$X0,83,11:26:35,52.25180,-0.09152,57,8,4.64*9C1D",amell,83,11:26:35,52.2518,-0.09152,57,8,4.64
"$$X0,84,11:26:47,52.25181,-0.09150,60,8,4.64*B272",amell,84,11:26:47,52.25181,-0.0915,60,8,4.64
"$$X0,85,11:26:59,52.25183,-0.09150,59,7,4.64*701F",amell,85,11:26:59,52.25183,-0.0915,59,7,4.64
"$$X0,86,11:27:11,52.25183,-0.09150,57,7,4.64*596F",amell,86,11:27:11,52.25183,-0.0915,57,7,4.64
"$$X0,87,11:27:23,52.25184,-0.09153,54,7,4.64*6FAE",amell,87,11:27:23,52.25184,-0.09153,54,7,4.64
"$$X0,88,11:27:35,52.25185,-0.09151,57,7,4.63*8289",amell,88,11:27:35,52.25185,-0.09151,57,7,4.63
"$$X0,98,11:29:35,52.25188,-0.09154,55,8,4.64*646E",amell,98,11:29:35,52.25188,-0.09154,55,8,4.64
"$$X0,99,11:29:47,52.25188,-0.09153,56,8,4.64*AF8D",amell,99,11:29:47,52.25188,-0.09153,56,8,4.64
"$$X0,103,11:30:35,52.25188,-0.09153,54,8,4.64*AEA5",amell,103,11:30:35,52.25188,-0.09153,54,8,4.64
"$$X0,107,11:31:23,52.25189,-0.09158,56,8,4.64*3E84",amell,107,11:31:23,52.25189,-0.09158,56,8,4.64
"$$X0,111,11:32:11,52.25190,-0.09160,52,8,4.64*97B0",amell,111,11:32:11,52.2519,-0.0916,52,8,4.64
"$$X0,146,11:39:11,52.25186,-0.09149,54,8,4.64*2133",G8KHW,146,11:39:11,52.25186,-0.09149,54,8,4.64
"$$X0,147,11:39:23,52.25186,-0.09148,53,8,4.64*3035",G8KHW,147,11:39:23,52.25186,-0.09148,53,8,4.64
"$$X0,148,11:39:35,52.25186,-0.09148,53,8,4.64*F080",G8KHW,148,11:39:35,52.25186,-0.09148,53,8,4.64
"$$X0,149,11:39:47,52.25186,-0.09148,54,8,4.64*1DB3",G8KHW,149,11:39:47,52.25186,-0.09148,54,8,4.64
"$$X0,150,11:39:59,52.25186,-0.09148,55,9,4.64*7510",G8KHW,150,11:39:59,52.25186,-0.09148,55,9,4.64
"$$X0,151,11:40:11,52.25183,-0.09149,57,8,4.64*9153",G8KHW,151,11:40:11,52.25183,-0.09149,57,8,4.64
"$$X0,152,11:40:23,52.25184,-0.09149,58,8,4.64*17C8",G8KHW,152,11:40:23,52.25184,-0.09149,58,8,4.64
"$$X0,153,11:40:35,52.25184,-0.09149,56,8,4.64*664B",G8KHW,153,11:40:35,52.25184,-0.09149,56,8,4.64
"$$X0,156,11:41:11,52.25183,-0.09149,53,9,4.64*1D5B",G8KHW,156,11:41:11,52.25183,-0.09149,53,9,4.64
"$$X0,154,11:40:47,52.25183,-0.09148,52,8,4.64*6845",G8KHW,154,11:40:47,52.25183,-0.09148,52,8,4.64
"$$X0,155,11:40:59,52.25182,-0.09148,50,9,4.64*8FB5",G8KHW,155,11:40:59,52.25182,-0.09148,50,9,4.64
