_sentence,_receivers,sentence_id,time,latitude,longitude,altitude
"$$XABEN0,32,10:07:03,52.25159,-0.09233,44*7DD4",G8KHW,32,10:07:03,52.25159,-0.09233,44
"$$XABEN0,33,10:07:18,52.25164,-0.09231,51*36F6",G8KHW,33,10:07:18,52.25164,-0.09231,51
"$$XABEN0,34,10:07:29,52.25166,-0.09233,55*49A5",G8KHW,34,10:07:29,52.25166,-0.09233,55
"$$XABEN0,35,10:07:48,52.25157,-0.09235,44*2806",G8KHW,35,10:07:48,52.25157,-0.09235,44
"$$XABEN0,36,10:08:03,52.25154,-0.09236,40*17A8",G8KHW,36,10:08:03,52.25154,-0.09236,40
"$$XABEN0,37,10:08:18,52.25148,-0.09237,32*AEB6",G8KHW,37,10:08:18,52.25148,-0.09237,32
"$$XABEN0,38,10:08:33,52.25152,-0.09236,38*0A18",G8KHW,38,10:08:33,52.25152,-0.09236,38
"$$XABEN0,39,10:08:48,52.25155,-0.09236,41*855C",G8KHW,39,10:08:48,52.25155,-0.09236,41
"$$XABEN0,41,10:09:18,52.25157,-0.09234,43*C93D",G8KHW,41,10:09:18,52.25157,-0.09234,43
"$$XABEN0,42,10:09:33,52.25158,-0.09234,43*A8E8",G8KHW,42,10:09:33,52.25158,-0.09234,43
"$$XABEN0,43,10:09:48,52.25159,-0.09235,45*B60B",G8KHW,43,10:09:48,52.25159,-0.09235,45
"$$XABEN0,44,10:10:03,52.25158,-0.09236,44*6AD8",G8KHW,44,10:10:03,52.25158,-0.09236,44
"$$XABEN0,45,10:10:18,52.25160,-0.09233,49*8220",G8KHW,45,10:10:18,52.2516,-0.09233,49
"$$XABEN0,46,10:10:33,52.25163,-0.09237,55*D54E",G8KHW,46,10:10:33,52.25163,-0.09237,55
"$$XABEN0,47,10:10:42,52.25166,-0.09239,64*BA49",G8KHW,47,10:10:42,52.25166,-0.09239,64
"$$XABEN0,49,10:11:18,52.25181,-0.09224,60*47E6",G8KHW,49,10:11:18,52.25181,-0.09224,60
"$$XABEN0,50,10:11:20,52.25180,-0.09224,65*453D",G8KHW,50,10:11:20,52.2518,-0.09224,65
"$$XABEN0,51,10:11:48,52.25147,-0.09242,36*22E0",G8KHW,51,10:11:48,52.25147,-0.09242,36
"$$XABEN0,52,10:12:03,52.25154,-0.09234,42*2F3A",G8KHW,52,10:12:03,52.25154,-0.09234,42
"$$XABEN0,53,10:12:18,52.25147,-0.09235,35*07D3",G8KHW,53,10:12:18,52.25147,-0.09235,35
"$$XABEN0,54,10:12:33,52.25159,-0.09235,53*8A82",G8KHW,54,10:12:33,52.25159,-0.09235,53
"$$XABEN0,55,10:12:48,52.25161,-0.09236,51*FA17",G8KHW,55,10:12:48,52.25161,-0.09236,51
"$$XABEN0,56,10:13:03,52.25160,-0.09233,49*1A20",G8KHW,56,10:13:03,52.2516,-0.09233,49
"$$XABEN0,57,10:13:18,52.25159,-0.09235,48*EDEB",G8KHW,57,10:13:18,52.25159,-0.09235,48
"$$XABEN0,58,10:13:33,52.25162,-0.09234,48*5BAE",G8KHW,58,10:13:33,52.25162,-0.09234,48
